year,state,county,subgroup_type,subgroup,score_transit_trips,score_transit_trips_quality,share_transportation_cost,share_transportation_cost_quality
2015,26,121,race-ethnicity,White neighborhoods,1,1,0.3446697430154654,1
2015,26,121,race-ethnicity,Mixed neighborhoods,5,1,0.2787232554887428,1
2015,26,123,all,All,0,1,0.3625568460657615,1
2015,26,123,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,26,123,race-ethnicity,White neighborhoods,0,1,0.3625568460657615,1
2015,26,123,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,26,125,all,All,2,1,0.2613914595867385,1
2015,26,125,race-ethnicity,Neighborhoods of color,4,1,0.22782139254947995,1
2015,26,125,race-ethnicity,White neighborhoods,2,1,0.26970831726213124,1
2015,26,125,race-ethnicity,Mixed neighborhoods,3,1,0.23187390121137683,1
2015,26,127,all,All,0,1,0.37770209733251886,1
2015,26,127,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,26,127,race-ethnicity,White neighborhoods,0,1,0.37770209733251886,1
2015,26,127,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,26,129,all,All,1,1,0.40938838244647024,1
2015,26,129,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,26,129,race-ethnicity,White neighborhoods,1,1,0.40938838244647024,1
2015,26,129,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,26,131,all,All,3,1,0.4356258106355383,1
2015,26,131,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,26,131,race-ethnicity,White neighborhoods,3,1,0.4356258106355383,1
2015,26,131,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,26,133,all,All,1,1,0.39596094552929084,1
2015,26,133,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,26,133,race-ethnicity,White neighborhoods,1,1,0.39596094552929084,1
2015,26,133,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,26,135,all,All,2,1,0.44553988062940864,1
2015,26,135,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,26,135,race-ethnicity,White neighborhoods,2,1,0.44553988062940864,1
2015,26,135,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,26,137,all,All,1,1,0.32120731217356374,1
2015,26,137,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,26,137,race-ethnicity,White neighborhoods,1,1,0.32120731217356374,1
2015,26,137,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,26,139,all,All,0,1,0.3011360260897563,1
2015,26,139,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,26,139,race-ethnicity,White neighborhoods,0,1,0.304600427007048,1
2015,26,139,race-ethnicity,Mixed neighborhoods,1,1,0.26820512820512826,1
2015,26,141,all,All,2,1,0.3628988164694115,1
2015,26,141,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,26,141,race-ethnicity,White neighborhoods,2,1,0.3628988164694115,1
2015,26,141,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,26,143,all,All,1,1,0.39202113835224817,1
2015,26,143,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,26,143,race-ethnicity,White neighborhoods,1,1,0.39202113835224817,1
2015,26,143,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,26,145,all,All,3,1,0.3222171318575553,1
2015,26,145,race-ethnicity,Neighborhoods of color,8,1,0.28735883956386293,1
2015,26,145,race-ethnicity,White neighborhoods,2,1,0.33209280052840157,1
2015,26,145,race-ethnicity,Mixed neighborhoods,7,1,0.2883800930494854,1
2015,26,147,all,All,4,1,0.2937615951857569,1
2015,26,147,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,26,147,race-ethnicity,White neighborhoods,4,1,0.2937615951857569,1
2015,26,147,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,26,149,all,All,0,1,0.3397718091963902,1
2015,26,149,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,26,149,race-ethnicity,White neighborhoods,0,1,0.3397718091963902,1
2015,26,149,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,26,151,all,All,0,1,0.38223771498771497,1
2015,26,151,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,26,151,race-ethnicity,White neighborhoods,0,1,0.38223771498771497,1
2015,26,151,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,26,153,all,All,2,1,0.4388739397484644,1
2015,26,153,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,26,153,race-ethnicity,White neighborhoods,2,1,0.4388739397484644,1
2015,26,153,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,26,155,all,All,0,1,0.31148564340180235,1
2015,26,155,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,26,155,race-ethnicity,White neighborhoods,0,1,0.31148564340180235,1
2015,26,155,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,26,157,all,All,0,1,0.3591654149455501,1
2015,26,157,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,26,157,race-ethnicity,White neighborhoods,0,1,0.3591654149455501,1
2015,26,157,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,26,159,all,All,0,1,0.3369295307928227,1
2015,26,159,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,26,159,race-ethnicity,White neighborhoods,0,1,0.33681803236766145,1
2015,26,159,race-ethnicity,Mixed neighborhoods,0,1,0.34,1
2015,26,161,all,All,6,1,0.22643368799206184,1
2015,26,161,race-ethnicity,Neighborhoods of color,9,1,0.20026758147512866,1
2015,26,161,race-ethnicity,White neighborhoods,5,1,0.23302664543318252,1
2015,26,161,race-ethnicity,Mixed neighborhoods,8,1,0.2093443432042521,1
2015,26,163,all,All,6,1,0.24655695178149944,1
2015,26,163,race-ethnicity,Neighborhoods of color,9,1,0.2295864090828379,1
2015,26,163,race-ethnicity,White neighborhoods,4,1,0.26034694500540095,1
2015,26,163,race-ethnicity,Mixed neighborhoods,5,1,0.24625913345708753,1
2015,26,165,all,All,0,1,0.3660340882190483,1
2015,26,165,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,26,165,race-ethnicity,White neighborhoods,0,1,0.3660340882190483,1
2015,26,165,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,001,all,All,2,1,0.3581285320015771,1
2015,27,001,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,001,race-ethnicity,White neighborhoods,2,1,0.3581285320015771,1
2015,27,001,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,003,all,All,2,1,0.2216676173108285,1
2015,27,003,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,003,race-ethnicity,White neighborhoods,1,1,0.22393966327664305,1
2015,27,003,race-ethnicity,Mixed neighborhoods,5,1,0.1860640149993304,1
2015,27,005,all,All,1,1,0.31991741631027876,1
2015,27,005,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,005,race-ethnicity,White neighborhoods,1,1,0.318636250311643,1
2015,27,005,race-ethnicity,Mixed neighborhoods,3,1,0.33,1
2015,27,007,all,All,1,1,0.34346615687914456,1
2015,27,007,race-ethnicity,Neighborhoods of color,4,1,0.35,1
2015,27,007,race-ethnicity,White neighborhoods,1,1,0.3413843908541247,1
2015,27,007,race-ethnicity,Mixed neighborhoods,3,1,0.37000000000000005,1
2015,27,009,all,All,3,1,0.27883828045035824,1
2015,27,009,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,009,race-ethnicity,White neighborhoods,3,1,0.27883828045035824,1
2015,27,009,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,011,all,All,2,1,0.32358895705521473,1
2015,27,011,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,011,race-ethnicity,White neighborhoods,2,1,0.32358895705521473,1
2015,27,011,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,013,all,All,0,1,0.2881704028655371,1
2015,27,013,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,013,race-ethnicity,White neighborhoods,0,1,0.2881704028655371,1
2015,27,013,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,015,all,All,0,1,0.3033448824796329,1
2015,27,015,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,015,race-ethnicity,White neighborhoods,0,1,0.3033448824796329,1
2015,27,015,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,017,all,All,1,1,0.3136856247201074,1
2015,27,017,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,017,race-ethnicity,White neighborhoods,1,1,0.3122653144016227,1
2015,27,017,race-ethnicity,Mixed neighborhoods,2,1,0.33,1
2015,27,019,all,All,0,1,0.23455332500508416,1
2015,27,019,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,019,race-ethnicity,White neighborhoods,0,1,0.23455332500508416,1
2015,27,019,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,021,all,All,2,1,0.3323599875544493,1
2015,27,021,race-ethnicity,Neighborhoods of color,2,1,0.31,1
2015,27,021,race-ethnicity,White neighborhoods,2,1,0.3346197327852004,1
2015,27,021,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,023,all,All,2,1,0.3115826052422558,1
2015,27,023,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,023,race-ethnicity,White neighborhoods,2,1,0.3115826052422558,1
2015,27,023,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,025,all,All,0,1,0.25089307350565426,1
2015,27,025,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,025,race-ethnicity,White neighborhoods,0,1,0.25089307350565426,1
2015,27,025,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,027,all,All,8,1,0.2781719149686866,1
2015,27,027,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,027,race-ethnicity,White neighborhoods,8,1,0.2781719149686866,1
2015,27,027,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,029,all,All,3,1,0.36742398164084916,1
2015,27,029,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,029,race-ethnicity,White neighborhoods,3,1,0.36742398164084916,1
2015,27,029,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,031,all,All,3,1,0.3201357466063348,1
2015,27,031,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,031,race-ethnicity,White neighborhoods,3,1,0.3201357466063348,1
2015,27,031,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,033,all,All,1,1,0.3416300481272233,1
2015,27,033,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,033,race-ethnicity,White neighborhoods,1,1,0.3416300481272233,1
2015,27,033,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,035,all,All,1,1,0.3062806751374929,1
2015,27,035,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,035,race-ethnicity,White neighborhoods,1,1,0.3062806751374929,1
2015,27,035,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,037,all,All,5,1,0.2157444428821597,1
2015,27,037,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,037,race-ethnicity,White neighborhoods,5,1,0.21681149533391184,1
2015,27,037,race-ethnicity,Mixed neighborhoods,11,1,0.18636148094109065,1
2015,27,039,all,All,0,1,0.26963737427210166,1
2015,27,039,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,039,race-ethnicity,White neighborhoods,0,1,0.26963737427210166,1
2015,27,039,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,041,all,All,0,1,0.2977974162863937,1
2015,27,041,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,041,race-ethnicity,White neighborhoods,0,1,0.2977974162863937,1
2015,27,041,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,043,all,All,1,1,0.3233228741763414,1
2015,27,043,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,043,race-ethnicity,White neighborhoods,1,1,0.3233228741763414,1
2015,27,043,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,045,all,All,0,1,0.27480248505450716,1
2015,27,045,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,045,race-ethnicity,White neighborhoods,0,1,0.27480248505450716,1
2015,27,045,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,047,all,All,1,1,0.3100931270684214,1
2015,27,047,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,047,race-ethnicity,White neighborhoods,1,1,0.3100931270684214,1
2015,27,047,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,049,all,All,0,1,0.282274783163944,1
2015,27,049,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,049,race-ethnicity,White neighborhoods,0,1,0.282274783163944,1
2015,27,049,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,051,all,All,2,1,0.33915415019762846,1
2015,27,051,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,051,race-ethnicity,White neighborhoods,2,1,0.33915415019762846,1
2015,27,051,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,053,all,All,10,1,0.192344225575076,1
2015,27,053,race-ethnicity,Neighborhoods of color,19,1,0.1629308838461357,1
2015,27,053,race-ethnicity,White neighborhoods,8,1,0.19830898891628945,1
2015,27,053,race-ethnicity,Mixed neighborhoods,13,1,0.18022514809036372,1
2015,27,055,all,All,0,1,0.3283096626933807,1
2015,27,055,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,055,race-ethnicity,White neighborhoods,0,1,0.3283096626933807,1
2015,27,055,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,057,all,All,1,1,0.33497780812564015,1
2015,27,057,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,057,race-ethnicity,White neighborhoods,1,1,0.33497780812564015,1
2015,27,057,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,059,all,All,0,1,0.2495974109111601,1
2015,27,059,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,059,race-ethnicity,White neighborhoods,0,1,0.2495974109111601,1
2015,27,059,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,061,all,All,2,1,0.3266569997363565,1
2015,27,061,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,061,race-ethnicity,White neighborhoods,2,1,0.3266569997363565,1
2015,27,061,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,063,all,All,1,1,0.3324023886081764,1
2015,27,063,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,063,race-ethnicity,White neighborhoods,1,1,0.3324023886081764,1
2015,27,063,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,065,all,All,1,1,0.3352963979970925,1
2015,27,065,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,065,race-ethnicity,White neighborhoods,1,1,0.3352963979970925,1
2015,27,065,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,067,all,All,0,1,0.3089803005808035,1
2015,27,067,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,067,race-ethnicity,White neighborhoods,0,1,0.3116850950906678,1
2015,27,067,race-ethnicity,Mixed neighborhoods,0,1,0.26,1
2015,27,069,all,All,4,1,0.32,1
2015,27,069,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,069,race-ethnicity,White neighborhoods,4,1,0.32,1
2015,27,069,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,071,all,All,2,1,0.3405441478439425,1
2015,27,071,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,071,race-ethnicity,White neighborhoods,2,1,0.3405441478439425,1
2015,27,071,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,073,all,All,2,1,0.32009746588693955,1
2015,27,073,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,073,race-ethnicity,White neighborhoods,2,1,0.32009746588693955,1
2015,27,073,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,075,all,All,2,1,0.30919402398270096,1
2015,27,075,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,075,race-ethnicity,White neighborhoods,2,1,0.30919402398270096,1
2015,27,075,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,077,all,All,4,1,0.40166974738139244,1
2015,27,077,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,077,race-ethnicity,White neighborhoods,4,1,0.40166974738139244,1
2015,27,077,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,079,all,All,0,1,0.25342282498385466,1
2015,27,079,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,079,race-ethnicity,White neighborhoods,0,1,0.25342282498385466,1
2015,27,079,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,081,all,All,2,1,0.3352583099719664,1
2015,27,081,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,081,race-ethnicity,White neighborhoods,2,1,0.3352583099719664,1
2015,27,081,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,083,all,All,1,1,0.28982928298855193,1
2015,27,083,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,083,race-ethnicity,White neighborhoods,1,1,0.28982928298855193,1
2015,27,083,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,085,all,All,0,1,0.2866225791213982,1
2015,27,085,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,085,race-ethnicity,White neighborhoods,0,1,0.2866225791213982,1
2015,27,085,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,087,all,All,3,1,0.38653673163418295,1
2015,27,087,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,087,race-ethnicity,White neighborhoods,NA,NA,NA,NA
2015,27,087,race-ethnicity,Mixed neighborhoods,3,1,0.38653673163418295,1
2015,27,089,all,All,3,1,0.3167469580332754,1
2015,27,089,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,089,race-ethnicity,White neighborhoods,3,1,0.3167469580332754,1
2015,27,089,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,091,all,All,1,1,0.30657343449213004,1
2015,27,091,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,091,race-ethnicity,White neighborhoods,1,1,0.30657343449213004,1
2015,27,091,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,093,all,All,0,1,0.30554174841944626,1
2015,27,093,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,093,race-ethnicity,White neighborhoods,0,1,0.30554174841944626,1
2015,27,093,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,095,all,All,1,1,0.2514911407525383,1
2015,27,095,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,095,race-ethnicity,White neighborhoods,1,1,0.25167561521252796,1
2015,27,095,race-ethnicity,Mixed neighborhoods,1,1,0.25,1
2015,27,097,all,All,1,1,0.33455811863391255,1
2015,27,097,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,097,race-ethnicity,White neighborhoods,1,1,0.33455811863391255,1
2015,27,097,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,099,all,All,0,1,0.2984985413290114,1
2015,27,099,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,099,race-ethnicity,White neighborhoods,0,1,0.2984985413290114,1
2015,27,099,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,101,all,All,2,1,0.33058870751940056,1
2015,27,101,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,101,race-ethnicity,White neighborhoods,2,1,0.33058870751940056,1
2015,27,101,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,103,all,All,0,1,0.2955625940296144,1
2015,27,103,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,103,race-ethnicity,White neighborhoods,0,1,0.2955625940296144,1
2015,27,103,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,105,all,All,1,1,0.3235743432797756,1
2015,27,105,race-ethnicity,Neighborhoods of color,0,1,0.28500380517503804,1
2015,27,105,race-ethnicity,White neighborhoods,1,1,0.366081319976429,1
2015,27,105,race-ethnicity,Mixed neighborhoods,0,1,0.3,1
2015,27,107,all,All,2,1,0.33724340175953077,1
2015,27,107,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,107,race-ethnicity,White neighborhoods,2,1,0.33724340175953077,1
2015,27,107,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,109,all,All,1,1,0.2307837786490268,1
2015,27,109,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,109,race-ethnicity,White neighborhoods,1,1,0.2307837786490268,1
2015,27,109,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,111,all,All,1,1,0.31145620164711757,1
2015,27,111,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,111,race-ethnicity,White neighborhoods,1,1,0.31145620164711757,1
2015,27,111,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,113,all,All,1,1,0.3169256756756757,1
2015,27,113,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,113,race-ethnicity,White neighborhoods,1,1,0.3169256756756757,1
2015,27,113,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,115,all,All,1,1,0.35282809611829946,1
2015,27,115,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,115,race-ethnicity,White neighborhoods,1,1,0.35282809611829946,1
2015,27,115,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,117,all,All,1,1,0.32368341708542714,1
2015,27,117,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,117,race-ethnicity,White neighborhoods,1,1,0.32368341708542714,1
2015,27,117,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,119,all,All,1,1,0.32068458696848223,1
2015,27,119,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,119,race-ethnicity,White neighborhoods,1,1,0.32068458696848223,1
2015,27,119,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,121,all,All,1,1,0.318525681014764,1
2015,27,121,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,121,race-ethnicity,White neighborhoods,1,1,0.318525681014764,1
2015,27,121,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,123,all,All,14,1,0.1885249230144495,1
2015,27,123,race-ethnicity,Neighborhoods of color,17,1,0.17557147641374032,1
2015,27,123,race-ethnicity,White neighborhoods,13,1,0.19331597361322536,1
2015,27,123,race-ethnicity,Mixed neighborhoods,19,1,0.17700346835940056,1
2015,27,125,all,All,3,1,0.35490668272125225,1
2015,27,125,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,125,race-ethnicity,White neighborhoods,3,1,0.35490668272125225,1
2015,27,125,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,127,all,All,1,1,0.332127794514032,1
2015,27,127,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,127,race-ethnicity,White neighborhoods,1,1,0.332127794514032,1
2015,27,127,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,129,all,All,1,1,0.32929506387005203,1
2015,27,129,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,129,race-ethnicity,White neighborhoods,1,1,0.32929506387005203,1
2015,27,129,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,131,all,All,0,1,0.26679522456950117,1
2015,27,131,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,131,race-ethnicity,White neighborhoods,0,1,0.26679522456950117,1
2015,27,131,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,133,all,All,2,1,0.3093687961313311,1
2015,27,133,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,133,race-ethnicity,White neighborhoods,2,1,0.3093687961313311,1
2015,27,133,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,135,all,All,3,1,0.31652263374485595,1
2015,27,135,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,135,race-ethnicity,White neighborhoods,3,1,0.31652263374485595,1
2015,27,135,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,137,all,All,3,1,0.2781862913241469,1
2015,27,137,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,137,race-ethnicity,White neighborhoods,3,1,0.2781862913241469,1
2015,27,137,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,139,all,All,0,1,0.2347520564042303,1
2015,27,139,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,139,race-ethnicity,White neighborhoods,0,1,0.2347520564042303,1
2015,27,139,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,141,all,All,0,1,0.24753614181984693,1
2015,27,141,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,141,race-ethnicity,White neighborhoods,0,1,0.24753614181984693,1
2015,27,141,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,143,all,All,0,1,0.26262055204522783,1
2015,27,143,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,143,race-ethnicity,White neighborhoods,0,1,0.26262055204522783,1
2015,27,143,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,145,all,All,2,1,0.2812349602724176,1
2015,27,145,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,145,race-ethnicity,White neighborhoods,2,1,0.2812349602724176,1
2015,27,145,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,147,all,All,0,1,0.27373975194450284,1
2015,27,147,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,147,race-ethnicity,White neighborhoods,0,1,0.27373975194450284,1
2015,27,147,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,149,all,All,1,1,0.33085605234460197,1
2015,27,149,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,149,race-ethnicity,White neighborhoods,1,1,0.33085605234460197,1
2015,27,149,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,151,all,All,1,1,0.3140746868352636,1
2015,27,151,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,151,race-ethnicity,White neighborhoods,1,1,0.3140746868352636,1
2015,27,151,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,153,all,All,2,1,0.3457932716739506,1
2015,27,153,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,27,153,race-ethnicity,White neighborhoods,2,1,0.3457932716739506,1
2015,27,153,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,27,155,all,All,2,1,0.3117125984251969,1
2015,27,155,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
