year,state,place,state_name,place_name,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality
2016,06,02252,California,Antioch city,19.7%:21.8%,1,13.5%:20.8%,1,12.4%:11.9%,1,54.3%:45.4%,1
2016,06,02364,California,Apple Valley town,5.4%:7.4%,2,28.8%:38.4%,2,5.7%:4.3%,2,60.0%:49.8%,2
2016,06,03526,California,Bakersfield city,2.3%:6.5%,2,33.7%:42.7%,2,9.3%:8.8%,2,54.6%:41.9%,2
2016,06,04982,California,Bellflower city,4.4%:12.8%,3,58.6%:61.0%,2,14.7%:11.2%,2,22.3%:15.1%,2
2016,06,06000,California,Berkeley city,3.7%:8.3%,3,4.5%:8.6%,3,17.7%:28.0%,1,74.1%:55.2%,1
2016,06,08786,California,Buena Park city,3.6%:4.7%,3,13.9%:23.1%,3,28.4%:25.5%,3,54.1%:46.6%,3
2016,06,08954,California,Burbank city,1.3%:4.1%,3,9.9%:16.5%,3,16.9%:15.3%,1,71.9%:64.1%,1
2016,06,11194,California,Carlsbad city,0.7%:1.3%,3,6.3%:9.0%,1,8.2%:9.1%,1,84.8%:80.7%,1
2016,06,11530,California,Carson city,31.1%:26.7%,1,31.4%:31.1%,1,28.0%:28.6%,1,9.5%:13.5%,1
2016,06,13014,California,Chico city,NA%:1.7%,NA,5.6%:13.3%,1,1.0%:4.6%,3,93.4%:80.3%,1
2016,06,13210,California,Chino city,2.9%:7.9%,2,23.6%:38.2%,2,32.6%:20.8%,2,40.9%:33.1%,2
2016,06,13214,California,Chino Hills city,2.8%:7.8%,3,22.5%:37.0%,2,33.3%:21.5%,2,41.4%:33.6%,2
2016,06,13392,California,Chula Vista city,4.1%:5.4%,1,38.4%:48.6%,1,21.5%:16.4%,1,36.0%:29.7%,1
2016,06,13588,California,Citrus Heights city,3.1%:4.2%,3,11.4%:16.6%,1,9.1%:9.0%,1,76.4%:70.2%,1
2016,06,14218,California,Clovis city,0.8%:2.0%,3,14.3%:21.7%,1,12.1%:12.6%,1,72.8%:63.7%,1
2016,06,15044,California,Compton city,42.2%:37.9%,2,53.4%:55.7%,2,2.4%:2.6%,3,2.0%:3.8%,3
2016,06,16000,California,Concord city,1.9%:5.9%,3,10.5%:19.6%,3,16.6%:16.1%,3,71.0%:58.3%,3
2016,06,16350,California,Corona city,2.3%:4.7%,3,26.5%:37.3%,2,14.5%:11.3%,2,56.7%:46.7%,2
2016,06,16532,California,Costa Mesa city,0.4%:1.8%,3,12.8%:24.0%,2,18.0%:15.2%,2,68.8%:59.0%,2
2016,06,17918,California,Daly City city,0.5%:2.9%,3,11.0%:17.4%,2,47.4%:45.5%,2,41.0%:34.2%,2
2016,06,19766,California,Downey city,2.7%:4.7%,3,52.1%:61.7%,1,17.9%:12.0%,1,27.3%:21.7%,1
2016,06,21712,California,El Cajon city,1.1%:5.5%,3,11.4%:19.0%,2,6.7%:7.0%,2,80.7%:68.4%,2
2016,06,22020,California,Elk Grove city,7.3%:11.3%,1,10.6%:13.5%,1,36.9%:32.1%,1,45.2%:43.2%,1
2016,06,22230,California,El Monte city,0.0%:1.1%,3,45.2%:60.6%,1,48.0%:33.1%,1,6.7%:5.2%,1
2016,06,22804,California,Escondido city,1.0%:3.6%,3,18.2%:36.2%,1,14.6%:10.5%,1,66.3%:49.7%,1
2016,06,23182,California,Fairfield city,20.8%:17.9%,1,9.2%:23.4%,1,23.1%:18.6%,1,46.8%:40.1%,1
2016,06,24638,California,Folsom city,0.5%:3.8%,3,7.5%:9.8%,3,15.6%:13.7%,2,76.4%:72.7%,2
2016,06,24680,California,Fontana city,7.4%:7.5%,1,56.0%:63.7%,1,13.0%:8.4%,1,23.6%:20.4%,1
2016,06,26000,California,Fremont city,2.7%:3.7%,3,7.6%:12.2%,2,65.4%:58.6%,2,24.2%:25.5%,2
2016,06,27000,California,Fresno city,3.3%:7.9%,3,24.6%:39.2%,3,15.7%:12.5%,3,56.4%:40.4%,3
2016,06,28000,California,Fullerton city,1.6%:2.9%,3,13.5%:26.4%,3,37.4%:26.5%,3,47.5%:44.2%,3
2016,06,29000,California,Garden Grove city,0.5%:2.2%,3,18.3%:29.4%,3,49.9%:42.8%,3,31.2%:25.7%,3
2016,06,30000,California,Glendale city,0.1%:2.3%,3,5.4%:14.9%,2,19.7%:16.1%,2,74.9%:66.7%,2
2016,06,32548,California,Hawthorne city,13.5%:23.7%,2,38.9%:50.4%,2,14.2%:10.2%,2,33.3%:15.6%,2
2016,06,33000,California,Hayward city,6.7%:8.0%,3,21.2%:35.9%,1,37.1%:29.7%,1,35.0%:26.4%,1
2016,06,33182,California,Hemet city,3.5%:5.8%,3,24.3%:32.7%,2,10.6%:6.5%,2,61.6%:55.1%,2
2016,06,33434,California,Hesperia city,5.5%:7.5%,2,28.9%:38.5%,2,5.7%:4.3%,2,59.9%:49.7%,2
2016,06,36000,California,Huntington Beach city,0.6%:1.3%,3,6.8%:13.4%,3,15.4%:13.5%,3,77.2%:71.8%,3
2016,06,36448,California,Indio city,1.2%:2.1%,3,40.6%:65.1%,2,3.3%:2.9%,2,54.9%:29.9%,2
2016,06,36546,California,Inglewood city,52.3%:50.7%,1,27.7%:33.1%,1,8.9%:7.4%,1,11.1%:8.9%,1
2016,06,36770,California,Irvine city,0.6%:1.5%,3,4.0%:10.4%,2,38.6%:36.2%,2,56.8%:51.9%,2
2016,06,37692,California,Jurupa Valley city,3.7%:5.9%,3,44.5%:50.2%,2,20.9%:15.0%,2,30.9%:28.9%,2
2016,06,39496,California,Lake Forest city,2.4%:3.0%,3,7.7%:16.6%,3,34.2%:27.7%,3,55.7%:52.7%,3
2016,06,39892,California,Lakewood city,5.7%:8.8%,2,18.0%:25.4%,2,40.4%:35.4%,2,35.8%:30.4%,2
2016,06,40130,California,Lancaster city,8.4%:21.1%,1,25.0%:29.7%,1,10.3%:8.8%,1,56.3%:40.4%,1
2016,06,41992,California,Livermore city,0.9%:2.1%,3,4.8%:10.0%,2,32.7%:29.2%,2,61.7%:58.7%,2
2016,06,43000,California,Long Beach city,8.5%:14.6%,2,17.9%:33.7%,2,13.2%:15.2%,2,60.5%:36.5%,2
2016,06,44000,California,Los Angeles city,5.4%:11.0%,1,17.6%:35.8%,1,13.6%:15.3%,1,63.4%:37.9%,1
2016,06,45484,California,Manteca city,3.9%:5.6%,3,20.1%:29.1%,3,24.4%:17.3%,3,51.6%:48.1%,3
2016,06,46842,California,Menifee city,3.8%:6.7%,2,23.4%:31.6%,2,21.2%:7.8%,2,51.5%:53.9%,2
2016,06,46898,California,Merced city,1.3%:5.0%,3,28.8%:46.3%,2,11.9%:11.2%,2,58.0%:37.5%,2
2016,06,47766,California,Milpitas city,2.7%:2.6%,3,7.5%:15.6%,2,73.5%:69.3%,2,16.3%:12.5%,2
2016,06,48256,California,Mission Viejo city,1.2%:0.8%,3,10.1%:11.8%,1,13.2%:15.4%,1,75.5%:72.1%,1
2016,06,48354,California,Modesto city,2.6%:3.7%,3,26.3%:32.2%,1,8.3%:9.2%,1,62.8%:54.9%,1
2016,06,49270,California,Moreno Valley city,15.2%:21.1%,1,48.9%:48.0%,1,8.4%:6.9%,1,27.5%:24.1%,1
2016,06,49670,California,Mountain View city,0.5%:1.4%,3,2.5%:9.0%,3,27.0%:31.0%,2,70.0%:58.6%,2
2016,06,50076,California,Murrieta city,3.9%:4.3%,3,21.0%:23.3%,2,15.8%:15.1%,2,59.2%:57.4%,2
2016,06,50258,California,Napa city,0.5%:1.5%,3,11.3%:23.4%,2,6.2%:8.8%,2,82.0%:66.3%,2
2016,06,51182,California,Newport Beach city,0.1%:0.7%,3,5.8%:10.0%,3,18.0%:15.2%,3,76.1%:74.2%,3
2016,06,52526,California,Norwalk city,5.4%:8.0%,3,50.0%:53.3%,1,17.6%:14.8%,1,27.0%:24.0%,1
2016,06,53000,California,Oakland city,12.9%:25.9%,3,8.1%:16.9%,3,16.0%:20.4%,3,62.9%:36.7%,3
2016,06,53322,California,Oceanside city,4.3%:6.2%,3,16.0%:24.6%,2,12.2%:10.0%,2,67.5%:59.2%,2
2016,06,53896,California,Ontario city,6.1%:8.6%,1,53.9%:60.1%,1,12.3%:7.4%,1,27.7%:23.9%,1
2016,06,53980,California,Orange city,0.9%:1.5%,3,15.0%:28.9%,2,14.7%:12.6%,2,69.4%:57.0%,2
2016,06,54652,California,Oxnard city,2.0%:3.4%,3,38.0%:53.1%,1,10.5%:7.4%,1,49.5%:36.1%,1
2016,06,55156,California,Palmdale city,7.2%:13.1%,1,40.0%:47.4%,1,8.5%:6.8%,1,44.3%:32.7%,1
2016,06,56000,California,Pasadena city,3.8%:11.2%,3,14.1%:24.7%,3,21.6%:19.1%,3,60.5%:45.1%,3
2016,06,56700,California,Perris city,8.6%:8.9%,3,43.0%:56.2%,2,10.0%:5.0%,2,38.4%:29.9%,2
2016,06,57456,California,Pittsburg city,5.1%:10.6%,3,20.8%:32.2%,2,21.9%:18.4%,2,52.2%:38.8%,2
2016,06,57792,California,Pleasanton city,0.9%:2.1%,3,4.8%:10.0%,3,32.7%:29.2%,3,61.7%:58.7%,3
2016,06,58072,California,Pomona city,6.0%:7.8%,1,52.7%:58.6%,1,20.3%:13.9%,1,21.0%:19.6%,1
2016,06,59444,California,Rancho Cordova city,4.4%:8.5%,3,10.5%:15.4%,2,22.7%:18.1%,2,62.4%:58.0%,2
2016,06,59451,California,Rancho Cucamonga city,5.2%:10.8%,3,28.7%:32.5%,1,21.9%:14.0%,1,44.1%:42.6%,1
2016,06,59920,California,Redding city,0.2%:0.8%,3,4.4%:6.9%,2,5.6%:7.7%,3,89.7%:84.5%,2
2016,06,60102,California,Redwood City city,0.4%:1.3%,3,9.7%:22.4%,2,21.3%:18.7%,2,68.6%:57.6%,2
2016,06,60466,California,Rialto city,14.0%:12.0%,2,60.3%:63.0%,2,5.9%:5.6%,2,19.8%:19.3%,2
2016,06,60620,California,Richmond city,12.8%:16.3%,2,18.4%:34.3%,2,26.8%:23.2%,2,42.0%:26.3%,2
2016,06,62000,California,Riverside city,5.6%:8.4%,2,34.2%:40.0%,2,9.2%:10.3%,2,51.0%:41.3%,2
2016,06,62938,California,Roseville city,1.5%:2.0%,3,8.2%:10.6%,1,12.1%:9.9%,1,78.2%:77.6%,1
2016,06,64000,California,Sacramento city,7.8%:14.1%,2,14.5%:19.8%,2,23.1%:21.8%,2,54.6%:44.3%,2
2016,06,64224,California,Salinas city,0.8%:2.1%,3,51.7%:65.9%,1,12.8%:9.2%,1,34.7%:22.8%,1
2016,06,65000,California,San Bernardino city,11.5%:15.7%,3,47.3%:52.6%,3,7.1%:6.3%,3,34.2%:25.4%,3
2016,06,65042,California,San Buenaventura (Ventura) city,1.1%:1.1%,3,20.4%:30.9%,1,8.0%:6.6%,3,70.5%:61.4%,1
2016,06,66000,California,San Diego city,2.1%:6.6%,1,11.1%:21.6%,1,16.5%:16.1%,1,70.4%:55.6%,1
2016,06,67000,California,San Francisco city,2.2%:5.6%,2,6.5%:12.5%,2,34.5%:33.8%,2,56.7%:48.1%,2
2016,06,68000,California,San Jose city,1.7%:3.3%,1,13.2%:24.3%,1,37.6%:35.7%,1,47.4%:36.6%,1
2016,06,68084,California,San Leandro city,4.8%:12.0%,2,9.7%:13.7%,2,33.5%:30.5%,2,52.0%:43.7%,2
2016,06,68196,California,San Marcos city,1.8%:5.1%,3,11.1%:23.4%,2,20.6%:14.2%,2,66.4%:57.3%,2
2016,06,68252,California,San Mateo city,1.6%:2.1%,3,4.4%:13.5%,2,26.9%:28.7%,2,67.0%:55.8%,2
2016,06,68378,California,San Ramon city,1.3%:3.5%,3,3.7%:5.5%,3,34.6%:30.6%,2,60.4%:60.5%,2
2016,06,69000,California,Santa Ana city,0.5%:1.5%,3,55.0%:63.9%,2,20.1%:16.5%,2,24.5%:18.2%,2
2016,06,69070,California,Santa Barbara city,0.2%:1.1%,3,9.2%:25.3%,2,4.1%:10.5%,3,86.5%:63.2%,2
2016,06,69084,California,Santa Clara city,1.5%:4.1%,3,9.5%:12.9%,1,40.2%:42.4%,1,48.8%:40.6%,1
2016,06,69088,California,Santa Clarita city,3.2%:5.0%,3,17.4%:25.4%,1,12.7%:12.5%,1,66.6%:57.2%,1
2016,06,69196,California,Santa Maria city,0.9%:1.3%,3,30.6%:47.6%,2,7.6%:7.1%,2,60.8%:44.0%,2
2016,06,70000,California,Santa Monica city,1.1%:2.5%,3,4.1%:14.2%,3,5.9%:11.5%,3,88.8%:71.8%,3
2016,06,70098,California,Santa Rosa city,0.7%:1.7%,3,9.0%:20.9%,1,8.0%:8.4%,1,82.4%:68.9%,1
2016,06,72016,California,Simi Valley city,2.4%:2.2%,3,14.2%:21.4%,1,11.4%:10.3%,1,72.0%:66.2%,1
2016,06,73080,California,South Gate city,6.2%:6.4%,3,87.6%:86.1%,2,NA%:1.5%,NA,6.3%:5.9%,3
2016,06,75000,California,Stockton city,6.0%:14.2%,3,21.6%:33.5%,3,24.0%:19.2%,3,48.4%:33.2%,3
2016,06,77000,California,Sunnyvale city,0.6%:1.0%,3,6.8%:13.3%,3,42.4%:45.6%,3,50.3%:40.0%,3
2016,06,78120,California,Temecula city,4.5%:5.2%,3,10.3%:18.9%,1,13.7%:13.3%,1,71.4%:62.6%,1
2016,06,78582,California,Thousand Oaks city,1.0%:1.2%,3,4.4%:10.1%,1,12.1%:13.3%,1,82.4%:75.4%,1
2016,06,80000,California,Torrance city,1.0%:2.7%,3,10.1%:16.5%,2,35.5%:36.4%,2,53.4%:44.4%,2
2016,06,80238,California,Tracy city,3.9%:5.6%,3,20.1%:29.1%,2,24.4%:17.3%,2,51.6%:48.0%,2
2016,06,80854,California,Tustin city,2.4%:3.0%,3,7.7%:16.7%,3,34.6%:28.0%,3,55.3%:52.4%,3
2016,06,81344,California,Upland city,3.6%:5.8%,3,24.1%:38.4%,2,16.8%:12.7%,2,55.6%:43.1%,2
2016,06,81554,California,Vacaville city,4.1%:9.7%,2,15.3%:19.4%,2,13.3%:12.3%,2,67.3%:58.5%,2
2016,06,81666,California,Vallejo city,10.7%:16.5%,1,16.1%:20.1%,1,19.0%:22.0%,1,54.2%:41.4%,1
2016,06,82590,California,Victorville city,10.9%:19.9%,2,46.1%:42.6%,2,4.7%:5.9%,2,38.4%:31.6%,2
2016,06,82954,California,Visalia city,1.1%:2.1%,3,32.8%:40.6%,1,3.3%:6.3%,3,62.9%:51.0%,1
2016,06,82996,California,Vista city,1.1%:2.3%,3,16.9%:32.0%,2,6.9%:7.8%,2,75.1%:57.9%,2
2016,06,84200,California,West Covina city,3.0%:4.6%,3,46.6%:52.7%,2,32.8%:27.0%,2,17.5%:15.6%,2
2016,06,84550,California,Westminster city,0.3%:1.5%,3,14.7%:21.8%,2,32.6%:36.3%,2,52.5%:40.5%,2
2016,06,85292,California,Whittier city,0.7%:1.5%,3,45.5%:57.7%,2,22.6%:15.2%,2,31.2%:25.6%,2
2016,08,03455,Colorado,Arvada city,0.1%:0.4%,3,5.7%:11.5%,1,4.8%:3.3%,1,89.5%:84.8%,1
2016,08,04000,Colorado,Aurora city,9.0%:15.7%,3,12.7%:20.7%,3,7.5%:6.7%,3,70.9%:57.0%,3
2016,08,07850,Colorado,Boulder city,0.2%:0.7%,3,2.6%:7.7%,3,4.4%:8.3%,3,92.8%:83.3%,2
2016,08,12815,Colorado,Centennial city,1.7%:5.4%,3,4.3%:7.2%,2,6.0%:6.8%,2,88.1%:80.5%,2
2016,08,16000,Colorado,Colorado Springs city,3.3%:6.6%,3,7.6%:12.8%,3,4.1%:6.0%,3,85.1%:74.6%,3
2016,08,20000,Colorado,Denver city,6.1%:8.9%,1,12.4%:21.2%,1,4.6%:5.8%,1,76.9%:64.1%,1
2016,08,27425,Colorado,Fort Collins city,0.6%:1.3%,3,4.0%:8.6%,2,3.4%:4.6%,2,91.9%:85.5%,2
2016,08,32155,Colorado,Greeley city,0.2%:1.6%,3,11.8%:25.5%,2,2.1%:2.5%,3,85.9%:70.4%,2
2016,08,43000,Colorado,Lakewood city,0.7%:1.3%,3,7.1%:16.3%,3,4.2%:4.0%,3,88.0%:78.4%,3
2016,08,45970,Colorado,Longmont city,0.4%:0.8%,3,7.4%:14.7%,2,6.6%:5.1%,3,85.6%:79.4%,2
2016,08,46465,Colorado,Loveland city,NA%:0.2%,NA,4.6%:6.7%,3,3.2%:2.4%,3,92.2%:90.6%,2
2016,08,62000,Colorado,Pueblo city,2.1%:3.0%,3,28.6%:36.9%,3,3.9%:4.5%,3,65.4%:55.6%,3
2016,08,77290,Colorado,Thornton city,0.6%:1.4%,3,16.2%:29.2%,2,5.4%:4.3%,2,77.8%:65.2%,2
2016,08,83835,Colorado,Westminster city,0.4%:2.6%,3,12.4%:21.6%,2,8.5%:6.1%,2,78.6%:69.7%,2
2016,09,08000,Connecticut,Bridgeport city,25.7%:31.0%,1,24.0%:34.8%,1,5.2%:5.3%,3,45.0%:28.9%,1
2016,09,18430,Connecticut,Danbury city,1.3%:3.8%,3,6.6%:14.2%,3,2.7%:6.3%,3,89.4%:75.7%,2
2016,09,37000,Connecticut,Hartford city,31.8%:33.3%,3,38.6%:40.8%,3,1.4%:4.1%,3,28.2%:21.8%,3
2016,09,52000,Connecticut,New Haven city,22.9%:28.4%,1,10.5%:23.1%,3,5.3%:10.1%,3,61.3%:38.4%,1
2016,09,55990,Connecticut,Norwalk city,3.4%:8.6%,3,4.9%:13.0%,3,8.3%:8.6%,3,83.4%:69.8%,2
2016,09,73000,Connecticut,Stamford city,3.6%:9.8%,3,7.4%:17.2%,3,7.4%:8.2%,3,81.6%:64.8%,3
2016,09,80000,Connecticut,Waterbury city,16.1%:19.9%,3,15.5%:30.7%,3,4.5%:4.7%,3,63.9%:44.7%,2
2016,11,50000,District of Columbia,Washington city,23.9%:43.6%,1,5.8%:9.6%,1,6.2%:6.4%,1,64.1%:40.4%,1
2016,12,07300,Florida,Boca Raton city,0.7%:4.0%,3,4.9%:10.0%,2,1.8%:3.8%,2,92.6%:82.2%,2
2016,12,07875,Florida,Boynton Beach city,5.1%:15.4%,2,5.7%:9.2%,2,2.2%:2.4%,3,87.0%:73.0%,2
2016,12,10275,Florida,Cape Coral city,0.8%:2.8%,1,8.8%:14.6%,1,0.8%:1.0%,3,89.6%:81.5%,1
2016,12,12875,Florida,Clearwater city,2.7%:10.5%,2,3.4%:10.0%,2,1.8%:2.1%,2,92.1%:77.4%,2
2016,12,14400,Florida,Coral Springs city,9.3%:18.5%,1,14.4%:21.2%,1,7.3%:6.8%,1,69.0%:53.4%,1
2016,12,16475,Florida,Davie town,7.4%:8.2%,2,27.4%:30.2%,2,9.2%:9.8%,2,55.9%:51.7%,2
2016,12,16725,Florida,Deerfield Beach city,5.7%:18.1%,3,10.6%:13.3%,2,1.7%:3.6%,3,82.0%:65.0%,2
2016,12,17200,Florida,Deltona city,5.1%:7.2%,3,14.4%:19.6%,2,5.4%:4.9%,3,75.1%:68.4%,2
2016,12,17935,Florida,Doral city,0.6%:3.5%,3,92.5%:88.1%,2,1.8%:2.7%,3,5.2%:5.7%,3
2016,12,24000,Florida,Fort Lauderdale city,7.3%:26.5%,3,5.8%:15.7%,3,1.9%:3.4%,3,84.9%:54.4%,3
2016,12,24125,Florida,Fort Myers city,5.4%:17.2%,2,3.5%:16.5%,2,6.3%:2.2%,3,84.7%:64.1%,2
2016,12,25175,Florida,Gainesville city,7.7%:19.8%,1,3.8%:12.0%,3,5.5%:7.7%,1,83.0%:60.4%,1
2016,12,30000,Florida,Hialeah city,3.2%:3.4%,2,92.7%:92.8%,2,0.4%:0.7%,3,3.7%:3.2%,2
2016,12,32000,Florida,Hollywood city,10.5%:13.8%,2,28.0%:34.9%,2,3.0%:4.0%,2,58.5%:47.3%,2
2016,12,32275,Florida,Homestead city,6.5%:17.4%,3,36.1%:54.0%,3,0.6%:1.2%,3,56.9%:27.3%,3
2016,12,35000,Florida,Jacksonville city,15.0%:27.1%,3,4.7%:7.4%,3,6.6%:6.3%,3,73.6%:59.1%,3
2016,12,36950,Florida,Kissimmee city,9.4%:11.4%,2,35.1%:51.0%,2,4.6%:3.4%,3,51.0%:34.2%,2
2016,12,38250,Florida,Lakeland city,6.6%:11.8%,2,10.4%:13.7%,2,5.7%:3.8%,2,77.4%:70.7%,2
2016,12,39425,Florida,Largo city,3.1%:6.0%,2,2.9%:7.9%,2,3.7%:4.3%,2,90.4%:81.7%,2
2016,12,43975,Florida,Melbourne city,2.4%:5.8%,2,6.7%:7.5%,2,7.1%:6.7%,2,83.8%:79.9%,2
2016,12,45000,Florida,Miami city,4.2%:14.0%,2,57.5%:70.5%,2,1.6%:1.2%,2,36.7%:14.3%,2
2016,12,45025,Florida,Miami Beach city,1.0%:4.2%,3,36.0%:47.8%,2,3.8%:6.4%,3,59.2%:41.7%,2
2016,12,45060,Florida,Miami Gardens city,53.9%:56.7%,2,34.5%:34.5%,2,4.5%:2.6%,3,7.0%:6.2%,2
2016,12,45975,Florida,Miramar city,28.0%:32.9%,2,34.3%:34.1%,2,5.7%:5.0%,3,32.0%:28.0%,2
2016,12,49675,Florida,North Port city,2.0%:2.6%,3,2.1%:3.2%,3,0.8%:1.5%,3,95.0%:92.8%,3
2016,12,53000,Florida,Orlando city,11.5%:23.3%,3,13.1%:25.0%,3,5.3%:5.9%,3,70.0%:45.7%,3
2016,12,54000,Florida,Palm Bay city,8.1%:14.1%,1,16.7%:9.8%,3,3.2%:3.8%,3,72.0%:72.4%,1
2016,12,54200,Florida,Palm Coast city,11.4%:11.2%,3,4.0%:5.6%,3,2.9%:2.6%,3,81.8%:80.6%,2
2016,12,55775,Florida,Pembroke Pines city,12.2%:16.2%,2,37.4%:40.6%,2,8.8%:6.3%,2,41.7%:36.9%,2
2016,12,57425,Florida,Plantation city,14.8%:23.5%,2,19.9%:25.9%,2,5.7%:5.5%,2,59.6%:45.1%,2
2016,12,58050,Florida,Pompano Beach city,3.7%:19.6%,2,9.5%:15.6%,2,3.0%:3.8%,2,83.8%:61.0%,2
2016,12,58715,Florida,Port St. Lucie city,16.7%:13.9%,1,7.8%:15.4%,1,3.3%:3.2%,3,72.2%:67.5%,1
2016,12,63000,Florida,St. Petersburg city,6.8%:17.8%,3,4.6%:6.7%,3,3.5%:3.9%,3,85.1%:71.6%,3
2016,12,69700,Florida,Sunrise city,14.1%:22.6%,2,21.4%:26.5%,2,6.3%:5.7%,2,58.1%:45.1%,2
2016,12,70600,Florida,Tallahassee city,14.0%:33.9%,1,4.4%:5.7%,3,4.3%:5.3%,1,77.3%:55.1%,1
2016,12,71000,Florida,Tampa city,8.4%:22.5%,2,13.7%:23.0%,2,6.0%:5.6%,2,71.9%:49.0%,2
2016,12,76600,Florida,West Palm Beach city,8.9%:26.7%,2,6.9%:19.8%,2,2.2%:4.1%,2,82.0%:49.4%,2
2016,13,03440,Georgia,Athens-Clarke County unified government (balance),11.5%:25.6%,2,6.1%:7.1%,3,3.7%:6.7%,3,78.7%:60.6%,2
2016,13,04000,Georgia,Atlanta city,13.0%:46.8%,3,3.3%:4.4%,3,4.1%:7.8%,3,79.5%:41.0%,3
2016,13,04204,Georgia,Augusta-Richmond County consolidated government (balance),44.2%:52.0%,1,2.3%:4.2%,3,4.0%:4.7%,3,49.5%:39.1%,1
2016,13,19000,Georgia,Columbus city,29.3%:42.4%,3,5.6%:7.5%,3,5.3%:4.9%,3,59.8%:45.2%,3
2016,13,42425,Georgia,Johns Creek city,5.4%:7.6%,3,3.7%:6.3%,3,22.7%:26.0%,2,68.2%:60.1%,2
2016,13,49008,Georgia,Macon-Bibb County,30.6%:49.7%,1,2.2%:2.7%,3,2.7%:3.0%,3,64.5%:44.7%,1
2016,13,67284,Georgia,Roswell city,3.9%:11.1%,3,2.8%:9.1%,3,5.1%:6.8%,2,88.2%:73.1%,2
2016,13,68516,Georgia,Sandy Springs city,5.0%:19.3%,3,2.1%:10.5%,3,3.4%:8.6%,3,89.5%:61.5%,1
2016,13,69000,Georgia,Savannah city,25.6%:44.8%,3,8.2%:6.3%,3,3.2%:3.6%,3,63.0%:45.3%,3
2016,13,80508,Georgia,Warner Robins city,19.9%:33.3%,2,3.1%:4.6%,3,3.6%:2.4%,3,73.4%:59.7%,2
2016,15,71550,Hawaii,Urban Honolulu CDP,0.4%:2.5%,3,2.0%:5.3%,3,78.3%:68.8%,1,19.4%:23.4%,1
2016,16,08830,Idaho,Boise City city,0.5%:0.9%,3,3.7%:8.0%,2,5.7%:5.9%,2,90.2%:85.2%,2
2016,16,52120,Idaho,Meridian city,0.6%:0.6%,3,4.5%:9.1%,3,3.0%:2.4%,3,91.9%:87.9%,3
2016,16,56260,Idaho,Nampa city,NA%:0.2%,NA,5.9%:12.9%,2,1.8%:2.3%,3,92.3%:84.6%,2
2016,17,02154,Illinois,Arlington Heights village,0.4%:2.6%,3,4.0%:12.2%,3,8.9%:10.1%,3,86.7%:75.2%,3
2016,17,03012,Illinois,Aurora city,5.0%:10.9%,2,18.4%:30.5%,2,8.1%:6.5%,2,68.6%:52.1%,2
2016,17,06613,Illinois,Bloomington city,3.9%:8.6%,3,1.4%:3.7%,3,3.4%:5.8%,3,91.3%:82.0%,2
2016,17,12385,Illinois,Champaign city,7.0%:12.2%,3,1.1%:5.3%,3,6.5%:13.0%,3,85.3%:69.5%,3
2016,17,14000,Illinois,Chicago city,14.2%:30.9%,1,15.6%:20.7%,1,8.3%:8.2%,1,61.8%:40.2%,1
2016,17,14351,Illinois,Cicero town,8.4%:12.0%,3,30.0%:48.0%,2,2.4%:3.8%,3,59.2%:36.2%,2
2016,17,23074,Illinois,Elgin city,1.2%:5.1%,3,13.1%:25.9%,2,8.2%:6.8%,2,77.5%:62.2%,2
2016,17,24582,Illinois,Evanston city,5.7%:9.9%,3,4.5%:6.9%,3,14.7%:19.5%,2,75.1%:63.6%,2
2016,17,38570,Illinois,Joliet city,6.5%:16.9%,2,13.9%:16.7%,2,3.3%:3.9%,2,76.3%:62.6%,2
2016,17,51622,Illinois,Naperville city,4.1%:9.1%,2,5.7%:8.2%,2,15.9%:14.5%,2,74.4%:68.2%,2
2016,17,59000,Illinois,Peoria city,3.4%:16.9%,3,3.3%:3.3%,3,7.0%:4.9%,3,86.3%:75.0%,3
2016,17,65000,Illinois,Rockford city,10.3%:15.3%,3,6.3%:11.2%,3,4.1%:4.8%,3,79.3%:68.8%,3
2016,17,68003,Illinois,Schaumburg village,2.6%:3.3%,3,6.5%:9.7%,2,17.6%:19.0%,2,73.4%:68.1%,2
2016,17,72000,Illinois,Springfield city,3.7%:11.5%,2,0.9%:1.5%,3,2.3%:3.7%,3,93.1%:83.3%,2
2016,17,79293,Illinois,Waukegan city,7.4%:21.4%,2,17.7%:30.4%,2,5.0%:4.1%,2,69.9%:44.1%,2
2016,18,05860,Indiana,Bloomington city,0.7%:3.3%,3,0.3%:2.3%,3,3.2%:9.4%,3,95.8%:85.0%,2
2016,18,10342,Indiana,Carmel city,1.2%:3.7%,3,3.9%:3.4%,3,10.8%:9.8%,3,84.1%:83.0%,2
2016,18,22000,Indiana,Evansville city,4.4%:7.6%,3,0.9%:1.3%,3,1.4%:3.4%,3,93.3%:87.7%,3
2016,18,23278,Indiana,Fishers city,3.2%:4.4%,3,3.3%:3.6%,3,5.2%:4.7%,3,88.2%:87.2%,2
2016,18,25000,Indiana,Fort Wayne city,5.2%:13.8%,1,4.3%:6.1%,1,2.9%:5.1%,1,87.5%:75.0%,1
2016,18,31000,Indiana,Hammond city,12.7%:29.7%,3,37.9%:35.7%,3,1.1%:1.3%,3,48.4%:33.3%,3
