state,place,environmental,subgroup,subgroup_type,geoid,environmental_quality,year
53,67000,17,Not High Poverty,poverty,5367000,1,2018
53,67167,NA,High Poverty,poverty,5367167,NA,2018
53,67167,24,Not High Poverty,poverty,5367167,1,2018
53,70000,11,High Poverty,poverty,5370000,1,2018
53,70000,15,Not High Poverty,poverty,5370000,1,2018
53,74060,NA,High Poverty,poverty,5374060,NA,2018
53,74060,17,Not High Poverty,poverty,5374060,1,2018
53,80010,47,High Poverty,poverty,5380010,1,2018
53,80010,47,Not High Poverty,poverty,5380010,1,2018
55,02375,NA,High Poverty,poverty,5502375,NA,2018
55,02375,61,Not High Poverty,poverty,5502375,1,2018
55,31000,76,High Poverty,poverty,5531000,1,2018
55,31000,73,Not High Poverty,poverty,5531000,1,2018
55,39225,74,High Poverty,poverty,5539225,1,2018
55,39225,75,Not High Poverty,poverty,5539225,1,2018
55,48000,76,High Poverty,poverty,5548000,1,2018
55,48000,70,Not High Poverty,poverty,5548000,1,2018
55,53000,53,High Poverty,poverty,5553000,1,2018
55,53000,58,Not High Poverty,poverty,5553000,1,2018
55,66000,75,High Poverty,poverty,5566000,1,2018
55,66000,74,Not High Poverty,poverty,5566000,1,2018
01,03076,NA,Majority Non-White,race-ethnicity,0103076,NA,2018
01,03076,15,"Majority White, Non-Hispanic",race-ethnicity,0103076,1,2018
01,03076,NA,No Majority Race/Ethnicity,race-ethnicity,0103076,NA,2018
01,07000,7,Majority Non-White,race-ethnicity,0107000,1,2018
01,07000,7,"Majority White, Non-Hispanic",race-ethnicity,0107000,1,2018
01,07000,NA,No Majority Race/Ethnicity,race-ethnicity,0107000,NA,2018
01,35896,8,Majority Non-White,race-ethnicity,0135896,1,2018
01,35896,8,"Majority White, Non-Hispanic",race-ethnicity,0135896,1,2018
01,35896,NA,No Majority Race/Ethnicity,race-ethnicity,0135896,NA,2018
01,37000,18,Majority Non-White,race-ethnicity,0137000,1,2018
01,37000,17,"Majority White, Non-Hispanic",race-ethnicity,0137000,1,2018
01,37000,NA,No Majority Race/Ethnicity,race-ethnicity,0137000,NA,2018
01,50000,15,Majority Non-White,race-ethnicity,0150000,1,2018
01,50000,18,"Majority White, Non-Hispanic",race-ethnicity,0150000,1,2018
01,50000,NA,No Majority Race/Ethnicity,race-ethnicity,0150000,NA,2018
01,51000,16,Majority Non-White,race-ethnicity,0151000,1,2018
01,51000,14,"Majority White, Non-Hispanic",race-ethnicity,0151000,1,2018
01,51000,NA,No Majority Race/Ethnicity,race-ethnicity,0151000,NA,2018
01,77256,5,Majority Non-White,race-ethnicity,0177256,1,2018
01,77256,8,"Majority White, Non-Hispanic",race-ethnicity,0177256,1,2018
01,77256,NA,No Majority Race/Ethnicity,race-ethnicity,0177256,NA,2018
02,03000,42,Majority Non-White,race-ethnicity,0203000,1,2018
02,03000,62,"Majority White, Non-Hispanic",race-ethnicity,0203000,1,2018
02,03000,NA,No Majority Race/Ethnicity,race-ethnicity,0203000,NA,2018
04,04720,21,Majority Non-White,race-ethnicity,0404720,1,2018
04,04720,NA,"Majority White, Non-Hispanic",race-ethnicity,0404720,NA,2018
04,04720,NA,No Majority Race/Ethnicity,race-ethnicity,0404720,NA,2018
04,07940,NA,Majority Non-White,race-ethnicity,0407940,NA,2018
04,07940,93,"Majority White, Non-Hispanic",race-ethnicity,0407940,1,2018
04,07940,NA,No Majority Race/Ethnicity,race-ethnicity,0407940,NA,2018
04,12000,14,Majority Non-White,race-ethnicity,0412000,1,2018
04,12000,23,"Majority White, Non-Hispanic",race-ethnicity,0412000,1,2018
04,12000,NA,No Majority Race/Ethnicity,race-ethnicity,0412000,NA,2018
04,23620,NA,Majority Non-White,race-ethnicity,0423620,NA,2018
04,23620,89,"Majority White, Non-Hispanic",race-ethnicity,0423620,1,2018
04,23620,NA,No Majority Race/Ethnicity,race-ethnicity,0423620,NA,2018
04,27400,NA,Majority Non-White,race-ethnicity,0427400,NA,2018
04,27400,23,"Majority White, Non-Hispanic",race-ethnicity,0427400,1,2018
04,27400,NA,No Majority Race/Ethnicity,race-ethnicity,0427400,NA,2018
04,27820,26,Majority Non-White,race-ethnicity,0427820,1,2018
04,27820,27,"Majority White, Non-Hispanic",race-ethnicity,0427820,1,2018
04,27820,NA,No Majority Race/Ethnicity,race-ethnicity,0427820,NA,2018
04,28380,26,Majority Non-White,race-ethnicity,0428380,1,2018
04,28380,42,"Majority White, Non-Hispanic",race-ethnicity,0428380,1,2018
04,28380,NA,No Majority Race/Ethnicity,race-ethnicity,0428380,NA,2018
04,46000,26,Majority Non-White,race-ethnicity,0446000,1,2018
04,46000,27,"Majority White, Non-Hispanic",race-ethnicity,0446000,1,2018
04,46000,NA,No Majority Race/Ethnicity,race-ethnicity,0446000,NA,2018
04,54050,26,Majority Non-White,race-ethnicity,0454050,1,2018
04,54050,31,"Majority White, Non-Hispanic",race-ethnicity,0454050,1,2018
04,54050,NA,No Majority Race/Ethnicity,race-ethnicity,0454050,NA,2018
04,55000,23,Majority Non-White,race-ethnicity,0455000,1,2018
04,55000,30,"Majority White, Non-Hispanic",race-ethnicity,0455000,1,2018
04,55000,NA,No Majority Race/Ethnicity,race-ethnicity,0455000,NA,2018
04,65000,NA,Majority Non-White,race-ethnicity,0465000,NA,2018
04,65000,38,"Majority White, Non-Hispanic",race-ethnicity,0465000,1,2018
04,65000,NA,No Majority Race/Ethnicity,race-ethnicity,0465000,NA,2018
04,71510,26,Majority Non-White,race-ethnicity,0471510,1,2018
04,71510,52,"Majority White, Non-Hispanic",race-ethnicity,0471510,1,2018
04,71510,NA,No Majority Race/Ethnicity,race-ethnicity,0471510,NA,2018
04,73000,17,Majority Non-White,race-ethnicity,0473000,1,2018
04,73000,13,"Majority White, Non-Hispanic",race-ethnicity,0473000,1,2018
04,73000,NA,No Majority Race/Ethnicity,race-ethnicity,0473000,NA,2018
04,77000,51,Majority Non-White,race-ethnicity,0477000,1,2018
04,77000,65,"Majority White, Non-Hispanic",race-ethnicity,0477000,1,2018
04,77000,NA,No Majority Race/Ethnicity,race-ethnicity,0477000,NA,2018
04,85540,37,Majority Non-White,race-ethnicity,0485540,1,2018
04,85540,23,"Majority White, Non-Hispanic",race-ethnicity,0485540,1,2018
04,85540,NA,No Majority Race/Ethnicity,race-ethnicity,0485540,NA,2018
05,23290,NA,Majority Non-White,race-ethnicity,0523290,NA,2018
05,23290,26,"Majority White, Non-Hispanic",race-ethnicity,0523290,1,2018
05,23290,NA,No Majority Race/Ethnicity,race-ethnicity,0523290,NA,2018
05,24550,14,Majority Non-White,race-ethnicity,0524550,1,2018
05,24550,13,"Majority White, Non-Hispanic",race-ethnicity,0524550,1,2018
05,24550,NA,No Majority Race/Ethnicity,race-ethnicity,0524550,NA,2018
05,35710,NA,Majority Non-White,race-ethnicity,0535710,NA,2018
05,35710,47,"Majority White, Non-Hispanic",race-ethnicity,0535710,1,2018
05,35710,NA,No Majority Race/Ethnicity,race-ethnicity,0535710,NA,2018
05,41000,21,Majority Non-White,race-ethnicity,0541000,1,2018
05,41000,18,"Majority White, Non-Hispanic",race-ethnicity,0541000,1,2018
05,41000,NA,No Majority Race/Ethnicity,race-ethnicity,0541000,NA,2018
05,66080,NA,Majority Non-White,race-ethnicity,0566080,NA,2018
05,66080,26,"Majority White, Non-Hispanic",race-ethnicity,0566080,1,2018
05,66080,NA,No Majority Race/Ethnicity,race-ethnicity,0566080,NA,2018
06,00562,48,Majority Non-White,race-ethnicity,0600562,1,2018
06,00562,47,"Majority White, Non-Hispanic",race-ethnicity,0600562,1,2018
06,00562,NA,No Majority Race/Ethnicity,race-ethnicity,0600562,NA,2018
06,00884,4,Majority Non-White,race-ethnicity,0600884,1,2018
06,00884,NA,"Majority White, Non-Hispanic",race-ethnicity,0600884,NA,2018
06,00884,NA,No Majority Race/Ethnicity,race-ethnicity,0600884,NA,2018
06,02000,5,Majority Non-White,race-ethnicity,0602000,1,2018
06,02000,11,"Majority White, Non-Hispanic",race-ethnicity,0602000,1,2018
06,02000,NA,No Majority Race/Ethnicity,race-ethnicity,0602000,NA,2018
06,02252,27,Majority Non-White,race-ethnicity,0602252,1,2018
06,02252,NA,"Majority White, Non-Hispanic",race-ethnicity,0602252,NA,2018
06,02252,NA,No Majority Race/Ethnicity,race-ethnicity,0602252,NA,2018
06,02364,NA,Majority Non-White,race-ethnicity,0602364,NA,2018
06,02364,76,"Majority White, Non-Hispanic",race-ethnicity,0602364,1,2018
06,02364,NA,No Majority Race/Ethnicity,race-ethnicity,0602364,NA,2018
06,03526,20,Majority Non-White,race-ethnicity,0603526,1,2018
06,03526,29,"Majority White, Non-Hispanic",race-ethnicity,0603526,1,2018
06,03526,NA,No Majority Race/Ethnicity,race-ethnicity,0603526,NA,2018
06,04982,4,Majority Non-White,race-ethnicity,0604982,1,2018
06,04982,NA,"Majority White, Non-Hispanic",race-ethnicity,0604982,NA,2018
06,04982,NA,No Majority Race/Ethnicity,race-ethnicity,0604982,NA,2018
06,06000,40,Majority Non-White,race-ethnicity,0606000,1,2018
06,06000,41,"Majority White, Non-Hispanic",race-ethnicity,0606000,1,2018
06,06000,NA,No Majority Race/Ethnicity,race-ethnicity,0606000,NA,2018
06,08786,5,Majority Non-White,race-ethnicity,0608786,1,2018
06,08786,NA,"Majority White, Non-Hispanic",race-ethnicity,0608786,NA,2018
06,08786,NA,No Majority Race/Ethnicity,race-ethnicity,0608786,NA,2018
06,08954,9,Majority Non-White,race-ethnicity,0608954,1,2018
06,08954,12,"Majority White, Non-Hispanic",race-ethnicity,0608954,1,2018
06,08954,NA,No Majority Race/Ethnicity,race-ethnicity,0608954,NA,2018
06,11194,NA,Majority Non-White,race-ethnicity,0611194,NA,2018
06,11194,47,"Majority White, Non-Hispanic",race-ethnicity,0611194,1,2018
06,11194,NA,No Majority Race/Ethnicity,race-ethnicity,0611194,NA,2018
06,11530,0,Majority Non-White,race-ethnicity,0611530,1,2018
06,11530,NA,"Majority White, Non-Hispanic",race-ethnicity,0611530,NA,2018
06,11530,NA,No Majority Race/Ethnicity,race-ethnicity,0611530,NA,2018
06,13014,NA,Majority Non-White,race-ethnicity,0613014,NA,2018
06,13014,1,"Majority White, Non-Hispanic",race-ethnicity,0613014,1,2018
06,13014,NA,No Majority Race/Ethnicity,race-ethnicity,0613014,NA,2018
06,13210,6,Majority Non-White,race-ethnicity,0613210,1,2018
06,13210,NA,"Majority White, Non-Hispanic",race-ethnicity,0613210,NA,2018
06,13210,NA,No Majority Race/Ethnicity,race-ethnicity,0613210,NA,2018
06,13214,12,Majority Non-White,race-ethnicity,0613214,1,2018
06,13214,NA,"Majority White, Non-Hispanic",race-ethnicity,0613214,NA,2018
06,13214,NA,No Majority Race/Ethnicity,race-ethnicity,0613214,NA,2018
06,13392,28,Majority Non-White,race-ethnicity,0613392,1,2018
06,13392,NA,"Majority White, Non-Hispanic",race-ethnicity,0613392,NA,2018
06,13392,NA,No Majority Race/Ethnicity,race-ethnicity,0613392,NA,2018
06,13588,NA,Majority Non-White,race-ethnicity,0613588,NA,2018
06,13588,1,"Majority White, Non-Hispanic",race-ethnicity,0613588,1,2018
06,13588,NA,No Majority Race/Ethnicity,race-ethnicity,0613588,NA,2018
06,14218,6,Majority Non-White,race-ethnicity,0614218,1,2018
06,14218,14,"Majority White, Non-Hispanic",race-ethnicity,0614218,1,2018
06,14218,NA,No Majority Race/Ethnicity,race-ethnicity,0614218,NA,2018
06,15044,1,Majority Non-White,race-ethnicity,0615044,1,2018
06,15044,NA,"Majority White, Non-Hispanic",race-ethnicity,0615044,NA,2018
06,15044,NA,No Majority Race/Ethnicity,race-ethnicity,0615044,NA,2018
06,16000,41,Majority Non-White,race-ethnicity,0616000,1,2018
06,16000,48,"Majority White, Non-Hispanic",race-ethnicity,0616000,1,2018
06,16000,NA,No Majority Race/Ethnicity,race-ethnicity,0616000,NA,2018
06,16350,13,Majority Non-White,race-ethnicity,0616350,1,2018
06,16350,26,"Majority White, Non-Hispanic",race-ethnicity,0616350,1,2018
06,16350,NA,No Majority Race/Ethnicity,race-ethnicity,0616350,NA,2018
06,16532,40,Majority Non-White,race-ethnicity,0616532,1,2018
06,16532,37,"Majority White, Non-Hispanic",race-ethnicity,0616532,1,2018
06,16532,NA,No Majority Race/Ethnicity,race-ethnicity,0616532,NA,2018
06,17918,69,Majority Non-White,race-ethnicity,0617918,1,2018
06,17918,NA,"Majority White, Non-Hispanic",race-ethnicity,0617918,NA,2018
06,17918,NA,No Majority Race/Ethnicity,race-ethnicity,0617918,NA,2018
06,19766,4,Majority Non-White,race-ethnicity,0619766,1,2018
06,19766,NA,"Majority White, Non-Hispanic",race-ethnicity,0619766,NA,2018
06,19766,NA,No Majority Race/Ethnicity,race-ethnicity,0619766,NA,2018
06,21712,20,Majority Non-White,race-ethnicity,0621712,1,2018
06,21712,22,"Majority White, Non-Hispanic",race-ethnicity,0621712,1,2018
06,21712,NA,No Majority Race/Ethnicity,race-ethnicity,0621712,NA,2018
06,22020,6,Majority Non-White,race-ethnicity,0622020,1,2018
06,22020,6,"Majority White, Non-Hispanic",race-ethnicity,0622020,1,2018
06,22020,NA,No Majority Race/Ethnicity,race-ethnicity,0622020,NA,2018
06,22230,4,Majority Non-White,race-ethnicity,0622230,1,2018
06,22230,NA,"Majority White, Non-Hispanic",race-ethnicity,0622230,NA,2018
06,22230,NA,No Majority Race/Ethnicity,race-ethnicity,0622230,NA,2018
06,22804,37,Majority Non-White,race-ethnicity,0622804,1,2018
06,22804,40,"Majority White, Non-Hispanic",race-ethnicity,0622804,1,2018
06,22804,NA,No Majority Race/Ethnicity,race-ethnicity,0622804,NA,2018
06,23182,28,Majority Non-White,race-ethnicity,0623182,1,2018
06,23182,NA,"Majority White, Non-Hispanic",race-ethnicity,0623182,NA,2018
06,23182,NA,No Majority Race/Ethnicity,race-ethnicity,0623182,NA,2018
06,24638,4,Majority Non-White,race-ethnicity,0624638,1,2018
06,24638,4,"Majority White, Non-Hispanic",race-ethnicity,0624638,1,2018
06,24638,NA,No Majority Race/Ethnicity,race-ethnicity,0624638,NA,2018
06,24680,10,Majority Non-White,race-ethnicity,0624680,1,2018
06,24680,NA,"Majority White, Non-Hispanic",race-ethnicity,0624680,NA,2018
06,24680,NA,No Majority Race/Ethnicity,race-ethnicity,0624680,NA,2018
06,26000,54,Majority Non-White,race-ethnicity,0626000,1,2018
06,26000,NA,"Majority White, Non-Hispanic",race-ethnicity,0626000,NA,2018
06,26000,NA,No Majority Race/Ethnicity,race-ethnicity,0626000,NA,2018
06,27000,8,Majority Non-White,race-ethnicity,0627000,1,2018
06,27000,13,"Majority White, Non-Hispanic",race-ethnicity,0627000,1,2018
06,27000,NA,No Majority Race/Ethnicity,race-ethnicity,0627000,NA,2018
06,28000,5,Majority Non-White,race-ethnicity,0628000,1,2018
06,28000,7,"Majority White, Non-Hispanic",race-ethnicity,0628000,1,2018
06,28000,NA,No Majority Race/Ethnicity,race-ethnicity,0628000,NA,2018
06,29000,6,Majority Non-White,race-ethnicity,0629000,1,2018
06,29000,5,"Majority White, Non-Hispanic",race-ethnicity,0629000,1,2018
06,29000,NA,No Majority Race/Ethnicity,race-ethnicity,0629000,NA,2018
06,30000,8,Majority Non-White,race-ethnicity,0630000,1,2018
06,30000,10,"Majority White, Non-Hispanic",race-ethnicity,0630000,1,2018
06,30000,NA,No Majority Race/Ethnicity,race-ethnicity,0630000,NA,2018
06,32548,4,Majority Non-White,race-ethnicity,0632548,1,2018
06,32548,NA,"Majority White, Non-Hispanic",race-ethnicity,0632548,NA,2018
06,32548,NA,No Majority Race/Ethnicity,race-ethnicity,0632548,NA,2018
06,33000,45,Majority Non-White,race-ethnicity,0633000,1,2018
06,33000,NA,"Majority White, Non-Hispanic",race-ethnicity,0633000,NA,2018
06,33000,NA,No Majority Race/Ethnicity,race-ethnicity,0633000,NA,2018
06,33182,49,Majority Non-White,race-ethnicity,0633182,1,2018
06,33182,50,"Majority White, Non-Hispanic",race-ethnicity,0633182,1,2018
06,33182,NA,No Majority Race/Ethnicity,race-ethnicity,0633182,NA,2018
06,33434,41,Majority Non-White,race-ethnicity,0633434,1,2018
06,33434,NA,"Majority White, Non-Hispanic",race-ethnicity,0633434,NA,2018
06,33434,NA,No Majority Race/Ethnicity,race-ethnicity,0633434,NA,2018
06,36000,34,Majority Non-White,race-ethnicity,0636000,1,2018
06,36000,34,"Majority White, Non-Hispanic",race-ethnicity,0636000,1,2018
06,36000,NA,No Majority Race/Ethnicity,race-ethnicity,0636000,NA,2018
06,36448,48,Majority Non-White,race-ethnicity,0636448,1,2018
06,36448,47,"Majority White, Non-Hispanic",race-ethnicity,0636448,1,2018
06,36448,NA,No Majority Race/Ethnicity,race-ethnicity,0636448,NA,2018
06,36546,2,Majority Non-White,race-ethnicity,0636546,1,2018
06,36546,NA,"Majority White, Non-Hispanic",race-ethnicity,0636546,NA,2018
06,36546,NA,No Majority Race/Ethnicity,race-ethnicity,0636546,NA,2018
06,36770,28,Majority Non-White,race-ethnicity,0636770,1,2018
06,36770,12,"Majority White, Non-Hispanic",race-ethnicity,0636770,1,2018
06,36770,NA,No Majority Race/Ethnicity,race-ethnicity,0636770,NA,2018
06,37692,7,Majority Non-White,race-ethnicity,0637692,1,2018
06,37692,NA,"Majority White, Non-Hispanic",race-ethnicity,0637692,NA,2018
06,37692,NA,No Majority Race/Ethnicity,race-ethnicity,0637692,NA,2018
06,39496,20,Majority Non-White,race-ethnicity,0639496,1,2018
06,39496,19,"Majority White, Non-Hispanic",race-ethnicity,0639496,1,2018
06,39496,NA,No Majority Race/Ethnicity,race-ethnicity,0639496,NA,2018
06,39892,1,Majority Non-White,race-ethnicity,0639892,1,2018
06,39892,NA,"Majority White, Non-Hispanic",race-ethnicity,0639892,NA,2018
06,39892,NA,No Majority Race/Ethnicity,race-ethnicity,0639892,NA,2018
06,40130,59,Majority Non-White,race-ethnicity,0640130,1,2018
06,40130,NA,"Majority White, Non-Hispanic",race-ethnicity,0640130,NA,2018
06,40130,NA,No Majority Race/Ethnicity,race-ethnicity,0640130,NA,2018
06,41992,55,Majority Non-White,race-ethnicity,0641992,1,2018
06,41992,55,"Majority White, Non-Hispanic",race-ethnicity,0641992,1,2018
06,41992,NA,No Majority Race/Ethnicity,race-ethnicity,0641992,NA,2018
06,43000,0,Majority Non-White,race-ethnicity,0643000,1,2018
06,43000,1,"Majority White, Non-Hispanic",race-ethnicity,0643000,1,2018
06,43000,NA,No Majority Race/Ethnicity,race-ethnicity,0643000,NA,2018
06,44000,8,Majority Non-White,race-ethnicity,0644000,1,2018
06,44000,15,"Majority White, Non-Hispanic",race-ethnicity,0644000,1,2018
06,44000,NA,No Majority Race/Ethnicity,race-ethnicity,0644000,NA,2018
06,45484,26,Majority Non-White,race-ethnicity,0645484,1,2018
06,45484,26,"Majority White, Non-Hispanic",race-ethnicity,0645484,1,2018
06,45484,NA,No Majority Race/Ethnicity,race-ethnicity,0645484,NA,2018
06,46842,33,Majority Non-White,race-ethnicity,0646842,1,2018
06,46842,29,"Majority White, Non-Hispanic",race-ethnicity,0646842,1,2018
06,46842,NA,No Majority Race/Ethnicity,race-ethnicity,0646842,NA,2018
06,46898,15,Majority Non-White,race-ethnicity,0646898,1,2018
06,46898,NA,"Majority White, Non-Hispanic",race-ethnicity,0646898,NA,2018
06,46898,NA,No Majority Race/Ethnicity,race-ethnicity,0646898,NA,2018
06,47766,55,Majority Non-White,race-ethnicity,0647766,1,2018
06,47766,NA,"Majority White, Non-Hispanic",race-ethnicity,0647766,NA,2018
06,47766,NA,No Majority Race/Ethnicity,race-ethnicity,0647766,NA,2018
06,48256,36,Majority Non-White,race-ethnicity,0648256,1,2018
06,48256,20,"Majority White, Non-Hispanic",race-ethnicity,0648256,1,2018
06,48256,NA,No Majority Race/Ethnicity,race-ethnicity,0648256,NA,2018
06,48354,26,Majority Non-White,race-ethnicity,0648354,1,2018
06,48354,25,"Majority White, Non-Hispanic",race-ethnicity,0648354,1,2018
06,48354,NA,No Majority Race/Ethnicity,race-ethnicity,0648354,NA,2018
06,49270,23,Majority Non-White,race-ethnicity,0649270,1,2018
06,49270,NA,"Majority White, Non-Hispanic",race-ethnicity,0649270,NA,2018
06,49270,NA,No Majority Race/Ethnicity,race-ethnicity,0649270,NA,2018
06,49670,55,Majority Non-White,race-ethnicity,0649670,1,2018
06,49670,55,"Majority White, Non-Hispanic",race-ethnicity,0649670,1,2018
06,49670,NA,No Majority Race/Ethnicity,race-ethnicity,0649670,NA,2018
06,50076,40,Majority Non-White,race-ethnicity,0650076,1,2018
06,50076,43,"Majority White, Non-Hispanic",race-ethnicity,0650076,1,2018
06,50076,NA,No Majority Race/Ethnicity,race-ethnicity,0650076,NA,2018
06,50258,55,Majority Non-White,race-ethnicity,0650258,1,2018
06,50258,51,"Majority White, Non-Hispanic",race-ethnicity,0650258,1,2018
06,50258,NA,No Majority Race/Ethnicity,race-ethnicity,0650258,NA,2018
06,51182,NA,Majority Non-White,race-ethnicity,0651182,NA,2018
06,51182,44,"Majority White, Non-Hispanic",race-ethnicity,0651182,1,2018
06,51182,NA,No Majority Race/Ethnicity,race-ethnicity,0651182,NA,2018
06,52526,5,Majority Non-White,race-ethnicity,0652526,1,2018
06,52526,NA,"Majority White, Non-Hispanic",race-ethnicity,0652526,NA,2018
06,52526,NA,No Majority Race/Ethnicity,race-ethnicity,0652526,NA,2018
06,53000,46,Majority Non-White,race-ethnicity,0653000,1,2018
06,53000,47,"Majority White, Non-Hispanic",race-ethnicity,0653000,1,2018
06,53000,NA,No Majority Race/Ethnicity,race-ethnicity,0653000,NA,2018
06,53322,43,Majority Non-White,race-ethnicity,0653322,1,2018
06,53322,45,"Majority White, Non-Hispanic",race-ethnicity,0653322,1,2018
06,53322,NA,No Majority Race/Ethnicity,race-ethnicity,0653322,NA,2018
06,53896,5,Majority Non-White,race-ethnicity,0653896,1,2018
06,53896,NA,"Majority White, Non-Hispanic",race-ethnicity,0653896,NA,2018
06,53896,NA,No Majority Race/Ethnicity,race-ethnicity,0653896,NA,2018
06,53980,7,Majority Non-White,race-ethnicity,0653980,1,2018
06,53980,10,"Majority White, Non-Hispanic",race-ethnicity,0653980,1,2018
06,53980,NA,No Majority Race/Ethnicity,race-ethnicity,0653980,NA,2018
06,54652,51,Majority Non-White,race-ethnicity,0654652,1,2018
06,54652,NA,"Majority White, Non-Hispanic",race-ethnicity,0654652,NA,2018
06,54652,NA,No Majority Race/Ethnicity,race-ethnicity,0654652,NA,2018
06,55156,67,Majority Non-White,race-ethnicity,0655156,1,2018
06,55156,76,"Majority White, Non-Hispanic",race-ethnicity,0655156,1,2018
06,55156,NA,No Majority Race/Ethnicity,race-ethnicity,0655156,NA,2018
06,56000,6,Majority Non-White,race-ethnicity,0656000,1,2018
06,56000,8,"Majority White, Non-Hispanic",race-ethnicity,0656000,1,2018
06,56000,NA,No Majority Race/Ethnicity,race-ethnicity,0656000,NA,2018
06,56700,27,Majority Non-White,race-ethnicity,0656700,1,2018
06,56700,NA,"Majority White, Non-Hispanic",race-ethnicity,0656700,NA,2018
06,56700,NA,No Majority Race/Ethnicity,race-ethnicity,0656700,NA,2018
06,57456,17,Majority Non-White,race-ethnicity,0657456,1,2018
06,57456,NA,"Majority White, Non-Hispanic",race-ethnicity,0657456,NA,2018
06,57456,NA,No Majority Race/Ethnicity,race-ethnicity,0657456,NA,2018
06,57792,55,Majority Non-White,race-ethnicity,0657792,1,2018
06,57792,53,"Majority White, Non-Hispanic",race-ethnicity,0657792,1,2018
06,57792,NA,No Majority Race/Ethnicity,race-ethnicity,0657792,NA,2018
06,58072,5,Majority Non-White,race-ethnicity,0658072,1,2018
06,58072,NA,"Majority White, Non-Hispanic",race-ethnicity,0658072,NA,2018
06,58072,NA,No Majority Race/Ethnicity,race-ethnicity,0658072,NA,2018
06,59444,1,Majority Non-White,race-ethnicity,0659444,1,2018
06,59444,1,"Majority White, Non-Hispanic",race-ethnicity,0659444,1,2018
06,59444,NA,No Majority Race/Ethnicity,race-ethnicity,0659444,NA,2018
06,59451,15,Majority Non-White,race-ethnicity,0659451,1,2018
06,59451,20,"Majority White, Non-Hispanic",race-ethnicity,0659451,1,2018
06,59451,NA,No Majority Race/Ethnicity,race-ethnicity,0659451,NA,2018
06,59920,NA,Majority Non-White,race-ethnicity,0659920,NA,2018
06,59920,0,"Majority White, Non-Hispanic",race-ethnicity,0659920,1,2018
06,59920,NA,No Majority Race/Ethnicity,race-ethnicity,0659920,NA,2018
06,60102,54,Majority Non-White,race-ethnicity,0660102,1,2018
06,60102,69,"Majority White, Non-Hispanic",race-ethnicity,0660102,1,2018
06,60102,NA,No Majority Race/Ethnicity,race-ethnicity,0660102,NA,2018
06,60466,11,Majority Non-White,race-ethnicity,0660466,1,2018
06,60466,NA,"Majority White, Non-Hispanic",race-ethnicity,0660466,NA,2018
06,60466,NA,No Majority Race/Ethnicity,race-ethnicity,0660466,NA,2018
06,60620,12,Majority Non-White,race-ethnicity,0660620,1,2018
06,60620,12,"Majority White, Non-Hispanic",race-ethnicity,0660620,1,2018
06,60620,NA,No Majority Race/Ethnicity,race-ethnicity,0660620,NA,2018
06,62000,6,Majority Non-White,race-ethnicity,0662000,1,2018
06,62000,10,"Majority White, Non-Hispanic",race-ethnicity,0662000,1,2018
06,62000,NA,No Majority Race/Ethnicity,race-ethnicity,0662000,NA,2018
06,62938,NA,Majority Non-White,race-ethnicity,0662938,NA,2018
06,62938,2,"Majority White, Non-Hispanic",race-ethnicity,0662938,1,2018
06,62938,NA,No Majority Race/Ethnicity,race-ethnicity,0662938,NA,2018
06,64000,2,Majority Non-White,race-ethnicity,0664000,1,2018
06,64000,1,"Majority White, Non-Hispanic",race-ethnicity,0664000,1,2018
06,64000,NA,No Majority Race/Ethnicity,race-ethnicity,0664000,NA,2018
06,64224,73,Majority Non-White,race-ethnicity,0664224,1,2018
06,64224,NA,"Majority White, Non-Hispanic",race-ethnicity,0664224,NA,2018
06,64224,NA,No Majority Race/Ethnicity,race-ethnicity,0664224,NA,2018
06,65000,14,Majority Non-White,race-ethnicity,0665000,1,2018
06,65000,NA,"Majority White, Non-Hispanic",race-ethnicity,0665000,NA,2018
06,65000,NA,No Majority Race/Ethnicity,race-ethnicity,0665000,NA,2018
06,65042,73,Majority Non-White,race-ethnicity,0665042,1,2018
06,65042,66,"Majority White, Non-Hispanic",race-ethnicity,0665042,1,2018
06,65042,NA,No Majority Race/Ethnicity,race-ethnicity,0665042,NA,2018
06,66000,25,Majority Non-White,race-ethnicity,0666000,1,2018
06,66000,42,"Majority White, Non-Hispanic",race-ethnicity,0666000,1,2018
06,66000,NA,No Majority Race/Ethnicity,race-ethnicity,0666000,NA,2018
06,67000,48,Majority Non-White,race-ethnicity,0667000,1,2018
06,67000,46,"Majority White, Non-Hispanic",race-ethnicity,0667000,1,2018
06,67000,NA,No Majority Race/Ethnicity,race-ethnicity,0667000,NA,2018
06,68000,38,Majority Non-White,race-ethnicity,0668000,1,2018
06,68000,28,"Majority White, Non-Hispanic",race-ethnicity,0668000,1,2018
06,68000,NA,No Majority Race/Ethnicity,race-ethnicity,0668000,NA,2018
06,68084,46,Majority Non-White,race-ethnicity,0668084,1,2018
06,68084,NA,"Majority White, Non-Hispanic",race-ethnicity,0668084,NA,2018
06,68084,NA,No Majority Race/Ethnicity,race-ethnicity,0668084,NA,2018
06,68196,49,Majority Non-White,race-ethnicity,0668196,1,2018
06,68196,50,"Majority White, Non-Hispanic",race-ethnicity,0668196,1,2018
06,68196,NA,No Majority Race/Ethnicity,race-ethnicity,0668196,NA,2018
06,68252,50,Majority Non-White,race-ethnicity,0668252,1,2018
06,68252,60,"Majority White, Non-Hispanic",race-ethnicity,0668252,1,2018
