SCHOOL_YEAR_TEXT,STNAM,FIPST,LEAID,LEANM,SUBGRANT_STATUS,TOTAL,PREK_FLAG,HOTELS_MOTELS,UNSHELTERED,SHELTERED,DOUBLED_UP,CDW,LEP,MIG,UHY,DATE_CUR
2015-2016,TEXAS,48,4801418,THE LAWSON ACADEMY,No,S,,.,.,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801419,VICTORY PREP,No,3,,S,.,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801420,LEADERSHIP PREP SCHOOL,No,6,,.,.,.,6,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801421,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801422,MERIDIAN WORLD SCHOOL LLC,No,S,,S,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801423,PREMIER LEARNING ACADEMY,No,12,,.,.,.,12,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801424,GLOBAL LEARNING VILLAGE,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801425,UME PREPARATORY ACADEMY,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801426,FALLBROOK COLLEGE PREPARATORY ACADEMY,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801427,UT TYLER INNOVATION ACADEMY,No,16,,S,S,.,13,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801428,LEGACY PREPARATORY,No,11,,4,.,.,7,3,3,S,S,12APR17
2015-2016,TEXAS,48,4801429,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801431,AUSTIN ACHIEVE PUBLIC SCHOOLS,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801433,EXCELLENCE IN LEADERSHIP ACADEMY,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801434,THE PRO-VISION ACADEMY,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801435,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801436,VILLAGE TECH SCHOOLS,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801437,C O R E ACADEMY,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801438,BASIS TEXAS,No,5,,.,.,S,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801439,EL PASO LEADERSHIP ACADEMY,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801440,INTERNATIONAL LEADERSHIP OF TEXAS (ILT),No,7,,3,.,S,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801441,GREAT HEARTS TEXAS,No,16,,.,.,.,16,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801442,MONTESSORI FOR ALL,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801443,UTPB STEM ACADEMY,No,4,,.,.,.,4,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801444,CARPE DIEM SCHOOLS,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801445,TRINITY ENVIRONMENTAL ACADEMY,No,8,,.,.,S,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801446,BETA ACADEMY,No,9,,.,.,.,9,3,S,S,S,12APR17
2015-2016,TEXAS,48,4801447,KI CHARTER ACADEMY,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801448,THE EXCEL CENTER (FOR ADULTS),No,6,,S,.,S,4,S,S,S,S,12APR17
2015-2016,TEXAS,48,4801449,THE EXCEL CENTER,No,32,,S,S,4,23,S,S,S,25,12APR17
2015-2016,TEXAS,48,4801450,HIGH POINT ACADEMY,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4807350,COLLEGE STATION ISD,No,176,Y,12,.,5,159,33,6,S,17,12APR17
2015-2016,TEXAS,48,4807380,ABBOTT ISD,No,8,,.,.,.,8,S,S,S,S,12APR17
2015-2016,TEXAS,48,4807410,ABERNATHY ISD,No,20,Y,.,.,.,20,4,S,S,S,12APR17
2015-2016,TEXAS,48,4807440,ABILENE ISD,Yes,947,Y,S,S,84,816,134,27,S,217,12APR17
2015-2016,TEXAS,48,4807470,ACADEMY ISD,No,25,Y,.,.,.,25,S,4,S,S,12APR17
2015-2016,TEXAS,48,4807500,ADRIAN ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4807530,AGUA DULCE ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4807590,ALAMO HEIGHTS ISD,No,16,,S,S,.,13,S,S,S,S,12APR17
2015-2016,TEXAS,48,4807650,ALBA-GOLDEN ISD,No,8,,.,.,.,8,S,S,S,S,12APR17
2015-2016,TEXAS,48,4807680,ALBANY ISD,Yes,11,Y,.,.,.,11,S,S,S,4,12APR17
2015-2016,TEXAS,48,4807710,ALDINE ISD,Yes,780,Y,135,13,83,549,81,142,S,12,12APR17
2015-2016,TEXAS,48,4807780,ALEDO ISD,No,37,Y,S,.,S,33,6,S,S,9,12APR17
2015-2016,TEXAS,48,4807800,ALICE ISD,No,161,Y,5,.,.,156,11,6,S,3,12APR17
2015-2016,TEXAS,48,4807830,ALIEF ISD,Yes,1596,Y,157,25,76,1338,142,384,S,70,12APR17
2015-2016,TEXAS,48,4807890,ALLEN ISD,No,90,Y,20,4,16,50,23,3,S,17,12APR17
2015-2016,TEXAS,48,4807950,ALPINE ISD,No,4,Y,.,.,.,4,S,S,S,S,12APR17
2015-2016,TEXAS,48,4807980,ALTO ISD,No,12,,.,.,.,12,S,S,S,S,12APR17
2015-2016,TEXAS,48,4808090,ALVIN ISD,Yes,710,Y,25,14,98,573,118,68,S,137,12APR17
2015-2016,TEXAS,48,4808100,ALVORD ISD,No,8,Y,.,S,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4808130,AMARILLO ISD,Yes,2174,Y,43,46,195,1890,323,231,64,320,12APR17
2015-2016,TEXAS,48,4808160,AMHERST ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4808190,ANAHUAC ISD,No,35,Y,9,S,S,18,S,3,S,5,12APR17
2015-2016,TEXAS,48,4808230,ANDERSON-SHIRO CISD,No,16,Y,.,.,.,16,3,S,S,9,12APR17
2015-2016,TEXAS,48,4808280,ANDREWS ISD,No,41,Y,6,.,3,32,6,11,S,S,12APR17
2015-2016,TEXAS,48,4808310,ANGLETON ISD,No,349,Y,4,.,10,335,46,22,S,45,12APR17
2015-2016,TEXAS,48,4808340,ANNA ISD,No,16,,S,.,S,13,S,S,S,S,12APR17
2015-2016,TEXAS,48,4808400,ANSON ISD,Yes,102,Y,.,.,.,102,8,3,S,18,12APR17
2015-2016,TEXAS,48,4808430,ANTHONY ISD,No,3,,.,.,.,3,S,S,S,S,12APR17
2015-2016,TEXAS,48,4808460,ANTON ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4808490,APPLE SPRINGS ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4808520,AQUILLA ISD,No,S,,.,.,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4808550,ARANSAS COUNTY ISD,No,104,Y,14,S,S,88,6,9,S,7,12APR17
2015-2016,TEXAS,48,4808580,ARANSAS PASS ISD,No,45,Y,24,.,.,21,6,4,S,8,12APR17
2015-2016,TEXAS,48,4808610,ARCHER CITY ISD,No,28,Y,.,.,.,28,3,S,S,5,12APR17
2015-2016,TEXAS,48,4808670,ARGYLE ISD,No,9,Y,.,.,S,S,3,S,S,4,12APR17
2015-2016,TEXAS,48,4808700,ARLINGTON ISD,Yes,3096,Y,452,50,257,2337,320,367,3,351,12APR17
2015-2016,TEXAS,48,4808730,ARP ISD,No,37,Y,.,S,.,S,S,S,S,3,12APR17
2015-2016,TEXAS,48,4808870,ATHENS ISD,No,53,Y,S,.,S,49,9,12,S,23,12APR17
2015-2016,TEXAS,48,4808880,ATLANTA ISD,No,127,Y,.,.,.,127,11,S,S,S,12APR17
2015-2016,TEXAS,48,4808910,AUBREY ISD,No,48,Y,5,11,.,32,7,4,S,10,12APR17
2015-2016,TEXAS,48,4808940,AUSTIN ISD,Yes,2659,Y,275,29,293,2062,442,561,S,286,12APR17
2015-2016,TEXAS,48,4809000,AUSTWELL-TIVOLI ISD,No,S,,.,.,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4809030,AVALON ISD,No,S,,.,.,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4809060,AVERY ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4809090,AVINGER ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4809150,AXTELL ISD,No,14,Y,S,.,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4809200,AZLE ISD,No,390,Y,S,50,S,324,54,15,S,86,12APR17
2015-2016,TEXAS,48,4809280,BAIRD ISD,Yes,30,Y,.,.,.,30,5,S,S,S,12APR17
2015-2016,TEXAS,48,4809300,BALLINGER ISD,No,44,Y,.,.,.,44,8,S,S,15,12APR17
2015-2016,TEXAS,48,4809330,BALMORHEA ISD,No,S,,.,.,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4809360,BANDERA ISD,Yes,127,Y,.,S,S,121,21,11,S,12,12APR17
2015-2016,TEXAS,48,4809390,BANGS ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4809410,BANQUETE ISD,No,4,,.,.,.,4,S,S,S,S,12APR17
2015-2016,TEXAS,48,4809450,BARBERS HILL ISD,No,12,,S,S,.,9,S,S,S,6,12APR17
2015-2016,TEXAS,48,4809540,BARTLETT ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4809570,BASTROP ISD,Yes,198,Y,5,3,26,164,32,26,S,74,12APR17
2015-2016,TEXAS,48,4809630,BAY CITY ISD,No,111,Y,25,.,15,71,8,7,S,6,12APR17
2015-2016,TEXAS,48,4809670,BEAUMONT ISD,No,868,Y,34,4,33,797,71,43,S,126,12APR17
2015-2016,TEXAS,48,4809690,BECKVILLE ISD,No,28,Y,.,.,5,23,3,S,S,S,12APR17
2015-2016,TEXAS,48,4809720,BEEVILLE ISD,No,49,,S,.,.,S,5,S,S,6,12APR17
2015-2016,TEXAS,48,4809750,BELLEVUE ISD,No,S,,.,.,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4809780,BELLS ISD,No,31,Y,.,.,.,31,S,S,S,S,12APR17
2015-2016,TEXAS,48,4809810,BELLVILLE ISD,No,33,Y,S,.,.,S,8,S,S,3,12APR17
2015-2016,TEXAS,48,4809860,BELTON ISD,Yes,417,Y,14,13,.,390,60,39,S,83,12APR17
2015-2016,TEXAS,48,4809870,BEN BOLT-PALITO BLANCO ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4809980,BENJAMIN ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4810140,BIG SANDY ISD,No,52,Y,.,.,S,S,12,S,S,21,12APR17
2015-2016,TEXAS,48,4810170,BIG SANDY ISD,No,3,,.,.,.,3,S,S,S,S,12APR17
2015-2016,TEXAS,48,4810200,BIG SPRING ISD,No,35,Y,3,.,.,32,S,5,4,S,12APR17
2015-2016,TEXAS,48,4810230,BIRDVILLE ISD,No,338,Y,82,3,77,176,41,20,S,26,12APR17
2015-2016,TEXAS,48,4810260,BISHOP CISD,No,25,Y,.,.,.,25,S,S,S,S,12APR17
2015-2016,TEXAS,48,4810320,BLANCO ISD,No,8,Y,.,S,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4810350,BLAND ISD,No,18,Y,.,.,.,18,S,S,S,S,12APR17
2015-2016,TEXAS,48,4810380,BLANKET ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4810440,BLOOMBURG ISD,No,3,,.,.,.,3,S,S,S,S,12APR17
2015-2016,TEXAS,48,4810470,BLOOMING GROVE ISD,No,32,Y,.,10,.,22,3,S,S,15,12APR17
2015-2016,TEXAS,48,4810500,BLOOMINGTON ISD,No,19,Y,.,.,.,19,S,S,S,3,12APR17
2015-2016,TEXAS,48,4810590,BLUE RIDGE ISD,No,16,,S,.,.,S,3,7,S,S,12APR17
2015-2016,TEXAS,48,4810620,BLUFF DALE ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4810650,BLUM ISD,No,53,Y,.,.,.,53,8,S,S,12,12APR17
2015-2016,TEXAS,48,4810710,BOERNE ISD,No,28,Y,3,.,16,9,6,4,S,3,12APR17
2015-2016,TEXAS,48,4810740,BOLES ISD,No,45,Y,.,.,22,23,6,S,S,5,12APR17
2015-2016,TEXAS,48,4810780,BOLING ISD,No,S,,.,.,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4810800,BONHAM ISD,No,43,Y,S,S,.,36,7,5,S,11,12APR17
2015-2016,TEXAS,48,4810830,BOOKER ISD,No,26,Y,.,.,.,26,S,12,5,S,12APR17
2015-2016,TEXAS,48,4810860,BORDEN COUNTY ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4810890,BORGER ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4810910,BOSQUEVILLE ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4810950,BOVINA ISD,No,19,Y,S,.,.,S,S,13,5,S,12APR17
2015-2016,TEXAS,48,4810990,BOWIE ISD,No,30,Y,.,.,.,30,S,3,S,11,12APR17
2015-2016,TEXAS,48,4811010,BOYD ISD,No,34,Y,.,S,S,30,S,S,S,S,12APR17
2015-2016,TEXAS,48,4811040,BOYS RANCH ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4811070,BRACKETT ISD,No,S,,.,.,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4811110,BRADY ISD,No,50,Y,S,S,11,30,9,5,S,13,12APR17
2015-2016,TEXAS,48,4811190,BRAZOSPORT ISD,No,748,Y,16,23,10,699,78,73,3,240,12APR17
2015-2016,TEXAS,48,4811220,BRECKENRIDGE ISD,Yes,78,,.,S,S,76,18,4,S,9,12APR17
2015-2016,TEXAS,48,4811250,BREMOND ISD,No,9,Y,.,.,.,9,S,S,S,S,12APR17
2015-2016,TEXAS,48,4811280,BRENHAM ISD,No,111,Y,S,.,S,85,15,12,S,S,12APR17
2015-2016,TEXAS,48,4811310,BRIDGE CITY ISD,No,55,Y,.,.,S,S,10,S,S,S,12APR17
2015-2016,TEXAS,48,4811340,BRIDGEPORT ISD,No,139,Y,3,12,12,112,20,15,S,S,12APR17
2015-2016,TEXAS,48,4811400,FORT ELLIOTT CISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4811430,BROADDUS ISD,No,29,,S,.,.,S,7,S,S,9,12APR17
2015-2016,TEXAS,48,4811460,BROCK ISD,No,S,,.,.,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4811490,BRONTE ISD,No,13,Y,S,.,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4811520,BROOKELAND ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4811550,BROOKESMITH ISD,No,S,,.,.,S,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4811580,BROOKS COUNTY ISD,No,52,Y,.,.,.,52,3,S,S,S,12APR17
2015-2016,TEXAS,48,4811610,BROWNFIELD ISD,No,120,Y,6,.,.,114,10,8,9,23,12APR17
2015-2016,TEXAS,48,4811640,BROWNSBORO ISD,No,7,,S,.,S,3,S,S,S,S,12APR17
2015-2016,TEXAS,48,4811680,BROWNSVILLE ISD,Yes,2507,Y,76,210,71,2150,320,1230,120,654,12APR17
2015-2016,TEXAS,48,4811700,BROWNWOOD ISD,No,38,Y,3,.,4,31,4,S,S,S,12APR17
2015-2016,TEXAS,48,4811730,BRUCEVILLE-EDDY ISD,No,30,,.,.,.,30,3,S,S,S,12APR17
2015-2016,TEXAS,48,4811790,BRYAN ISD,No,663,Y,44,13,54,552,60,66,24,98,12APR17
2015-2016,TEXAS,48,4811820,BRYSON ISD,No,3,,.,.,.,3,S,S,S,S,12APR17
2015-2016,TEXAS,48,4811850,BUCKHOLTS ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4811910,BUENA VISTA ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4811990,BUFFALO ISD,No,5,,.,.,.,5,S,S,S,S,12APR17
2015-2016,TEXAS,48,4812060,BULLARD ISD,No,47,Y,S,.,.,S,7,S,S,S,12APR17
2015-2016,TEXAS,48,4812090,BUNA ISD,No,24,,.,S,S,19,3,S,S,S,12APR17
2015-2016,TEXAS,48,4812120,BURKBURNETT ISD,No,55,Y,.,S,.,S,S,S,S,5,12APR17
2015-2016,TEXAS,48,4812150,BURKEVILLE ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4812180,BURLESON ISD,No,56,Y,5,.,.,51,7,5,S,S,12APR17
2015-2016,TEXAS,48,4812220,BURNET CISD,No,6,,S,.,S,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4812240,BURTON ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4812360,BYNUM ISD,No,15,Y,.,.,.,15,4,S,S,S,12APR17
2015-2016,TEXAS,48,4812390,CADDO MILLS ISD,No,56,Y,.,4,.,52,7,S,S,12,12APR17
2015-2016,TEXAS,48,4812420,CALALLEN ISD,No,86,Y,S,S,30,51,8,5,S,32,12APR17
2015-2016,TEXAS,48,4812460,CALDWELL ISD,No,16,,S,.,S,11,S,S,S,S,12APR17
2015-2016,TEXAS,48,4812480,CALHOUN COUNTY ISD,No,176,Y,5,S,S,166,23,11,S,27,12APR17
2015-2016,TEXAS,48,4812510,CALLISBURG ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4812540,CALVERT ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4812640,CAMERON ISD,No,40,Y,.,.,.,40,8,S,S,30,12APR17
2015-2016,TEXAS,48,4812660,CAMPBELL ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4812700,CANADIAN ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4812750,CANTON ISD,No,32,Y,5,.,.,27,6,S,S,3,12APR17
2015-2016,TEXAS,48,4812780,CANUTILLO ISD,Yes,78,Y,.,S,S,73,6,24,4,11,12APR17
2015-2016,TEXAS,48,4812810,CANYON ISD,No,151,Y,S,S,76,67,26,4,S,10,12APR17
2015-2016,TEXAS,48,4812870,CARLISLE ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4812990,CARRIZO SPRINGS CISD,Yes,219,Y,S,99,S,116,15,17,15,S,12APR17
2015-2016,TEXAS,48,4813020,CARROLL ISD,No,S,Y,.,.,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4813050,CARROLLTON-FARMERS BRANCH ISD,No,322,Y,121,4,10,187,63,42,S,11,12APR17
2015-2016,TEXAS,48,4813110,CARTHAGE ISD,No,6,,.,S,S,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4813170,CASTLEBERRY ISD,No,24,Y,.,.,10,14,S,S,S,5,12APR17
2015-2016,TEXAS,48,4813200,CAYUGA ISD,No,S,,.,S,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4813230,CEDAR HILL ISD,No,35,Y,8,.,5,22,5,S,S,3,12APR17
2015-2016,TEXAS,48,4813260,CELESTE ISD,No,24,Y,.,.,.,24,5,S,S,S,12APR17
2015-2016,TEXAS,48,4813290,CELINA ISD,No,43,Y,.,.,.,43,S,7,S,6,12APR17
2015-2016,TEXAS,48,4813320,CENTER ISD,No,12,,S,.,.,S,3,S,S,S,12APR17
2015-2016,TEXAS,48,4813350,CENTER POINT ISD,No,3,,S,.,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4813380,CENTERVILLE ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4813410,CENTERVILLE ISD,No,17,,.,S,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4813440,CENTRAL HEIGHTS ISD,No,S,,.,.,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4813500,CENTRAL ISD,No,19,Y,.,.,S,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4813530,LUMBERTON ISD,No,129,Y,S,S,.,125,17,3,S,24,12APR17
2015-2016,TEXAS,48,4813590,CHANNELVIEW ISD,No,219,Y,12,S,S,200,19,61,S,43,12APR17
2015-2016,TEXAS,48,4813620,CHANNING ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4813650,CHAPEL HILL ISD,No,88,Y,.,S,S,84,4,7,S,17,12APR17
2015-2016,TEXAS,48,4813680,CHAPEL HILL ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4813710,CHARLOTTE ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4813740,CHEROKEE ISD,No,S,,.,.,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4813770,CHESTER ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4813800,CHICO ISD,No,15,Y,.,.,.,15,S,S,S,8,12APR17
2015-2016,TEXAS,48,4813860,CHILDRESS ISD,No,22,Y,.,.,S,S,4,S,3,4,12APR17
2015-2016,TEXAS,48,4813890,CHILLICOTHE ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4813920,CHILTON ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4813960,CHINA SPRING ISD,No,15,,S,.,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4813980,CHIRENO ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4814010,CHRISTOVAL ISD,No,15,,.,.,.,15,S,S,S,S,12APR17
2015-2016,TEXAS,48,4814070,CISCO ISD,Yes,103,Y,4,5,.,94,17,S,S,22,12APR17
2015-2016,TEXAS,48,4814130,CITY VIEW ISD,No,4,,.,.,.,4,S,S,S,S,12APR17
2015-2016,TEXAS,48,4814160,CLARENDON ISD,No,S,,.,.,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4814190,CLARKSVILLE ISD,No,16,,.,S,.,S,S,S,S,9,12APR17
2015-2016,TEXAS,48,4814250,CLAUDE ISD,No,15,Y,S,.,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4814280,CLEAR CREEK ISD,Yes,1262,Y,63,10,68,1121,162,196,S,347,12APR17
2015-2016,TEXAS,48,4814310,CLEBURNE ISD,Yes,456,Y,22,24,55,355,53,42,S,108,12APR17
2015-2016,TEXAS,48,4814370,CLEVELAND ISD,No,349,Y,4,34,.,311,40,72,S,43,12APR17
2015-2016,TEXAS,48,4814400,CLIFTON ISD,No,19,Y,.,.,.,19,3,S,S,4,12APR17
2015-2016,TEXAS,48,4814430,CLINT ISD,Yes,212,Y,S,68,S,127,24,80,S,67,12APR17
2015-2016,TEXAS,48,4814450,CLYDE CISD,Yes,62,Y,3,.,.,59,11,S,S,15,12APR17
2015-2016,TEXAS,48,4814490,COAHOMA ISD,No,4,,.,.,.,4,S,S,S,S,12APR17
2015-2016,TEXAS,48,4814520,COLDSPRING-OAKHURST CISD,No,50,Y,.,.,.,50,8,S,S,11,12APR17
2015-2016,TEXAS,48,4814550,COLEMAN ISD,No,8,,.,.,.,8,S,S,S,3,12APR17
2015-2016,TEXAS,48,4814580,COLLINSVILLE ISD,No,3,,.,.,.,3,S,S,S,S,12APR17
2015-2016,TEXAS,48,4814600,COLMESNEIL ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4814640,COLORADO ISD,Yes,25,Y,.,.,3,22,S,3,S,19,12APR17
2015-2016,TEXAS,48,4814670,COLUMBIA-BRAZORIA ISD,No,81,Y,S,.,S,75,5,S,S,7,12APR17
2015-2016,TEXAS,48,4814700,COLUMBUS ISD,No,102,Y,S,S,.,87,13,16,S,7,12APR17
2015-2016,TEXAS,48,4814730,COMAL ISD,Yes,397,Y,30,24,33,310,59,40,4,118,12APR17
2015-2016,TEXAS,48,4814760,COMANCHE ISD,Yes,78,Y,.,.,.,78,9,9,S,6,12APR17
2015-2016,TEXAS,48,4814790,COMFORT ISD,No,5,,.,S,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4814820,COMMERCE ISD,No,13,Y,.,.,.,13,S,S,S,S,12APR17
2015-2016,TEXAS,48,4814850,COMMUNITY ISD,No,53,Y,3,.,.,50,9,S,S,S,12APR17
2015-2016,TEXAS,48,4814880,COMO-PICKTON CISD,No,16,,S,.,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4814920,COMSTOCK ISD,No,S,,.,.,.,S,S,S,S,S,12APR17
2015-2016,TEXAS,48,4814970,CONNALLY ISD,No,79,Y,S,S,7,69,8,S,S,25,12APR17
2015-2016,TEXAS,48,4815000,CONROE ISD,No,635,Y,49,5,87,494,79,123,S,56,12APR17
2015-2016,TEXAS,48,4815120,COOLIDGE ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4815150,COOPER ISD,No,16,Y,S,.,S,10,S,S,S,S,12APR17
2015-2016,TEXAS,48,4815180,LUBBOCK-COOPER ISD,Yes,150,Y,.,.,.,150,16,7,S,7,12APR17
2015-2016,TEXAS,48,4815210,COPPELL ISD,No,52,Y,16,S,S,33,8,8,S,S,12APR17
2015-2016,TEXAS,48,4815240,COPPERAS COVE ISD,No,183,Y,12,3,6,162,35,12,5,26,12APR17
2015-2016,TEXAS,48,4815270,CORPUS CHRISTI ISD,Yes,1748,Y,120,23,214,1391,200,121,37,285,12APR17
2015-2016,TEXAS,48,4815300,CORRIGAN-CAMDEN ISD,No,12,Y,.,.,.,12,S,S,S,5,12APR17
2015-2016,TEXAS,48,4815330,CORSICANA ISD,No,72,Y,17,3,4,48,6,7,S,5,12APR17
2015-2016,TEXAS,48,4815360,COTTON CENTER ISD,No,9,,.,.,.,9,S,S,3,S,12APR17
2015-2016,TEXAS,48,4815400,COTULLA ISD,No,38,Y,.,.,.,38,3,S,S,S,12APR17
2015-2016,TEXAS,48,4815420,COUPLAND ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4815480,COVINGTON ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
2015-2016,TEXAS,48,4815510,CRANDALL ISD,No,15,,S,.,.,S,S,3,S,S,12APR17
2015-2016,TEXAS,48,4815540,CRANE ISD,No,5,,.,.,.,5,S,S,S,S,12APR17
2015-2016,TEXAS,48,4815570,CRANFILLS GAP ISD,No,12,Y,.,.,.,12,S,S,S,3,12APR17
2015-2016,TEXAS,48,4815600,CRAWFORD ISD,No,S,,.,.,.,.,S,S,S,S,12APR17
