state,county,state_name,county_name,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality
18,019,Indiana,Clark County,3.1:5.6,1,1.5:3.9,1,5.7:6.6,1,89.8:83.9,1
18,021,Indiana,Clay County,0.6:0.3,3,0.2:0.5,3,2.4:3.0,3,96.8:96.2,3
18,023,Indiana,Clinton County,0.1:0.2,3,2.6:6.7,3,2.5:3.4,3,94.8:89.6,3
18,025,Indiana,Crawford County,0.1:0.6,3,0.5:2.8,3,1.5:3.2,3,97.9:93.4,3
18,027,Indiana,Daviess County,0.6:0.4,3,1.0:1.1,3,4.7:3.6,3,93.7:94.8,3
18,029,Indiana,Dearborn County,NA,NA,0.3:0.3,2,1.6:2.7,2,98.1:97.0,2
18,031,Indiana,Decatur County,0.2:0.6,3,0.4:1.4,3,1.0:2.4,3,98.4:95.6,3
18,033,Indiana,DeKalb County,0.5:0.3,3,2.3:3.7,3,3.4:3.7,3,93.9:92.4,3
18,035,Indiana,Delaware County,2.5:5.6,1,2.3:2.4,1,4.9:8.1,1,90.2:83.9,1
18,037,Indiana,Dubois County,0.1:0.6,3,0.5:2.8,3,1.5:3.2,3,97.9:93.4,3
18,039,Indiana,Elkhart County,1.3:6.4,1,6.2:11.7,1,1.9:3.6,1,90.7:78.3,1
18,041,Indiana,Fayette County,0.8:1.9,3,1.2:1.2,3,2.1:4.1,3,95.9:92.8,3
18,043,Indiana,Floyd County,1.1:2.9,2,1.7:1.7,2,2.3:3.8,2,95.0:91.7,2
18,045,Indiana,Fountain County,0.6:0.3,3,0.2:0.5,3,2.4:3.0,3,96.8:96.2,3
18,047,Indiana,Franklin County,NA,NA,0.3:0.3,3,1.6:2.7,3,98.1:97.0,3
18,049,Indiana,Fulton County,NA:0.3,NA,4.8:4.5,3,5.8:6.0,3,89.4:89.2,3
18,051,Indiana,Gibson County,0.5:1.6,3,0.6:1.3,3,2.2:3.8,3,96.8:93.4,3
18,053,Indiana,Grant County,0.1:1.6,2,2.0:2.4,2,3.7:5.1,2,94.3:91.0,2
18,055,Indiana,Greene County,0.6:0.4,3,1.0:1.1,3,4.7:3.6,3,93.7:94.8,3
18,057,Indiana,Hamilton County,3.9:5.5,1,2.1:3.5,1,11.1:8.1,1,82.9:82.9,1
18,059,Indiana,Hancock County,2.0:1.5,2,2.9:2.0,2,3.6:5.8,2,91.5:90.7,2
18,061,Indiana,Harrison County,1.1:2.9,3,1.7:1.7,3,2.3:3.8,3,95.0:91.7,3
18,063,Indiana,Hendricks County,6.3:7.6,1,1.9:2.3,1,5.1:4.8,1,86.7:85.3,1
18,065,Indiana,Henry County,NA:0.5,NA,1.1:1.8,2,5.2:3.3,2,93.7:94.3,2
18,067,Indiana,Howard County,2.7:5.6,2,1.8:6.2,2,3.7:3.8,2,91.8:84.4,2
18,069,Indiana,Huntington County,0.7:1.5,3,0.8:1.6,3,2.8:3.6,3,95.7:93.4,3
18,071,Indiana,Jackson County,0.4:0.8,2,3.2:5.3,2,7.2:9.0,2,89.2:84.9,2
18,073,Indiana,Jasper County,NA:0.3,NA,4.8:4.5,3,5.8:6.0,3,89.4:89.2,3
18,075,Indiana,Jay County,NA:0.5,NA,1.1:1.8,3,5.2:3.3,3,93.7:94.3,3
18,077,Indiana,Jefferson County,0.2:0.6,3,0.4:1.4,3,1.0:2.4,3,98.4:95.6,3
18,079,Indiana,Jennings County,0.2:0.6,3,0.4:1.4,3,1.0:2.4,3,98.4:95.6,3
18,081,Indiana,Johnson County,1.8:4.8,1,1.9:3.2,1,4.8:5.7,1,91.6:86.3,1
18,083,Indiana,Knox County,0.1:0.6,3,0.5:2.8,3,1.5:3.2,3,97.9:93.4,3
18,085,Indiana,Kosciusko County,0.5:0.6,2,5.1:7.3,2,2.9:5.3,2,91.5:86.8,2
18,087,Indiana,LaGrange County,0.5:0.3,3,2.3:3.7,3,3.4:3.7,3,93.9:92.4,3
18,089,Indiana,Lake County,10.5:24.3,1,15.0:16.0,1,4.9:4.3,1,69.6:55.4,1
18,091,Indiana,LaPorte County,3.1:7.6,1,4.0:4.5,1,2.1:6.4,1,90.8:81.5,1
18,093,Indiana,Lawrence County,0.6:0.4,3,1.0:1.1,3,4.7:3.6,3,93.7:94.8,3
18,095,Indiana,Madison County,2.9:5.8,1,0.4:2.4,1,5.3:4.3,1,91.4:87.4,1
18,097,Indiana,Marion County,15.0:28.1,1,5.3:7.9,1,7.4:6.6,1,72.3:57.4,1
18,099,Indiana,Marshall County,0.5:0.6,2,5.1:7.3,2,2.9:5.3,2,91.5:86.8,2
18,101,Indiana,Martin County,0.6:0.4,3,1.0:1.1,3,4.7:3.6,3,93.7:94.8,3
18,103,Indiana,Miami County,0.1:1.6,3,2.0:2.4,3,3.7:5.1,3,94.3:91.0,3
18,105,Indiana,Monroe County,0.7:2.9,1,2.3:2.8,1,5.9:8.9,1,91.1:85.4,1
18,107,Indiana,Montgomery County,0.1:0.2,3,2.6:6.7,3,2.5:3.4,3,94.8:89.6,3
18,109,Indiana,Morgan County,0.4:0.3,2,1.8:1.3,2,3.3:4.2,2,94.5:94.2,2
18,111,Indiana,Newton County,NA:0.3,NA,4.8:4.5,3,5.8:6.0,3,89.4:89.2,3
18,113,Indiana,Noble County,0.5:0.3,3,2.3:3.7,3,3.4:3.7,3,93.9:92.4,3
18,115,Indiana,Ohio County,NA,NA,0.3:0.3,3,1.6:2.7,3,98.1:97.0,3
18,117,Indiana,Orange County,0.6:0.4,3,1.0:1.1,3,4.7:3.6,3,93.7:94.8,3
18,119,Indiana,Owen County,0.6:0.4,3,1.0:1.1,3,4.7:3.6,3,93.7:94.8,3
18,121,Indiana,Parke County,0.6:0.3,3,0.2:0.5,3,2.4:3.0,3,96.8:96.2,3
18,123,Indiana,Perry County,0.1:0.6,3,0.5:2.8,3,1.5:3.2,3,97.9:93.4,3
18,125,Indiana,Pike County,0.1:0.6,3,0.5:2.8,3,1.5:3.2,3,97.9:93.4,3
18,127,Indiana,Porter County,2.6:4.8,1,7.9:9.4,1,3.3:3.6,1,86.2:82.2,1
18,129,Indiana,Posey County,0.5:1.6,3,0.6:1.3,3,2.2:3.8,3,96.8:93.4,3
18,131,Indiana,Pulaski County,NA:0.3,NA,4.8:4.5,3,5.8:6.0,3,89.4:89.2,3
18,133,Indiana,Putnam County,0.4:0.3,3,1.8:1.3,3,3.3:4.2,3,94.5:94.2,3
18,135,Indiana,Randolph County,NA:0.5,NA,1.1:1.8,3,5.2:3.3,3,93.7:94.3,3
18,137,Indiana,Ripley County,NA,NA,0.3:0.3,3,1.6:2.7,3,98.1:97.0,3
18,139,Indiana,Rush County,0.8:1.9,3,1.2:1.2,3,2.1:4.1,3,95.9:92.8,3
18,141,Indiana,St. Joseph County,4.7:13.0,1,4.7:6.0,1,4.2:4.1,1,86.4:76.9,1
18,143,Indiana,Scott County,0.2:0.6,3,0.4:1.4,3,1.0:2.4,3,98.4:95.6,3
18,145,Indiana,Shelby County,2.0:1.5,2,2.9:2.0,2,3.6:5.8,2,91.5:90.7,2
18,147,Indiana,Spencer County,0.1:0.6,3,0.5:2.8,3,1.5:3.2,3,97.9:93.4,3
18,149,Indiana,Starke County,NA:0.3,NA,4.8:4.5,3,5.8:6.0,3,89.4:89.2,3
18,151,Indiana,Steuben County,0.5:0.3,3,2.3:3.7,3,3.4:3.7,3,93.9:92.4,3
18,153,Indiana,Sullivan County,0.6:0.3,3,0.2:0.5,3,2.4:3.0,3,96.8:96.2,3
18,155,Indiana,Switzerland County,NA,NA,0.3:0.3,3,1.6:2.7,3,98.1:97.0,3
18,157,Indiana,Tippecanoe County,3.2:7.3,1,7.0:8.1,1,5.6:10.0,1,84.2:74.6,1
18,159,Indiana,Tipton County,2.7:5.6,3,1.8:6.2,3,3.7:3.8,3,91.8:84.4,3
18,161,Indiana,Union County,0.8:1.9,3,1.2:1.2,3,2.1:4.1,3,95.9:92.8,3
18,163,Indiana,Vanderburgh County,4.3:10.8,1,1.8:2.4,1,3.7:3.5,1,90.2:83.3,1
18,165,Indiana,Vermillion County,0.6:0.3,3,0.2:0.5,3,2.4:3.0,3,96.8:96.2,3
18,167,Indiana,Vigo County,4.4:6.1,1,NA:0.3,NA,17.1:4.6,1,78.4:89.0,1
18,169,Indiana,Wabash County,0.1:1.6,3,2.0:2.4,3,3.7:5.1,3,94.3:91.0,3
18,171,Indiana,Warren County,0.6:0.3,3,0.2:0.5,3,2.4:3.0,3,96.8:96.2,3
18,173,Indiana,Warrick County,0.5:1.6,2,0.6:1.3,2,2.2:3.8,2,96.8:93.4,2
18,175,Indiana,Washington County,1.1:2.9,3,1.7:1.7,3,2.3:3.8,3,95.0:91.7,3
18,177,Indiana,Wayne County,0.8:1.9,2,1.2:1.2,2,2.1:4.1,2,95.9:92.8,2
18,179,Indiana,Wells County,0.7:1.5,3,0.8:1.6,3,2.8:3.6,3,95.7:93.4,3
18,181,Indiana,White County,0.1:0.2,3,2.6:6.7,3,2.5:3.4,3,94.8:89.6,3
18,183,Indiana,Whitley County,0.7:1.5,3,0.8:1.6,3,2.8:3.6,3,95.7:93.4,3
19,001,Iowa,Adair County,0.0:1.0,3,6.2:5.4,3,4.6:4.6,3,89.2:89.0,3
19,003,Iowa,Adams County,1.9:0.8,3,1.5:1.9,3,3.5:5.2,3,93.1:92.1,3
19,005,Iowa,Allamakee County,NA:0.2,NA,1.0:2.1,3,1.6:1.9,3,97.4:95.8,3
19,007,Iowa,Appanoose County,1.9:0.8,3,1.5:1.9,3,3.5:5.2,3,93.1:92.1,3
19,009,Iowa,Audubon County,0.0:1.0,3,6.2:5.4,3,4.6:4.6,3,89.2:89.0,3
19,011,Iowa,Benton County,0.4:2.0,3,7.5:6.5,3,1.3:3.3,3,90.9:88.2,3
19,013,Iowa,Black Hawk County,3.0:6.8,1,2.7:4.3,1,7.2:5.9,1,87.1:83.0,1
19,015,Iowa,Boone County,0.4:2.4,3,2.2:2.8,3,7.3:8.5,3,90.0:86.2,3
19,017,Iowa,Bremer County,NA:0.2,NA,1.0:2.1,3,1.6:1.9,3,97.4:95.8,3
19,019,Iowa,Buchanan County,NA:1.2,NA,0.1:1.5,3,1.6:2.8,3,98.3:94.5,3
19,021,Iowa,Buena Vista County,0.5:0.5,3,5.3:8.3,3,2.0:5.8,3,92.3:85.4,3
19,023,Iowa,Butler County,0.1:1.4,3,1.7:5.3,3,1.8:2.5,3,96.4:90.8,3
19,025,Iowa,Calhoun County,0.5:0.5,3,5.3:8.3,3,2.0:5.8,3,92.3:85.4,3
19,027,Iowa,Carroll County,0.5:0.5,3,5.3:8.3,3,2.0:5.8,3,92.3:85.4,3
19,029,Iowa,Cass County,0.0:1.0,3,6.2:5.4,3,4.6:4.6,3,89.2:89.0,3
19,031,Iowa,Cedar County,0.6:2.3,3,3.8:7.3,3,5.0:2.1,3,90.6:88.3,3
19,033,Iowa,Cerro Gordo County,0.2:0.7,2,2.1:3.9,2,1.8:2.8,2,95.9:92.6,2
19,035,Iowa,Cherokee County,0.5:0.5,3,5.3:8.3,3,2.0:5.8,3,92.3:85.4,3
19,037,Iowa,Chickasaw County,NA:0.2,NA,1.0:2.1,3,1.6:1.9,3,97.4:95.8,3
19,039,Iowa,Clarke County,1.9:0.8,3,1.5:1.9,3,3.5:5.2,3,93.1:92.1,3
19,041,Iowa,Clay County,NA:0.1,NA,2.6:4.8,3,1.8:1.9,3,95.5:93.3,3
19,043,Iowa,Clayton County,NA:0.2,NA,1.0:2.1,3,1.6:1.9,3,97.4:95.8,3
19,045,Iowa,Clinton County,0.6:2.3,2,3.8:7.3,2,5.0:2.1,2,90.6:88.3,2
19,047,Iowa,Crawford County,0.5:0.5,3,5.3:8.3,3,2.0:5.8,3,92.3:85.4,3
19,049,Iowa,Dallas County,1.4:2.6,1,0.9:2.9,1,7.1:7.2,1,90.6:87.4,1
19,051,Iowa,Davis County,0.7:1.2,3,4.2:4.8,3,2.3:6.4,3,92.8:87.6,3
19,053,Iowa,Decatur County,1.9:0.8,3,1.5:1.9,3,3.5:5.2,3,93.1:92.1,3
19,055,Iowa,Delaware County,NA:1.2,NA,0.1:1.5,3,1.6:2.8,3,98.3:94.5,3
19,057,Iowa,Des Moines County,0.6:2.8,2,6.7:4.5,2,1.5:3.7,2,91.2:88.9,2
19,059,Iowa,Dickinson County,NA:0.1,NA,2.6:4.8,3,1.8:1.9,3,95.5:93.3,3
19,061,Iowa,Dubuque County,NA:1.2,NA,0.1:1.5,2,1.6:2.8,2,98.3:94.5,2
19,063,Iowa,Emmet County,NA:0.1,NA,2.6:4.8,3,1.8:1.9,3,95.5:93.3,3
19,065,Iowa,Fayette County,NA:0.2,NA,1.0:2.1,3,1.6:1.9,3,97.4:95.8,3
19,067,Iowa,Floyd County,0.2:0.7,3,2.1:3.9,3,1.8:2.8,3,95.9:92.6,3
19,069,Iowa,Franklin County,0.1:1.4,3,1.7:5.3,3,1.8:2.5,3,96.4:90.8,3
19,071,Iowa,Fremont County,1.9:0.8,3,1.5:1.9,3,3.5:5.2,3,93.1:92.1,3
19,073,Iowa,Greene County,0.5:0.5,3,5.3:8.3,3,2.0:5.8,3,92.3:85.4,3
19,075,Iowa,Grundy County,0.1:1.4,3,1.7:5.3,3,1.8:2.5,3,96.4:90.8,3
19,077,Iowa,Guthrie County,0.0:1.0,3,6.2:5.4,3,4.6:4.6,3,89.2:89.0,3
19,079,Iowa,Hamilton County,0.1:1.4,3,1.7:5.3,3,1.8:2.5,3,96.4:90.8,3
19,081,Iowa,Hancock County,0.2:0.7,3,2.1:3.9,3,1.8:2.8,3,95.9:92.6,3
19,083,Iowa,Hardin County,0.1:1.4,3,1.7:5.3,3,1.8:2.5,3,96.4:90.8,3
19,085,Iowa,Harrison County,0.0:1.0,3,6.2:5.4,3,4.6:4.6,3,89.2:89.0,3
19,087,Iowa,Henry County,0.6:2.8,3,6.7:4.5,3,1.5:3.7,3,91.2:88.9,3
19,089,Iowa,Howard County,NA:0.2,NA,1.0:2.1,3,1.6:1.9,3,97.4:95.8,3
19,091,Iowa,Humboldt County,0.1:1.4,3,1.7:5.3,3,1.8:2.5,3,96.4:90.8,3
19,093,Iowa,Ida County,0.5:0.5,3,5.3:8.3,3,2.0:5.8,3,92.3:85.4,3
19,095,Iowa,Iowa County,0.4:2.0,3,7.5:6.5,3,1.3:3.3,3,90.9:88.2,3
19,097,Iowa,Jackson County,NA:1.2,NA,0.1:1.5,3,1.6:2.8,3,98.3:94.5,3
19,099,Iowa,Jasper County,0.1:0.1,3,1.0:1.8,3,2.2:2.6,3,96.7:95.5,3
19,101,Iowa,Jefferson County,0.7:1.2,3,4.2:4.8,3,2.3:6.4,3,92.8:87.6,3
19,103,Iowa,Johnson County,2.9:5.9,1,3.0:3.7,1,5.9:10.8,1,88.3:79.7,1
19,105,Iowa,Jones County,0.6:2.3,3,3.8:7.3,3,5.0:2.1,3,90.6:88.3,3
19,107,Iowa,Keokuk County,0.7:1.2,3,4.2:4.8,3,2.3:6.4,3,92.8:87.6,3
19,109,Iowa,Kossuth County,0.2:0.7,3,2.1:3.9,3,1.8:2.8,3,95.9:92.6,3
19,111,Iowa,Lee County,0.6:2.8,3,6.7:4.5,3,1.5:3.7,3,91.2:88.9,3
19,113,Iowa,Linn County,1.5:4.0,1,0.8:2.2,1,5.1:5.4,1,92.6:88.5,1
19,115,Iowa,Louisa County,0.6:2.8,3,6.7:4.5,3,1.5:3.7,3,91.2:88.9,3
19,117,Iowa,Lucas County,1.9:0.8,3,1.5:1.9,3,3.5:5.2,3,93.1:92.1,3
19,119,Iowa,Lyon County,NA:0.1,NA,2.6:4.8,3,1.8:1.9,3,95.5:93.3,3
19,121,Iowa,Madison County,1.4:2.6,3,0.9:2.9,3,7.1:7.2,3,90.6:87.4,3
19,123,Iowa,Mahaska County,0.7:1.2,3,4.2:4.8,3,2.3:6.4,3,92.8:87.6,3
19,125,Iowa,Marion County,0.1:0.1,3,1.0:1.8,3,2.2:2.6,3,96.7:95.5,3
19,127,Iowa,Marshall County,0.4:2.0,3,7.5:6.5,3,1.3:3.3,3,90.9:88.2,3
19,129,Iowa,Mills County,0.0:1.0,3,6.2:5.4,3,4.6:4.6,3,89.2:89.0,3
19,131,Iowa,Mitchell County,0.2:0.7,3,2.1:3.9,3,1.8:2.8,3,95.9:92.6,3
19,133,Iowa,Monona County,0.5:0.5,3,5.3:8.3,3,2.0:5.8,3,92.3:85.4,3
19,135,Iowa,Monroe County,1.9:0.8,3,1.5:1.9,3,3.5:5.2,3,93.1:92.1,3
19,137,Iowa,Montgomery County,1.9:0.8,3,1.5:1.9,3,3.5:5.2,3,93.1:92.1,3
19,139,Iowa,Muscatine County,0.6:2.3,3,3.8:7.3,3,5.0:2.1,3,90.6:88.3,3
19,141,Iowa,O'Brien County,NA:0.1,NA,2.6:4.8,3,1.8:1.9,3,95.5:93.3,3
19,143,Iowa,Osceola County,NA:0.1,NA,2.6:4.8,3,1.8:1.9,3,95.5:93.3,3
19,145,Iowa,Page County,1.9:0.8,3,1.5:1.9,3,3.5:5.2,3,93.1:92.1,3
19,147,Iowa,Palo Alto County,NA:0.1,NA,2.6:4.8,3,1.8:1.9,3,95.5:93.3,3
19,149,Iowa,Plymouth County,1.5:2.3,3,5.6:12.7,3,2.6:6.2,3,90.3:78.9,3
19,151,Iowa,Pocahontas County,0.5:0.5,3,5.3:8.3,3,2.0:5.8,3,92.3:85.4,3
19,153,Iowa,Polk County,1.9:5.9,1,4.7:6.5,1,6.0:7.2,1,87.4:80.4,1
19,155,Iowa,Pottawattamie County,0.0:1.0,2,6.2:5.4,2,4.6:4.6,2,89.2:89.0,2
19,157,Iowa,Poweshiek County,0.4:2.0,3,7.5:6.5,3,1.3:3.3,3,90.9:88.2,3
19,159,Iowa,Ringgold County,1.9:0.8,3,1.5:1.9,3,3.5:5.2,3,93.1:92.1,3
19,161,Iowa,Sac County,0.5:0.5,3,5.3:8.3,3,2.0:5.8,3,92.3:85.4,3
19,163,Iowa,Scott County,2.5:6.6,1,7.2:6.8,1,5.3:7.3,1,85.0:79.3,1
19,165,Iowa,Shelby County,0.0:1.0,3,6.2:5.4,3,4.6:4.6,3,89.2:89.0,3
19,167,Iowa,Sioux County,NA:0.1,NA,2.6:4.8,3,1.8:1.9,3,95.5:93.3,3
19,169,Iowa,Story County,0.4:2.4,1,2.2:2.8,1,7.3:8.5,1,90.0:86.2,1
19,171,Iowa,Tama County,0.4:2.0,3,7.5:6.5,3,1.3:3.3,3,90.9:88.2,3
19,173,Iowa,Taylor County,1.9:0.8,3,1.5:1.9,3,3.5:5.2,3,93.1:92.1,3
19,175,Iowa,Union County,1.9:0.8,3,1.5:1.9,3,3.5:5.2,3,93.1:92.1,3
19,177,Iowa,Van Buren County,0.7:1.2,3,4.2:4.8,3,2.3:6.4,3,92.8:87.6,3
19,179,Iowa,Wapello County,0.7:1.2,3,4.2:4.8,3,2.3:6.4,3,92.8:87.6,3
19,181,Iowa,Warren County,0.1:0.1,2,1.0:1.8,2,2.2:2.6,2,96.7:95.5,2
19,183,Iowa,Washington County,0.7:1.2,3,4.2:4.8,3,2.3:6.4,3,92.8:87.6,3
19,185,Iowa,Wayne County,1.9:0.8,3,1.5:1.9,3,3.5:5.2,3,93.1:92.1,3
19,187,Iowa,Webster County,0.1:1.4,3,1.7:5.3,3,1.8:2.5,3,96.4:90.8,3
19,189,Iowa,Winnebago County,0.2:0.7,3,2.1:3.9,3,1.8:2.8,3,95.9:92.6,3
19,191,Iowa,Winneshiek County,NA:0.2,NA,1.0:2.1,3,1.6:1.9,3,97.4:95.8,3
19,193,Iowa,Woodbury County,1.5:2.3,1,5.6:12.7,1,2.6:6.2,1,90.3:78.9,1
19,195,Iowa,Worth County,0.2:0.7,3,2.1:3.9,3,1.8:2.8,3,95.9:92.6,3
19,197,Iowa,Wright County,0.1:1.4,3,1.7:5.3,3,1.8:2.5,3,96.4:90.8,3
20,001,Kansas,Allen County,0.7:1.7,3,4.1:5.2,3,2.9:4.7,3,92.4:88.4,3
20,003,Kansas,Anderson County,0.7:1.7,3,4.1:5.2,3,2.9:4.7,3,92.4:88.4,3
20,005,Kansas,Atchison County,0.4:0.8,3,3.7:2.4,3,4.3:5.3,3,91.6:91.5,3
20,007,Kansas,Barber County,0.4:0.8,3,5.0:8.0,3,4.4:4.9,3,90.2:86.3,3
20,009,Kansas,Barton County,0.4:0.8,3,5.0:8.0,3,4.4:4.9,3,90.2:86.3,3
20,011,Kansas,Bourbon County,0.7:1.7,3,4.1:5.2,3,2.9:4.7,3,92.4:88.4,3
20,013,Kansas,Brown County,0.4:0.8,3,3.7:2.4,3,4.3:5.3,3,91.6:91.5,3
20,015,Kansas,Butler County,3.0:8.6,3,4.3:5.8,3,8.2:9.0,3,84.6:76.6,3
20,017,Kansas,Chase County,0.4:1.7,3,5.6:7.4,3,5.2:5.9,3,88.8:85.0,3
20,019,Kansas,Chautauqua County,0.4:1.7,3,5.6:7.4,3,5.2:5.9,3,88.8:85.0,3
20,021,Kansas,Cherokee County,0.7:1.7,3,4.1:5.2,3,2.9:4.7,3,92.4:88.4,3
20,023,Kansas,Cheyenne County,0.0:0.6,3,7.8:5.6,3,3.6:3.4,3,88.6:90.4,3
20,025,Kansas,Clark County,0.8:3.7,3,25.5:38.8,3,6.9:3.5,3,66.8:54.0,3
20,027,Kansas,Clay County,1.1:1.6,3,1.9:4.2,3,4.0:5.0,3,93.1:89.2,3
20,029,Kansas,Cloud County,1.1:1.6,3,1.9:4.2,3,4.0:5.0,3,93.1:89.2,3
20,031,Kansas,Coffey County,0.4:1.7,3,5.6:7.4,3,5.2:5.9,3,88.8:85.0,3
20,033,Kansas,Comanche County,0.4:0.8,3,5.0:8.0,3,4.4:4.9,3,90.2:86.3,3
20,035,Kansas,Cowley County,0.4:1.3,3,5.3:7.7,3,4.9:5.5,3,89.4:85.5,3
20,037,Kansas,Crawford County,0.7:1.7,3,4.1:5.2,3,2.9:4.7,3,92.4:88.4,3
20,039,Kansas,Decatur County,0.0:0.6,3,7.8:5.6,3,3.6:3.4,3,88.6:90.4,3
20,041,Kansas,Dickinson County,1.1:1.6,3,1.9:4.2,3,4.0:5.0,3,93.1:89.2,3
20,043,Kansas,Doniphan County,0.4:0.8,3,3.7:2.4,3,4.3:5.3,3,91.6:91.5,3
20,045,Kansas,Douglas County,2.6:2.3,1,1.2:4.1,1,5.1:12.8,1,91.1:80.8,1
20,047,Kansas,Edwards County,0.4:0.8,3,5.0:8.0,3,4.4:4.9,3,90.2:86.3,3
20,049,Kansas,Elk County,0.4:1.7,3,5.6:7.4,3,5.2:5.9,3,88.8:85.0,3
20,051,Kansas,Ellis County,0.0:0.6,3,7.8:5.6,3,3.6:3.4,3,88.6:90.4,3
20,053,Kansas,Ellsworth County,1.1:1.6,3,1.9:4.2,3,4.0:5.0,3,93.1:89.2,3
20,055,Kansas,Finney County,0.8:3.7,3,25.5:38.8,3,6.9:3.5,3,66.8:54.0,3
20,057,Kansas,Ford County,0.8:3.7,3,25.5:38.8,3,6.9:3.5,3,66.8:54.0,3
20,059,Kansas,Franklin County,0.7:1.7,3,4.1:5.2,3,2.9:4.7,3,92.4:88.4,3
20,061,Kansas,Geary County,4.1:9.3,3,2.5:8.0,3,8.0:7.6,3,85.5:75.1,3
20,063,Kansas,Gove County,0.0:0.6,3,7.8:5.6,3,3.6:3.4,3,88.6:90.4,3
20,065,Kansas,Graham County,0.0:0.6,3,7.8:5.6,3,3.6:3.4,3,88.6:90.4,3
20,067,Kansas,Grant County,0.8:3.7,3,25.5:38.8,3,6.9:3.5,3,66.8:54.0,3
20,069,Kansas,Gray County,0.8:3.7,3,25.5:38.8,3,6.9:3.5,3,66.8:54.0,3
20,071,Kansas,Greeley County,0.0:0.6,3,7.8:5.6,3,3.6:3.4,3,88.6:90.4,3
20,073,Kansas,Greenwood County,0.4:1.7,3,5.6:7.4,3,5.2:5.9,3,88.8:85.0,3
20,075,Kansas,Hamilton County,0.8:3.7,3,25.5:38.8,3,6.9:3.5,3,66.8:54.0,3
20,077,Kansas,Harper County,0.4:0.8,3,5.0:8.0,3,4.4:4.9,3,90.2:86.3,3
20,079,Kansas,Harvey County,0.9:2.2,3,12.3:11.7,3,3.4:3.8,3,83.3:82.3,3
20,081,Kansas,Haskell County,0.8:3.7,3,25.5:38.8,3,6.9:3.5,3,66.8:54.0,3
20,083,Kansas,Hodgeman County,0.8:3.7,3,25.5:38.8,3,6.9:3.5,3,66.8:54.0,3
20,085,Kansas,Jackson County,0.4:0.8,3,3.7:2.4,3,4.3:5.3,3,91.6:91.5,3
20,087,Kansas,Jefferson County,0.4:0.8,3,3.7:2.4,3,4.3:5.3,3,91.6:91.5,3
20,089,Kansas,Jewell County,1.1:1.6,3,1.9:4.2,3,4.0:5.0,3,93.1:89.2,3
20,091,Kansas,Johnson County,2.0:4.3,1,2.7:6.5,1,7.7:7.5,1,87.6:81.8,1
20,093,Kansas,Kearny County,0.8:3.7,3,25.5:38.8,3,6.9:3.5,3,66.8:54.0,3
20,095,Kansas,Kingman County,0.4:0.8,3,5.0:8.0,3,4.4:4.9,3,90.2:86.3,3
20,097,Kansas,Kiowa County,0.4:0.8,3,5.0:8.0,3,4.4:4.9,3,90.2:86.3,3
20,099,Kansas,Labette County,0.7:1.7,3,4.1:5.2,3,2.9:4.7,3,92.4:88.4,3
20,101,Kansas,Lane County,0.0:0.6,3,7.8:5.6,3,3.6:3.4,3,88.6:90.4,3
20,103,Kansas,Leavenworth County,1.1:4.0,2,5.9:3.6,2,10.5:9.5,2,82.5:82.9,2
20,105,Kansas,Lincoln County,1.1:1.6,3,1.9:4.2,3,4.0:5.0,3,93.1:89.2,3
20,107,Kansas,Linn County,1.1:4.0,3,5.9:3.6,3,10.5:9.5,3,82.5:82.9,3
20,109,Kansas,Logan County,0.0:0.6,3,7.8:5.6,3,3.6:3.4,3,88.6:90.4,3
20,111,Kansas,Lyon County,0.4:1.7,3,5.6:7.4,3,5.2:5.9,3,88.8:85.0,3
20,113,Kansas,McPherson County,0.7:0.8,3,1.5:5.5,3,1.2:3.0,3,96.6:90.7,3
20,115,Kansas,Marion County,0.4:1.7,3,5.6:7.4,3,5.2:5.9,3,88.8:85.0,3
20,117,Kansas,Marshall County,1.1:1.6,3,1.9:4.2,3,4.0:5.0,3,93.1:89.2,3
20,119,Kansas,Meade County,0.8:3.7,3,25.5:38.8,3,6.9:3.5,3,66.8:54.0,3
20,121,Kansas,Miami County,1.1:4.0,3,5.9:3.6,3,10.5:9.5,3,82.5:82.9,3
20,123,Kansas,Mitchell County,1.1:1.6,3,1.9:4.2,3,4.0:5.0,3,93.1:89.2,3
20,125,Kansas,Montgomery County,0.4:1.7,3,5.6:7.4,3,5.2:5.9,3,88.8:85.0,3
20,127,Kansas,Morris County,0.4:1.7,3,5.6:7.4,3,5.2:5.9,3,88.8:85.0,3
20,129,Kansas,Morton County,0.8:3.7,3,25.5:38.8,3,6.9:3.5,3,66.8:54.0,3
20,131,Kansas,Nemaha County,1.1:1.6,3,1.9:4.2,3,4.0:5.0,3,93.1:89.2,3
20,133,Kansas,Neosho County,0.7:1.7,3,4.1:5.2,3,2.9:4.7,3,92.4:88.4,3
20,135,Kansas,Ness County,0.0:0.6,3,7.8:5.6,3,3.6:3.4,3,88.6:90.4,3
20,137,Kansas,Norton County,0.0:0.6,3,7.8:5.6,3,3.6:3.4,3,88.6:90.4,3
20,139,Kansas,Osage County,0.4:0.8,3,3.7:2.4,3,4.3:5.3,3,91.6:91.5,3
