year,state,place,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality
2016,08,45970,0.004:0.008,2,0.074:0.149,2,0.066:0.051,2,0.856:0.792,2
2016,08,46465,NA,NA,0.046:0.066,2,0.032:0.025,2,0.922:0.909,2
2016,08,62000,0.021:0.021,3,0.286:0.380,3,0.039:0.044,3,0.654:0.555,3
2016,08,77290,0.006:0.014,2,0.162:0.294,2,0.054:0.043,2,0.778:0.650,2
2016,08,83835,0.004:0.026,2,0.124:0.217,2,0.085:0.062,2,0.786:0.696,2
2016,09,08000,0.257:0.312,1,0.240:0.362,1,0.052:0.056,1,0.450:0.270,1
2016,09,18430,0.013:0.026,2,0.066:0.143,2,0.027:0.064,2,0.894:0.767,2
2016,09,37000,0.318:0.335,3,0.386:0.457,3,0.014:0.048,3,0.282:0.160,3
2016,09,52000,0.229:0.318,1,0.105:0.255,1,0.053:0.096,1,0.613:0.332,1
2016,09,55990,0.034:0.085,2,0.049:0.128,2,0.083:0.087,2,0.834:0.699,2
2016,09,73000,0.036:0.101,3,0.074:0.171,3,0.074:0.084,3,0.816:0.644,3
2016,09,80000,0.161:0.194,2,0.155:0.314,2,0.045:0.049,2,0.639:0.443,2
2016,11,50000,0.239:0.433,1,0.058:0.099,1,0.062:0.062,1,0.641:0.406,1
2016,12,07300,0.007:0.028,2,0.049:0.098,2,0.018:0.037,2,0.926:0.837,2
2016,12,07875,0.051:0.155,2,0.057:0.092,2,0.022:0.024,2,0.870:0.728,2
2016,12,10275,0.008:0.026,1,0.088:0.147,1,0.008:0.011,1,0.896:0.816,1
2016,12,12875,0.027:0.103,2,0.034:0.098,2,0.018:0.022,2,0.921:0.777,2
2016,12,14400,0.093:0.184,1,0.144:0.214,1,0.073:0.068,1,0.690:0.534,1
2016,12,16475,0.074:0.078,2,0.274:0.312,2,0.092:0.093,2,0.559:0.517,2
2016,12,16725,0.057:0.177,2,0.106:0.127,2,0.017:0.035,2,0.820:0.661,2
2016,12,17200,0.051:0.072,2,0.144:0.194,2,0.054:0.049,2,0.751:0.685,2
2016,12,17935,0.006:0.011,2,0.925:0.916,2,0.018:0.030,2,0.052:0.044,2
2016,12,24000,0.073:0.255,3,0.058:0.159,3,0.019:0.035,3,0.849:0.551,3
2016,12,24125,0.054:0.173,2,0.035:0.152,2,0.063:0.022,2,0.847:0.653,2
2016,12,25175,0.077:0.204,1,0.038:0.096,1,0.055:0.070,1,0.830:0.629,1
2016,12,30000,0.032:0.026,2,0.927:0.945,2,0.004:0.007,2,0.037:0.022,2
2016,12,32000,0.105:0.129,2,0.280:0.356,2,0.030:0.038,2,0.585:0.477,2
2016,12,32275,0.065:0.167,3,0.361:0.551,3,0.006:0.009,3,0.569:0.273,3
2016,12,35000,0.150:0.275,3,0.047:0.073,3,0.066:0.066,3,0.736:0.586,3
2016,12,36950,0.094:0.109,2,0.351:0.519,2,0.046:0.035,2,0.510:0.337,2
2016,12,38250,0.066:0.123,2,0.104:0.138,2,0.057:0.040,2,0.774:0.699,2
2016,12,39425,0.031:0.053,2,0.029:0.077,2,0.037:0.043,2,0.904:0.827,2
2016,12,43975,0.024:0.059,2,0.067:0.077,2,0.071:0.067,2,0.838:0.798,2
2016,12,45000,0.042:0.125,2,0.575:0.719,2,0.016:0.013,2,0.367:0.143,2
2016,12,45025,0.010:0.037,2,0.360:0.484,2,0.038:0.061,2,0.592:0.417,2
2016,12,45060,0.539:0.571,2,0.345:0.348,2,0.045:0.023,2,0.070:0.058,2
2016,12,45975,0.280:0.329,2,0.343:0.341,2,0.057:0.050,2,0.320:0.280,2
2016,12,49675,0.020:0.025,3,0.021:0.032,3,0.008:0.015,3,0.950:0.928,3
2016,12,53000,0.115:0.232,3,0.131:0.254,3,0.053:0.061,3,0.700:0.453,3
2016,12,54000,0.081:0.141,1,0.167:0.098,1,0.032:0.039,1,0.720:0.722,1
2016,12,54200,0.114:0.112,2,0.040:0.054,2,0.029:0.026,2,0.818:0.808,2
2016,12,55775,0.122:0.158,2,0.374:0.409,2,0.088:0.063,2,0.417:0.369,2
2016,12,57425,0.148:0.234,2,0.199:0.260,2,0.057:0.056,2,0.596:0.450,2
2016,12,58050,0.037:0.176,2,0.095:0.154,2,0.030:0.040,2,0.838:0.630,2
2016,12,58715,0.167:0.138,1,0.078:0.154,1,0.033:0.032,1,0.722:0.676,1
2016,12,63000,0.068:0.181,3,0.046:0.066,3,0.035:0.040,3,0.851:0.714,3
2016,12,69700,0.141:0.225,2,0.214:0.267,2,0.063:0.058,2,0.581:0.450,2
2016,12,70600,0.140:0.331,1,0.044:0.049,1,0.043:0.053,1,0.773:0.567,1
2016,12,71000,0.084:0.226,2,0.137:0.234,2,0.060:0.056,2,0.719:0.484,2
2016,12,76600,0.089:0.268,2,0.069:0.203,2,0.022:0.041,2,0.820:0.488,2
2016,13,03440,0.115:0.282,2,0.061:0.081,2,0.037:0.056,2,0.787:0.581,2
2016,13,04000,0.130:0.462,3,0.033:0.041,3,0.041:0.059,3,0.795:0.438,3
2016,13,04204,0.442:0.533,1,0.023:0.041,1,0.040:0.042,1,0.495:0.383,1
2016,13,19000,0.293:0.444,3,0.056:0.068,3,0.053:0.054,3,0.598:0.434,3
2016,13,42425,0.054:0.075,2,0.037:0.064,2,0.227:0.261,2,0.682:0.601,2
2016,13,49008,0.306:0.493,1,0.022:0.028,1,0.027:0.026,1,0.645:0.453,1
2016,13,67284,0.039:0.109,2,0.028:0.092,2,0.051:0.068,2,0.882:0.731,2
2016,13,68516,0.050:0.192,1,0.021:0.106,1,0.034:0.086,1,0.895:0.616,1
2016,13,69000,0.256:0.460,3,0.082:0.055,3,0.032:0.037,3,0.630:0.447,3
2016,13,80508,0.199:0.326,2,0.031:0.045,2,0.036:0.025,2,0.734:0.603,2
2016,15,71550,0.004:0.025,1,0.020:0.046,1,0.783:0.700,1,0.194:0.229,1
2016,16,08830,0.005:0.009,2,0.037:0.073,2,0.057:0.059,2,0.902:0.859,2
2016,16,52120,0.006:0.005,3,0.045:0.092,3,0.030:0.025,3,0.919:0.878,3
2016,16,56260,NA,NA,0.059:0.131,2,0.018:0.024,2,0.923:0.845,2
2016,17,02154,0.004:0.021,3,0.040:0.123,3,0.089:0.103,3,0.867:0.754,3
2016,17,03012,0.050:0.104,2,0.184:0.312,2,0.081:0.066,2,0.686:0.518,2
2016,17,06613,0.039:0.083,2,0.014:0.034,2,0.034:0.054,2,0.913:0.829,2
2016,17,12385,0.070:0.129,3,0.011:0.047,3,0.065:0.105,3,0.853:0.720,3
2016,17,14000,0.142:0.308,1,0.156:0.212,1,0.083:0.081,1,0.618:0.399,1
2016,17,14351,0.084:0.114,2,0.300:0.486,2,0.024:0.037,2,0.592:0.363,2
2016,17,23074,0.012:0.050,2,0.131:0.263,2,0.082:0.069,2,0.775:0.618,2
2016,17,24582,0.057:0.091,2,0.045:0.069,2,0.147:0.193,2,0.751:0.647,2
2016,17,38570,0.065:0.155,2,0.139:0.167,2,0.033:0.038,2,0.763:0.641,2
2016,17,51622,0.041:0.090,2,0.057:0.082,2,0.159:0.147,2,0.744:0.681,2
2016,17,59000,0.034:0.170,3,0.033:0.033,3,0.070:0.050,3,0.863:0.747,3
2016,17,65000,0.103:0.151,3,0.063:0.117,3,0.041:0.047,3,0.793:0.685,3
2016,17,68003,0.026:0.031,2,0.065:0.098,2,0.176:0.193,2,0.734:0.678,2
2016,17,72000,0.037:0.108,2,0.009:0.010,2,0.023:0.035,2,0.931:0.847,2
2016,17,79293,0.074:0.214,2,0.177:0.320,2,0.050:0.039,2,0.699:0.426,2
2016,18,05860,0.007:0.030,2,0.003:0.012,2,0.032:0.069,2,0.958:0.890,2
2016,18,10342,0.012:0.037,2,0.039:0.034,2,0.108:0.098,2,0.841:0.831,2
2016,18,22000,0.044:0.080,3,0.009:0.014,3,0.014:0.032,3,0.933:0.874,3
2016,18,23278,0.032:0.042,2,0.033:0.037,2,0.052:0.046,2,0.882:0.874,2
2016,18,25000,0.052:0.140,1,0.043:0.063,1,0.029:0.049,1,0.875:0.748,1
2016,18,31000,0.127:0.300,3,0.379:0.366,3,0.011:0.007,3,0.484:0.328,3
2016,18,36003,0.134:0.256,1,0.033:0.069,1,0.027:0.050,1,0.806:0.625,1
2016,18,71000,0.073:0.232,3,0.042:0.076,3,0.037:0.027,3,0.848:0.665,3
2016,19,12000,0.022:0.038,3,0.011:0.020,3,0.022:0.035,3,0.945:0.907,3
2016,19,19000,0.021:0.074,3,0.025:0.041,3,0.038:0.036,3,0.916:0.849,3
2016,19,21000,0.037:0.093,3,0.044:0.079,3,0.048:0.060,3,0.871:0.768,3
2016,19,73335,0.001:0.040,2,0.021:0.088,2,0.016:0.048,2,0.962:0.824,2
2016,20,36000,0.175:0.254,3,0.137:0.199,3,0.023:0.066,3,0.665:0.481,3
2016,20,38900,0.022:0.060,1,0.024:0.038,1,0.095:0.087,1,0.859:0.815,1
2016,20,52575,0.020:0.047,2,0.027:0.065,2,0.060:0.061,2,0.892:0.826,2
2016,20,53775,0.011:0.039,2,0.023:0.045,2,0.056:0.062,2,0.910:0.855,2
2016,20,71000,0.040:0.117,3,0.043:0.094,3,0.011:0.028,3,0.906:0.761,3
2016,20,79000,0.022:0.082,2,0.061:0.107,2,0.060:0.062,2,0.856:0.749,2
2016,21,46027,0.044:0.138,1,0.024:0.050,1,0.031:0.060,1,0.901:0.752,1
2016,21,48006,0.079:0.161,2,0.026:0.051,2,0.044:0.042,2,0.851:0.746,2
2016,22,05000,0.218:0.449,3,0.012:0.039,3,0.037:0.047,3,0.733:0.465,3
2016,22,40735,0.110:0.226,2,0.008:0.020,2,0.011:0.035,2,0.871:0.719,2
2016,22,41155,0.179:0.324,2,0.015:0.020,2,0.038:0.028,2,0.768:0.628,2
2016,22,55000,0.273:0.540,3,0.041:0.055,3,0.035:0.042,3,0.650:0.363,3
2016,22,70000,0.239:0.453,3,0.015:0.021,3,0.015:0.017,3,0.731:0.509,3
2016,24,04000,0.408:0.603,2,0.018:0.032,2,0.040:0.047,2,0.534:0.318,2
2016,24,30325,0.054:0.131,2,0.086:0.077,2,0.055:0.070,2,0.806:0.722,2
2016,25,07000,0.145:0.205,2,0.050:0.158,2,0.106:0.114,2,0.699:0.523,2
2016,25,09000,0.214:0.255,2,0.046:0.095,2,0.109:0.113,2,0.631:0.536,2
2016,25,11000,0.083:0.116,3,0.023:0.080,3,0.099:0.177,3,0.795:0.628,3
2016,25,23000,0.020:0.034,2,0.035:0.073,2,0.017:0.054,2,0.928:0.838,2
2016,25,34550,0.045:0.023,2,0.170:0.378,2,0.024:0.022,2,0.761:0.577,2
2016,25,37000,0.028:0.066,3,0.060:0.157,3,0.142:0.208,3,0.770:0.569,3
2016,25,37490,0.049:0.103,1,0.120:0.271,1,0.061:0.073,1,0.770:0.553,1
2016,25,45000,0.012:0.047,3,0.017:0.138,3,0.057:0.100,3,0.914:0.715,3
2016,25,45560,0.014:0.024,2,0.035:0.051,2,0.103:0.137,2,0.848:0.788,2
2016,25,55745,0.089:0.064,1,0.013:0.038,1,0.189:0.213,1,0.708:0.685,1
2016,25,62535,0.052:0.082,2,0.149:0.115,2,0.089:0.109,2,0.710:0.694,2
2016,25,67000,0.149:0.164,3,0.204:0.402,3,0.058:0.042,3,0.589:0.392,3
2016,25,82000,0.086:0.121,3,0.050:0.171,3,0.084:0.066,3,0.781:0.642,3
2016,26,03000,0.028:0.077,3,0.033:0.042,3,0.071:0.166,3,0.868:0.715,3
2016,26,21000,0.024:0.060,3,0.072:0.029,3,0.013:0.026,3,0.892:0.885,3
2016,26,22000,0.666:0.784,1,0.045:0.047,1,0.031:0.039,1,0.257:0.130,1
2016,26,27440,0.244:0.421,2,0.005:0.014,2,0.088:0.110,2,0.663:0.454,2
2016,26,29000,0.395:0.518,3,0.065:0.050,3,0.011:0.015,3,0.529:0.417,3
2016,26,34000,0.089:0.165,1,0.049:0.101,1,0.048:0.060,1,0.815:0.673,1
2016,26,46000,0.089:0.183,3,0.077:0.091,3,0.021:0.069,3,0.813:0.657,3
2016,26,49000,0.046:0.148,2,0.028:0.015,2,0.053:0.038,2,0.872:0.799,2
2016,26,69035,0.023:0.039,2,0.019:0.026,2,0.193:0.173,2,0.765:0.762,2
2016,26,74900,0.244:0.421,2,0.005:0.014,2,0.088:0.110,2,0.663:0.454,2
2016,26,76460,0.021:0.050,1,0.005:0.015,1,0.078:0.075,1,0.896:0.861,1
2016,26,80700,0.022:0.037,2,0.019:0.025,2,0.194:0.174,2,0.765:0.763,2
2016,26,84000,0.055:0.176,2,0.017:0.020,2,0.092:0.081,2,0.837:0.723,2
2016,26,86000,0.082:0.232,2,0.026:0.036,2,0.039:0.053,2,0.853:0.678,2
2016,26,88940,0.012:0.058,2,0.075:0.115,2,0.021:0.048,2,0.892:0.779,2
2016,27,06616,0.013:0.069,2,0.035:0.068,2,0.044:0.065,2,0.908:0.798,2
2016,27,07966,0.065:0.166,2,0.007:0.051,2,0.165:0.093,2,0.762:0.689,2
2016,27,17000,0.001:0.025,3,0.006:0.007,3,0.058:0.061,3,0.935:0.907,3
2016,27,43000,0.043:0.147,2,0.035:0.063,2,0.060:0.091,2,0.861:0.699,2
2016,27,51730,0.007:0.020,2,0.004:0.023,2,0.083:0.088,2,0.906:0.869,2
2016,27,54880,0.004:0.053,2,0.003:0.029,2,0.051:0.048,2,0.942:0.870,2
2016,27,58000,0.042:0.128,1,0.042:0.081,1,0.074:0.128,1,0.841:0.662,1
2016,27,71428,0.025:0.045,2,0.036:0.043,2,0.066:0.083,2,0.872:0.830,2
2016,28,36000,0.434:0.716,3,0.015:0.011,3,0.024:0.015,3,0.528:0.259,3
2016,29,15670,0.018:0.089,2,0.014:0.027,2,0.036:0.049,2,0.931:0.835,2
2016,29,35000,0.087:0.121,3,0.038:0.056,3,0.018:0.027,3,0.857:0.796,3
2016,29,38000,0.117:0.269,1,0.045:0.075,1,0.027:0.042,1,0.812:0.614,1
2016,29,41348,0.069:0.077,1,0.026:0.036,1,0.014:0.025,1,0.890:0.861,1
2016,29,54074,0.031:0.044,2,0.011:0.019,2,0.023:0.030,2,0.935:0.906,2
2016,29,65000,0.168:0.425,3,0.023:0.030,3,0.029:0.048,3,0.781:0.497,3
2016,29,70000,NA:0.032,NA,0.020:0.029,3,0.031:0.040,3,0.949:0.899,3
2016,30,06550,0.001:0.015,1,0.015:0.032,1,0.024:0.038,1,0.961:0.914,1
2016,31,28000,0.017:0.032,3,0.026:0.058,3,0.018:0.058,3,0.938:0.852,3
2016,31,37000,0.044:0.123,3,0.049:0.082,3,0.033:0.044,3,0.874:0.751,3
2016,32,31900,0.026:0.048,1,0.075:0.106,1,0.114:0.122,1,0.785:0.725,1
2016,32,40000,0.073:0.136,2,0.154:0.249,2,0.094:0.087,2,0.679:0.528,2
2016,32,51800,0.168:0.194,1,0.254:0.326,1,0.110:0.081,1,0.469:0.399,1
2016,32,60600,0.013:0.026,1,0.062:0.170,1,0.051:0.083,1,0.874:0.720,1
2016,32,68400,0.005:0.006,2,0.108:0.202,2,0.070:0.078,2,0.816:0.713,2
2016,33,45140,0.005:0.040,1,0.008:0.071,1,0.065:0.072,1,0.923:0.816,1
2016,33,50260,NA:0.018,NA,0.029:0.058,2,0.045:0.046,2,0.926:0.878,2
2016,34,13690,0.027:0.066,2,0.211:0.410,2,0.081:0.069,2,0.681:0.455,2
2016,34,21000,0.040:0.235,3,0.562:0.562,3,0.074:0.046,3,0.324:0.157,3
2016,34,36000,0.101:0.215,3,0.150:0.248,3,0.394:0.271,3,0.355:0.266,3
2016,34,51000,0.344:0.507,3,0.331:0.317,3,0.042:0.035,3,0.284:0.141,3
2016,34,57000,0.267:0.284,2,0.505:0.548,2,0.054:0.030,2,0.174:0.137,2
2016,34,74000,0.246:0.433,2,0.054:0.186,2,0.060:0.049,2,0.641:0.332,2
2016,35,02000,0.008:0.025,2,0.322:0.405,2,0.055:0.074,2,0.614:0.497,2
2016,35,39380,0.017:0.020,1,0.412:0.525,1,0.033:0.043,1,0.538:0.411,1
2016,35,63460,0.009:0.010,2,0.298:0.319,2,0.077:0.127,2,0.616:0.544,2
2016,35,70500,0.002:0.002,2,0.261:0.410,2,0.036:0.047,2,0.701:0.541,2
2016,36,01000,0.155:0.296,3,0.031:0.059,3,0.023:0.087,3,0.791:0.558,3
2016,36,11000,0.174:0.374,2,0.025:0.075,2,0.067:0.063,2,0.734:0.488,2
2016,36,50617,0.136:0.291,2,0.096:0.169,2,0.082:0.073,2,0.686:0.467,2
2016,36,51000,0.122:0.216,1,0.090:0.251,1,0.161:0.148,1,0.627:0.385,1
2016,36,63000,0.202:0.366,3,0.055:0.143,3,0.145:0.038,3,0.598:0.453,3
2016,36,73000,0.131:0.239,3,0.043:0.076,3,0.053:0.088,3,0.772:0.597,3
2016,36,84000,0.086:0.174,2,0.160:0.317,2,0.083:0.080,2,0.671:0.429,2
2016,37,02140,0.031:0.081,2,0.015:0.046,2,0.042:0.043,2,0.912:0.831,2
2016,37,10740,0.040:0.097,2,0.027:0.065,2,0.115:0.120,2,0.819:0.718,2
2016,37,12000,0.106:0.320,2,0.040:0.097,2,0.055:0.068,2,0.798:0.515,2
2016,37,14100,0.122:0.186,2,0.049:0.076,2,0.063:0.045,2,0.766:0.692,2
2016,37,19000,0.221:0.355,3,0.030:0.083,3,0.058:0.067,3,0.691:0.495,3
2016,37,22920,0.281:0.389,1,0.086:0.100,1,0.060:0.068,1,0.573:0.443,1
2016,37,25580,0.062:0.196,2,0.022:0.055,2,0.028:0.034,2,0.888:0.715,2
2016,37,28000,0.153:0.356,2,0.023:0.058,2,0.063:0.062,2,0.762:0.524,2
2016,37,28080,0.150:0.334,2,0.061:0.045,2,0.016:0.026,2,0.773:0.595,2
2016,37,31400,0.135:0.301,2,0.055:0.069,2,0.043:0.053,2,0.767:0.578,2
2016,37,55000,0.082:0.235,3,0.032:0.075,3,0.060:0.058,3,0.827:0.632,3
2016,37,74440,0.060:0.126,2,0.010:0.032,2,0.022:0.041,2,0.908:0.800,2
2016,37,75000,0.146:0.330,3,0.042:0.082,3,0.022:0.037,3,0.790:0.552,3
2016,38,25700,0.005:0.049,2,0.001:0.015,2,0.013:0.045,2,0.981:0.891,2
2016,39,01000,0.206:0.290,3,0.012:0.016,3,0.020:0.050,3,0.763:0.644,3
2016,39,15000,0.145:0.396,2,0.017:0.028,2,0.030:0.042,2,0.808:0.533,2
2016,39,16000,0.352:0.499,3,0.056:0.083,3,0.034:0.034,3,0.558:0.383,3
2016,39,18000,0.102:0.230,2,0.025:0.037,2,0.048:0.063,2,0.825:0.670,2
2016,39,21000,0.249:0.369,3,0.020:0.024,3,0.019:0.029,3,0.712:0.579,3
2016,39,61000,0.009:0.049,3,0.031:0.051,3,0.021:0.022,3,0.939:0.879,3
2016,39,77000,0.161:0.290,3,0.036:0.055,3,0.018:0.034,3,0.785:0.622,3
2016,40,09050,0.031:0.062,2,0.053:0.101,2,0.096:0.119,2,0.820:0.718,2
2016,40,23200,0.091:0.136,2,0.042:0.074,2,0.086:0.080,2,0.782:0.709,2
2016,40,41850,0.198:0.226,1,0.059:0.084,1,0.068:0.102,1,0.675:0.588,1
2016,40,52500,0.018:0.044,2,0.071:0.062,2,0.118:0.146,2,0.793:0.747,2
2016,40,55000,0.057:0.141,3,0.064:0.129,3,0.103:0.104,3,0.776:0.626,3
2016,40,75000,0.029:0.108,3,0.039:0.086,3,0.099:0.119,3,0.833:0.688,3
2016,41,05350,0.014:0.029,2,0.050:0.116,2,0.119:0.112,2,0.817:0.743,2
2016,41,05800,NA,NA,0.017:0.051,2,0.050:0.036,2,0.934:0.913,2
2016,41,23850,0.001:0.009,2,0.052:0.083,2,0.055:0.066,2,0.891:0.842,2
2016,41,31250,0.012:0.034,2,0.029:0.092,2,0.100:0.089,2,0.859:0.784,2
2016,41,34100,0.023:0.031,1,0.085:0.163,1,0.137:0.175,1,0.754:0.630,1
2016,41,47000,0.000:0.000,2,0.026:0.109,2,0.045:0.061,2,0.929:0.830,2
2016,41,59000,0.020:0.052,2,0.040:0.067,2,0.093:0.109,2,0.847:0.773,2
2016,41,64900,0.000:0.005,2,0.087:0.136,2,0.054:0.055,2,0.859:0.804,2
2016,42,02000,0.062:0.110,3,0.195:0.427,3,0.017:0.037,3,0.726:0.426,3
2016,42,06088,0.045:0.064,2,0.063:0.153,2,0.037:0.036,2,0.855:0.748,2
2016,42,24000,0.037:0.152,3,0.035:0.049,3,0.022:0.026,3,0.907:0.773,3
2016,42,60000,0.254:0.404,1,0.057:0.109,1,0.080:0.084,1,0.610:0.403,1
2016,42,61000,0.082:0.223,2,0.011:0.019,2,0.049:0.070,2,0.859:0.688,2
2016,42,63624,0.028:0.073,2,0.128:0.346,2,0.036:0.022,2,0.807:0.559,2
2016,42,69000,0.007:0.036,3,0.006:0.074,3,0.020:0.041,3,0.968:0.849,3
2016,44,19180,0.023:0.056,2,0.056:0.078,2,0.047:0.056,2,0.874:0.810,2
2016,44,54640,0.027:0.077,2,0.047:0.145,2,0.040:0.066,2,0.886:0.712,2
2016,44,59000,0.068:0.118,3,0.141:0.395,3,0.083:0.085,3,0.708:0.402,3
2016,44,74300,0.005:0.012,2,0.027:0.032,2,0.040:0.036,2,0.928:0.919,2
2016,45,13330,0.098:0.231,2,0.007:0.025,2,0.009:0.018,2,0.886:0.725,2
2016,45,16000,0.244:0.451,3,0.010:0.039,3,0.039:0.049,3,0.707:0.461,3
2016,45,48535,0.067:0.163,2,0.020:0.019,2,0.024:0.027,2,0.890:0.790,2
2016,45,50875,0.171:0.334,2,0.027:0.070,2,0.039:0.049,2,0.763:0.547,2
2016,46,59020,0.003:0.032,1,0.013:0.025,1,0.018:0.042,1,0.967:0.901,1
2016,47,14000,0.139:0.283,3,0.017:0.030,3,0.033:0.036,3,0.811:0.651,3
2016,47,15160,0.144:0.181,2,0.085:0.084,2,0.035:0.051,2,0.736:0.684,2
2016,47,27740,0.045:0.048,3,0.011:0.042,3,0.037:0.058,3,0.907:0.852,3
2016,47,40000,0.090:0.178,3,0.010:0.038,3,0.024:0.038,3,0.876:0.746,3
2016,47,48000,0.294:0.606,2,0.022:0.042,2,0.026:0.026,2,0.658:0.326,2
2016,47,51560,0.085:0.151,2,0.019:0.041,2,0.030:0.039,2,0.866:0.768,2
2016,47,52006,0.130:0.260,1,0.027:0.070,1,0.036:0.049,1,0.807:0.622,1
2016,48,01000,0.014:0.053,3,0.144:0.173,3,0.046:0.052,3,0.796:0.721,3
2016,48,01924,0.066:0.094,2,0.085:0.119,2,0.183:0.143,2,0.666:0.645,2
2016,48,03000,0.014:0.050,3,0.124:0.237,3,0.041:0.046,3,0.821:0.667,3
2016,48,04000,0.174:0.245,3,0.169:0.232,3,0.109:0.088,3,0.548:0.436,3
2016,48,05000,0.021:0.068,2,0.124:0.256,2,0.070:0.086,2,0.786:0.590,2
2016,48,06128,0.114:0.172,2,0.394:0.328,2,0.034:0.034,2,0.458:0.466,2
2016,48,07000,0.291:0.458,3,0.084:0.131,3,0.093:0.043,3,0.533:0.368,3
2016,48,10768,0.002:0.000,1,0.788:0.894,1,0.005:0.006,1,0.205:0.099,1
2016,48,10912,0.027:0.115,2,0.102:0.197,2,0.074:0.089,2,0.797:0.600,2
2016,48,13024,0.045:0.171,2,0.100:0.186,2,0.214:0.175,2,0.641:0.468,2
2016,48,13552,0.060:0.052,3,0.111:0.153,3,0.071:0.064,3,0.759:0.731,3
2016,48,15976,0.027:0.115,2,0.102:0.197,2,0.074:0.089,2,0.797:0.600,2
2016,48,16432,0.018:0.043,3,0.138:0.206,3,0.030:0.024,3,0.814:0.727,3
2016,48,17000,0.017:0.046,2,0.442:0.594,2,0.024:0.023,2,0.517:0.337,2
2016,48,19000,0.060:0.245,2,0.127:0.300,2,0.060:0.059,2,0.754:0.396,2
2016,48,19972,0.031:0.073,2,0.078:0.154,2,0.052:0.064,2,0.840:0.708,2
2016,48,22660,NA,NA,0.868:0.902,2,0.017:0.012,2,0.114:0.087,2
2016,48,24000,0.027:0.047,2,0.711:0.752,2,0.034:0.023,2,0.228:0.177,2
2016,48,26232,0.022:0.037,2,0.070:0.090,2,0.106:0.088,2,0.802:0.785,2
2016,48,27000,0.083:0.158,2,0.145:0.254,2,0.049:0.050,2,0.723:0.539,2
2016,48,27684,0.049:0.085,2,0.067:0.096,2,0.187:0.151,2,0.698:0.669,2
2016,48,29000,0.137:0.166,3,0.167:0.262,3,0.135:0.119,3,0.561:0.453,3
2016,48,30464,0.182:0.217,2,0.331:0.386,2,0.109:0.074,2,0.378:0.323,2
2016,48,35000,0.079:0.224,2,0.173:0.360,2,0.102:0.091,2,0.646:0.325,2
2016,48,37000,0.036:0.163,3,0.176:0.330,3,0.263:0.164,3,0.524:0.343,3
2016,48,39148,0.369:0.314,1,0.235:0.188,1,0.086:0.114,1,0.310:0.384,1
2016,48,41464,0.001:0.003,1,0.906:0.938,1,0.005:0.005,1,0.088:0.054,1
2016,48,41980,0.039:0.077,2,0.120:0.172,2,0.081:0.071,2,0.760:0.680,2
2016,48,42508,0.062:0.113,1,0.132:0.232,1,0.170:0.115,1,0.635:0.539,1
2016,48,43888,0.067:0.216,2,0.102:0.126,2,0.004:0.025,2,0.828:0.634,2
2016,48,45000,0.017:0.062,3,0.152:0.284,3,0.025:0.037,3,0.807:0.617,3
2016,48,45384,0.009:0.013,1,0.712:0.800,1,0.063:0.050,1,0.216:0.137,1
2016,48,45744,0.086:0.103,1,0.081:0.123,1,0.115:0.093,1,0.718:0.681,1
2016,48,47892,0.185:0.248,2,0.215:0.296,2,0.067:0.041,2,0.533:0.415,2
2016,48,48072,0.016:0.081,1,0.233:0.367,1,0.041:0.035,1,0.710:0.517,1
2016,48,48768,0.000:0.001,2,0.820:0.829,2,0.012:0.008,2,0.167:0.163,2
2016,48,50820,0.040:0.024,2,0.138:0.214,2,0.011:0.024,2,0.812:0.738,2
2016,48,53388,0.010:0.046,2,0.384:0.496,2,0.015:0.031,2,0.591:0.427,2
2016,48,56000,0.019:0.052,3,0.326:0.528,3,0.081:0.038,3,0.573:0.383,3
2016,48,56348,0.181:0.191,2,0.243:0.215,2,0.154:0.105,2,0.421:0.489,2
2016,48,57200,NA,NA,0.897:0.898,2,0.013:0.005,2,0.090:0.097,2
2016,48,58016,0.046:0.119,1,0.088:0.122,1,0.200:0.192,1,0.666:0.567,1
2016,48,61796,0.016:0.111,2,0.080:0.174,2,0.093:0.154,2,0.811:0.561,2
2016,48,63500,0.059:0.084,2,0.191:0.244,2,0.100:0.095,2,0.651:0.577,2
2016,48,64472,0.004:0.030,1,0.247:0.343,1,0.011:0.018,1,0.738:0.609,1
2016,48,65000,0.041:0.074,2,0.419:0.557,2,0.037:0.037,2,0.503:0.332,2
2016,48,70808,0.058:0.154,2,0.108:0.126,2,0.384:0.289,2,0.451:0.431,2
2016,48,72176,0.045:0.106,2,0.141:0.214,2,0.018:0.033,2,0.796:0.648,2
2016,48,74144,0.106:0.231,1,0.081:0.150,1,0.029:0.044,1,0.785:0.576,1
2016,48,76000,0.077:0.210,1,0.148:0.248,1,0.010:0.017,1,0.764:0.525,1
2016,48,79000,0.017:0.090,3,0.124:0.131,3,0.031:0.032,3,0.829:0.747,3
2016,49,43660,0.007:0.017,3,0.050:0.092,3,0.036:0.050,3,0.907:0.841,3
2016,49,44320,0.000:0.002,3,0.045:0.066,3,0.021:0.030,3,0.934:0.902,3
2016,49,55980,0.010:0.013,2,0.099:0.172,2,0.013:0.028,2,0.878:0.787,2
