year,state,place,subgroup,share_meps20,share_meps20_quality
2018,6,2364,Hispanic,77.099236,1
2017,6,46842,"Black, Non-Hispanic",22.860962,1
2018,6,80000,All,6.327384,1
2017,6,29000,All,78.359558,1
2019,6,59451,Other Races and Ethnicities,4.5622687,1
2020,6,81554,Hispanic,0,1
2020,6,53980,All,0,1
2016,6,41992,Hispanic,21.582903,1
2020,6,24680,"White, Non-Hispanic",21.841372,1
2017,6,57792,"White, Non-Hispanic",0,1
2019,6,36770,All,0,1
2019,6,60466,"White, Non-Hispanic",83.094101,1
2019,6,27000,"Black, Non-Hispanic",81.456429,1
2019,6,26000,Other Races and Ethnicities,.29741478,1
2017,6,82996,"Black, Non-Hispanic",53.141361,1
2018,6,49270,All,94.178398,1
2019,6,78582,Other Races and Ethnicities,.3136763,1
2018,6,41992,Hispanic,6.8989873,1
2016,6,56700,Hispanic,90.457664,1
2020,6,15044,Hispanic,100,1
2016,6,6000,"White, Non-Hispanic",0,1
2018,6,48354,Hispanic,65.338501,1
2018,6,60466,All,100,1
2020,6,49670,Other Races and Ethnicities,0,1
2019,6,40130,Other Races and Ethnicities,65.339294,1
2016,6,55156,"Black, Non-Hispanic",81.819832,1
2018,6,75000,All,76.516869,1
2019,6,55156,"Black, Non-Hispanic",81.684982,1
2020,6,70098,Other Races and Ethnicities,.95181441,1
2016,6,53322,"White, Non-Hispanic",10.070336,1
2020,6,23182,"Black, Non-Hispanic",15.274804,1
2019,6,69088,"White, Non-Hispanic",0,1
2018,6,68196,"Black, Non-Hispanic",6.6889634,1
2020,6,53000,Hispanic,68.670242,1
2020,6,13214,"White, Non-Hispanic",0,1
2018,6,68084,Hispanic,34.8815,1
2019,6,14218,Other Races and Ethnicities,9.0789471,1
2020,6,69070,All,1.9603604,1
2019,6,53322,All,16.597635,1
2016,6,58072,Hispanic,89.419006,1
2019,6,37692,Other Races and Ethnicities,35.477177,1
2016,6,19766,Other Races and Ethnicities,35.096153,1
2019,6,22804,Other Races and Ethnicities,21.214394,1
2018,6,50076,All,0,1
2018,6,13210,"White, Non-Hispanic",34.906834,1
2016,6,80854,All,33.158726,1
2020,6,70098,All,1.3360188,1
2020,6,43000,All,29.709967,1
2020,6,60102,"Black, Non-Hispanic",19.718309,1
2016,6,59451,"White, Non-Hispanic",6.7386975,1
2019,6,22020,All,2.3583961,1
2018,6,57792,"Black, Non-Hispanic",0,1
2016,6,13588,Other Races and Ethnicities,60.469013,1
2017,6,52526,Other Races and Ethnicities,88.389511,1
2017,6,82590,Hispanic,95.088013,1
2020,6,59920,Other Races and Ethnicities,21.046892,1
2019,6,69088,Other Races and Ethnicities,0,1
2018,6,73080,"White, Non-Hispanic",100,1
2016,6,13392,"White, Non-Hispanic",16.059568,1
2020,6,84550,All,9.361351,1
2020,6,3526,Hispanic,51.817505,1
2020,6,3526,"White, Non-Hispanic",20.060463,1
2019,6,39892,Other Races and Ethnicities,20.704529,1
2019,6,24638,Hispanic,0,1
2019,6,85292,Hispanic,49.964363,1
2020,6,75000,"Black, Non-Hispanic",47.717636,1
2017,6,80000,All,6.4241457,1
2017,6,82996,Other Races and Ethnicities,52.890175,1
2020,6,60102,Hispanic,23.164091,1
2020,6,40130,Other Races and Ethnicities,44.760357,1
2018,6,4982,Hispanic,97.814453,1
2020,6,2252,"White, Non-Hispanic",15.828877,1
2019,6,81666,All,42.827984,1
2020,6,16350,Other Races and Ethnicities,.89449543,1
2018,6,57456,Other Races and Ethnicities,53.983658,1
2020,6,73080,Other Races and Ethnicities,97.391304,1
2020,6,13588,"White, Non-Hispanic",0,1
2017,6,23182,"White, Non-Hispanic",14.822912,1
2017,6,36000,Hispanic,10.313841,1
2019,6,28000,Other Races and Ethnicities,4.2293906,1
2016,6,68000,"White, Non-Hispanic",3.428313,1
2017,6,68378,Other Races and Ethnicities,0,1
2019,6,60620,Hispanic,74.723755,1
2019,6,85292,All,47.320873,1
2017,6,72016,Hispanic,11.350183,1
2020,6,19766,All,0,1
2017,6,884,Hispanic,89.132195,1
2017,6,39496,"White, Non-Hispanic",5.4781199,1
2020,6,22020,"White, Non-Hispanic",0,1
2019,6,62938,"Black, Non-Hispanic",.60331827,1
2019,6,75000,Other Races and Ethnicities,66.888351,1
2017,6,15044,"White, Non-Hispanic",100,1
2018,6,13210,"Black, Non-Hispanic",30.628273,1
2018,6,50076,Other Races and Ethnicities,0,1
2018,6,4982,"Black, Non-Hispanic",97.019371,1
2016,6,36448,"Black, Non-Hispanic",68.720383,1
2018,6,64224,Hispanic,71.890587,1
2020,6,2000,Hispanic,24.937487,1
2018,6,29000,Other Races and Ethnicities,84.150314,1
2016,6,82996,All,51.675522,1
2020,6,64224,"White, Non-Hispanic",6.7494183,1
2019,6,16350,"Black, Non-Hispanic",9.2956123,1
2016,6,6000,"Black, Non-Hispanic",0,1
2020,6,36448,"Black, Non-Hispanic",46.753246,1
2020,6,26000,"White, Non-Hispanic",0,1
2019,6,46898,"White, Non-Hispanic",57.342449,1
2018,6,2252,"Black, Non-Hispanic",58.380646,1
2020,6,24680,All,25.493528,1
2017,6,884,"Black, Non-Hispanic",94.505493,1
2020,6,46898,Hispanic,43.560165,1
2019,6,52526,Hispanic,80.467163,1
2020,6,48256,Hispanic,0,1
2019,6,82996,Hispanic,39.4702,1
2019,6,11530,Other Races and Ethnicities,41.939938,1
2020,6,65042,"Black, Non-Hispanic",0,1
2016,6,59451,"Black, Non-Hispanic",20.278746,1
2018,6,17918,All,0,1
2019,6,13014,"Black, Non-Hispanic",20.249222,1
2020,6,15044,All,100,1
2019,6,23182,All,23.87269,1
2016,6,66000,Hispanic,58.658363,1
2019,6,69070,"White, Non-Hispanic",3.4837236,1
2018,6,82954,Hispanic,67.070778,1
2020,6,41992,All,0,1
2017,6,84200,All,40.557053,1
2020,6,58072,All,81.511864,1
2020,6,59444,Hispanic,25.949158,1
2018,6,27000,"White, Non-Hispanic",40.63187,1
2017,6,69088,All,0,1
2018,6,16350,Hispanic,28.309837,1
2018,6,80000,"Black, Non-Hispanic",11.877395,1
2020,6,62000,Other Races and Ethnicities,5.3210287,1
2017,6,36448,Other Races and Ethnicities,59.150326,1
2019,6,82590,"White, Non-Hispanic",98.074318,1
2019,6,19766,Hispanic,26.45368,1
2020,6,23182,"White, Non-Hispanic",4.8932848,1
2018,6,69000,"Black, Non-Hispanic",57.847534,1
2020,6,78582,All,0,1
2020,6,13392,"Black, Non-Hispanic",6.06215,1
2018,6,70000,Hispanic,0,1
2019,6,82590,Other Races and Ethnicities,96.922409,1
2017,6,81554,Hispanic,25.171133,1
2020,6,67000,Other Races and Ethnicities,3.7729611,1
2020,6,50076,Other Races and Ethnicities,0,1
2020,6,53322,All,8.4519176,1
2019,6,13214,All,.12671594,1
2019,6,49670,Hispanic,11.849344,1
2017,6,81344,All,35.762806,1
2019,6,68084,Other Races and Ethnicities,21.261812,1
2017,6,22230,Other Races and Ethnicities,98.814079,1
2020,6,22020,Other Races and Ethnicities,0,1
2019,6,15044,"White, Non-Hispanic",100,1
2020,6,68000,Other Races and Ethnicities,1.28309,1
2018,6,68252,"Black, Non-Hispanic",3.8461537,1
2018,6,70098,Other Races and Ethnicities,13.053098,1
2020,6,75000,Hispanic,55.16497,1
2020,6,69000,All,56.49522,1
2020,6,11194,Other Races and Ethnicities,0,1
2017,6,47766,Hispanic,9.8718557,1
2018,6,68000,"White, Non-Hispanic",4.3297772,1
2016,6,62000,All,50.77755,1
2020,6,17918,"Black, Non-Hispanic",0,1
2019,6,22230,Other Races and Ethnicities,76.43824,1
2020,6,28000,Hispanic,10.450433,1
2017,6,70098,Other Races and Ethnicities,15.620755,1
2018,6,40130,Other Races and Ethnicities,70.452705,1
2017,6,50258,"White, Non-Hispanic",11.898197,1
2019,6,26000,"White, Non-Hispanic",2.4335663,1
2018,6,27000,Hispanic,84.08799,1
2019,6,27000,All,74.898247,1
2019,6,82954,"Black, Non-Hispanic",64.429527,1
2018,6,62938,"Black, Non-Hispanic",1.7377567,1
2020,6,69084,Hispanic,0,1
2016,6,39496,"Black, Non-Hispanic",5.0955415,1
2016,6,22804,"White, Non-Hispanic",16.20941,1
2017,6,13014,Hispanic,35.208508,1
2016,6,82954,"Black, Non-Hispanic",65.130264,1
2019,6,33000,All,39.16642,1
2019,6,2252,Hispanic,61.132275,1
2017,6,41992,"White, Non-Hispanic",3.2585633,1
2020,6,22230,Other Races and Ethnicities,45.006428,1
2017,6,53322,All,25.924469,1
2019,6,36448,"Black, Non-Hispanic",61.445782,1
2020,6,77000,"Black, Non-Hispanic",0,1
2019,6,22020,"White, Non-Hispanic",.97871858,1
2018,6,84550,"Black, Non-Hispanic",71.875,1
2019,6,37692,Hispanic,65.185318,1
2019,6,40130,All,73.398346,1
2019,6,49270,"Black, Non-Hispanic",73.42215,1
2016,6,85292,Other Races and Ethnicities,31.643192,1
2020,6,36000,Other Races and Ethnicities,.1177064,1
2019,6,44000,Hispanic,90.636681,1
2017,6,66000,Hispanic,60.314728,1
2017,6,81344,"Black, Non-Hispanic",43.728424,1
2017,6,16350,"White, Non-Hispanic",6.3463283,1
2019,6,58072,"White, Non-Hispanic",67.517006,1
2020,6,16000,"Black, Non-Hispanic",3.3868093,1
2017,6,16532,"Black, Non-Hispanic",42.944786,1
2017,6,13214,"Black, Non-Hispanic",3.9292731,1
2017,6,39496,All,18.924547,1
2019,6,50258,All,13.226317,1
2016,6,13214,Other Races and Ethnicities,.064892925,1
2019,6,64224,"Black, Non-Hispanic",47.540985,1
2017,6,44000,Hispanic,91.832405,1
2020,6,59444,Other Races and Ethnicities,17.03038,1
2016,6,32548,All,68.070061,1
2019,6,50258,"White, Non-Hispanic",2.807971,1
2018,6,80854,Other Races and Ethnicities,20.348837,1
2019,6,64224,Hispanic,67.224022,1
2018,6,13392,All,30.985708,1
2019,6,78582,"Black, Non-Hispanic",3.8961039,1
2020,6,36546,Other Races and Ethnicities,71.355499,1
2017,6,36000,Other Races and Ethnicities,.51142174,1
2020,6,59444,"White, Non-Hispanic",10.146562,1
2017,6,53896,"Black, Non-Hispanic",40.015244,1
2018,6,66000,"White, Non-Hispanic",6.9611363,1
2016,6,53980,"White, Non-Hispanic",10.439561,1
2018,6,36448,All,70.061729,1
2019,6,57456,"Black, Non-Hispanic",59.370079,1
2016,6,14218,"White, Non-Hispanic",7.7372794,1
2017,6,51182,"Black, Non-Hispanic",0,1
2018,6,22804,Other Races and Ethnicities,25.432194,1
2020,6,53980,"Black, Non-Hispanic",0,1
2020,6,22804,"Black, Non-Hispanic",16.052061,1
2020,6,24638,"White, Non-Hispanic",0,1
2020,6,81344,Hispanic,6.2928872,1
2020,6,49270,All,38.621574,1
2018,6,77000,"Black, Non-Hispanic",0,1
2019,6,14218,"Black, Non-Hispanic",14.490674,1
2019,6,68000,"White, Non-Hispanic",3.3307984,1
2016,6,33182,All,94.592331,1
2020,6,65042,"White, Non-Hispanic",0,1
2019,6,29000,Hispanic,80.884697,1
2018,6,80238,"White, Non-Hispanic",11.292818,1
2018,6,36000,All,3.8207827,1
2018,6,24680,All,79.661316,1
2020,6,57792,Hispanic,0,1
2020,6,47766,Hispanic,0,1
2019,6,69000,"White, Non-Hispanic",9.636838,1
2019,6,82954,Other Races and Ethnicities,51.624771,1
2016,6,81554,All,16.161331,1
2020,6,59920,All,16.367386,1
2020,6,2364,"White, Non-Hispanic",16.535908,1
2020,6,2252,"Black, Non-Hispanic",24.560061,1
2020,6,8786,All,6.7036576,1
2019,6,67000,Hispanic,11.126839,1
2019,6,69084,Other Races and Ethnicities,0,1
2019,6,13392,"Black, Non-Hispanic",15.102255,1
2018,6,55156,All,81.132668,1
2018,6,24638,All,0,1
2019,6,80000,All,6.3043923,1
2018,6,48354,"Black, Non-Hispanic",59.33934,1
2019,6,8786,All,51.357491,1
2017,6,16000,Other Races and Ethnicities,25.568182,1
2019,6,40130,"White, Non-Hispanic",51.538994,1
2019,6,78120,"White, Non-Hispanic",1.3527375,1
2017,6,53000,Other Races and Ethnicities,59.617008,1
2017,6,53322,Other Races and Ethnicities,20.563448,1
2018,6,80000,Other Races and Ethnicities,1.8246423,1
2019,6,45484,"Black, Non-Hispanic",17.120623,1
2016,6,67000,Other Races and Ethnicities,18.539728,1
2019,6,80000,"Black, Non-Hispanic",12.667946,1
2017,6,81344,Hispanic,43.92828,1
2018,6,59451,"White, Non-Hispanic",7.5218477,1
2017,6,68000,All,27.319036,1
2020,6,52526,All,10.556948,1
2019,6,81554,Hispanic,0,1
2020,6,2252,Hispanic,29.108727,1
2017,6,884,All,78.57402,1
2020,6,65042,Hispanic,0,1
2017,6,68084,"Black, Non-Hispanic",37.841625,1
2019,6,57456,All,57.462933,1
2017,6,73080,Hispanic,100,1
2020,6,64224,Hispanic,33.890614,1
2017,6,81666,Hispanic,55.199867,1
2020,6,27000,All,48.620888,1
2019,6,36448,"White, Non-Hispanic",26.5,1
2018,6,44000,Hispanic,91.875389,1
2020,6,562,All,0,1
2019,6,53980,Other Races and Ethnicities,18.54714,1
2016,6,69196,Hispanic,61.416943,1
2017,6,16000,"Black, Non-Hispanic",35.429447,1
2016,6,53000,"White, Non-Hispanic",19.976429,1
2017,6,8786,Other Races and Ethnicities,47.378639,1
2017,6,72016,"Black, Non-Hispanic",.390625,1
2020,6,30000,Other Races and Ethnicities,4.3099275,1
2019,6,50258,Hispanic,19.475885,1
2018,6,69084,Other Races and Ethnicities,0,1
2019,6,60620,"Black, Non-Hispanic",69.641403,1
2016,6,21712,"White, Non-Hispanic",38.148499,1
2020,6,50258,Other Races and Ethnicities,0,1
2017,6,66000,All,37.006939,1
2018,6,55156,Other Races and Ethnicities,61.678116,1
2018,6,6000,"White, Non-Hispanic",0,1
2018,6,13214,"White, Non-Hispanic",.29282576,1
2018,6,26000,Other Races and Ethnicities,.32233307,1
2019,6,69196,All,63.897701,1
2018,6,54652,"Black, Non-Hispanic",52.164948,1
2019,6,562,All,0,1
2016,6,68378,Other Races and Ethnicities,0,1
2020,6,36546,All,69.263084,1
2020,6,69000,Other Races and Ethnicities,23.418604,1
2018,6,2364,Other Races and Ethnicities,53.509781,1
2018,6,2252,Other Races and Ethnicities,48.901302,1
2020,6,60620,Hispanic,28.499226,1
2018,6,53896,"White, Non-Hispanic",21.642008,1
2019,6,6000,Hispanic,0,1
2020,6,55156,"Black, Non-Hispanic",47.205757,1
2019,6,3526,Other Races and Ethnicities,37.039425,1
2020,6,69000,Hispanic,62.840275,1
2017,6,68196,Hispanic,29.404913,1
2019,6,59451,All,11.332256,1
2017,6,60620,"White, Non-Hispanic",38.567841,1
2018,6,84200,Other Races and Ethnicities,39.244987,1
2020,6,80854,All,4.7639303,1
2019,6,62000,Hispanic,60.001881,1
2018,6,33182,All,94.832169,1
2017,6,13014,Other Races and Ethnicities,27.772421,1
2019,6,60466,All,89.395439,1
2016,6,81554,Hispanic,28.373016,1
2019,6,68252,"Black, Non-Hispanic",0,1
2018,6,69196,All,63.7332,1
2019,6,78120,Hispanic,4.4160786,1
2019,6,81344,"Black, Non-Hispanic",38.347717,1
2016,6,82996,Hispanic,58.919548,1
2019,6,13588,Other Races and Ethnicities,45.954197,1
2020,6,68378,Other Races and Ethnicities,0,1
2019,6,27000,Hispanic,83.662033,1
2019,6,11194,"White, Non-Hispanic",0,1
2020,6,33182,"Black, Non-Hispanic",43.975903,1
2019,6,562,Hispanic,0,1
2017,6,39496,Other Races and Ethnicities,7.7562327,1
2020,6,80000,All,4.8695431,1
2017,6,64000,"White, Non-Hispanic",40.944176,1
2016,6,43000,Other Races and Ethnicities,55.685078,1
2018,6,81666,Other Races and Ethnicities,38.079269,1
2016,6,84550,"White, Non-Hispanic",52.173912,1
2016,6,30000,Hispanic,65.9188,1
2020,6,33182,All,35.298149,1
2018,6,23182,All,25.907181,1
2019,6,24638,All,0,1
2016,6,24680,All,72.84108,1
2020,6,56000,Hispanic,15.051211,1
2019,6,62000,All,50.894958,1
2020,6,2252,All,24.60088,1
2019,6,78120,Other Races and Ethnicities,3.3253398,1
2019,6,36000,"White, Non-Hispanic",.54071248,1
2020,6,13392,Other Races and Ethnicities,2.1651454,1
2020,6,13588,"Black, Non-Hispanic",0,1
2017,6,39892,All,28.904602,1
2016,6,562,Other Races and Ethnicities,0,1
2020,6,78582,Other Races and Ethnicities,0,1
2020,6,73080,"White, Non-Hispanic",95.670998,1
2020,6,36770,All,0,1
2018,6,16350,"White, Non-Hispanic",5.7726359,1
2016,6,33434,Hispanic,87.632507,1
2016,6,13014,Other Races and Ethnicities,20.956257,1
2019,6,30000,All,36.423214,1
2017,6,24680,All,80.993217,1
2016,6,33000,Other Races and Ethnicities,46.68745,1
2019,6,13210,"Black, Non-Hispanic",16.089109,1
2019,6,55156,All,79.366585,1
2020,6,68378,Hispanic,0,1
2016,6,65042,Hispanic,10.815662,1
2017,6,14218,Hispanic,19.261187,1
2016,6,69070,"Black, Non-Hispanic",5.1612902,1
2017,6,33434,Hispanic,91.792236,1
2020,6,80000,Other Races and Ethnicities,1.38235,1
2020,6,69196,"Black, Non-Hispanic",18.518518,1
2016,6,58072,"Black, Non-Hispanic",78.053627,1
2018,6,60620,Hispanic,87.916351,1
2019,6,11194,Other Races and Ethnicities,0,1
2016,6,80238,Other Races and Ethnicities,12.025316,1
2018,6,13214,"Black, Non-Hispanic",4.6511626,1
2018,6,58072,All,86.309685,1
2018,6,29000,All,84.107941,1
2019,6,66000,Other Races and Ethnicities,12.959226,1
2018,6,23182,Hispanic,37.74332,1
2018,6,30000,Other Races and Ethnicities,41.196583,1
2018,6,29000,"White, Non-Hispanic",41.11071,1
2017,6,8954,All,.13876958,1
2018,6,19766,Hispanic,40.662983,1
2016,6,78120,All,3.9322505,1
2017,6,64000,All,63.418228,1
2016,6,68084,Hispanic,30.343767,1
2019,6,67000,"White, Non-Hispanic",2.1165199,1
2017,6,82590,"White, Non-Hispanic",90.797234,1
2020,6,6000,"Black, Non-Hispanic",0,1
2020,6,68196,All,.10828649,1
2020,6,58072,Other Races and Ethnicities,51.50473,1
2020,6,2000,All,21.066881,1
2017,6,69070,"Black, Non-Hispanic",11.764706,1
2019,6,8786,"Black, Non-Hispanic",55.591053,1
2020,6,53980,Other Races and Ethnicities,0,1
2018,6,65042,"Black, Non-Hispanic",7.2815533,1
2016,6,52526,Other Races and Ethnicities,89.536423,1
2018,6,13214,All,.70825583,1
2020,6,57456,"Black, Non-Hispanic",5.0969529,1
2019,6,32548,Other Races and Ethnicities,47.684132,1
2017,6,43000,Other Races and Ethnicities,53.382133,1
2016,6,57456,Other Races and Ethnicities,57.150509,1
2017,6,37692,"White, Non-Hispanic",79.464287,1
2019,6,45484,Other Races and Ethnicities,12.154696,1
2018,6,41992,All,2.8577678,1
2018,6,49670,All,3.4751036,1
2016,6,27000,Other Races and Ethnicities,66.827492,1
2016,6,36448,"White, Non-Hispanic",34.825176,1
2018,6,17918,Other Races and Ethnicities,0,1
2020,6,16532,All,9.1024523,1
2020,6,16350,All,5.0176387,1
2020,6,36000,"White, Non-Hispanic",.13253225,1
2016,6,39496,"White, Non-Hispanic",5.6946182,1
2017,6,13392,All,30.535364,1
2020,6,50076,"White, Non-Hispanic",0,1
2016,6,60466,"White, Non-Hispanic",100,1
2017,6,60466,"White, Non-Hispanic",100,1
2016,6,37692,Other Races and Ethnicities,55.932205,1
2019,6,53896,All,71.593605,1
2020,6,21712,"Black, Non-Hispanic",46.015423,1
2018,6,82590,Hispanic,94.994194,1
2018,6,2252,All,60.688263,1
2017,6,55156,"Black, Non-Hispanic",83.433846,1
2020,6,56700,"Black, Non-Hispanic",37.965427,1
2016,6,67000,"White, Non-Hispanic",5.9375372,1
2016,6,80854,Other Races and Ethnicities,15.607524,1
2017,6,17918,"White, Non-Hispanic",11.764706,1
2017,6,49270,"White, Non-Hispanic",94.668541,1
2018,6,33000,All,59.272484,1
2019,6,78582,Hispanic,5.1530151,1
2020,6,46842,Other Races and Ethnicities,0,1
2020,6,81554,All,0,1
2018,6,23182,"White, Non-Hispanic",11.910322,1
2017,6,6000,"White, Non-Hispanic",0,1
2017,6,13210,All,50.374306,1
2020,6,64224,Other Races and Ethnicities,22.83988,1
2020,6,64224,All,31.557993,1
2017,6,28000,"Black, Non-Hispanic",19.811321,1
2020,6,68084,All,.46546268,1
2017,6,69196,Other Races and Ethnicities,26.175869,1
2020,6,36000,"Black, Non-Hispanic",0,1
2019,6,33000,Hispanic,44.135841,1
2020,6,11194,All,0,1
2019,6,70000,"White, Non-Hispanic",0,1
2018,6,39496,"Black, Non-Hispanic",7.352941,1
2019,6,59451,"White, Non-Hispanic",3.9828835,1
2020,6,29000,"Black, Non-Hispanic",16.438356,1
2019,6,56700,"Black, Non-Hispanic",89.476746,1
2018,6,59451,Other Races and Ethnicities,7.0973225,1
2020,6,36770,Hispanic,0,1
2020,6,29000,Other Races and Ethnicities,8.6340637,1
2017,6,59451,Hispanic,29.263914,1
2019,6,19766,"White, Non-Hispanic",18.09816,1
2018,6,562,All,0,1
2018,6,37692,All,70.19207,1
2020,6,69088,"White, Non-Hispanic",0,1
2020,6,53000,Other Races and Ethnicities,31.212374,1
2016,6,69000,"White, Non-Hispanic",14.341165,1
2019,6,39892,Hispanic,29.082628,1
2020,6,11530,Other Races and Ethnicities,4.7258296,1
2019,6,52526,"White, Non-Hispanic",72.619049,1
2016,6,47766,"Black, Non-Hispanic",0,1
2019,6,6000,Other Races and Ethnicities,0,1
2018,6,80854,All,51.41209,1
2020,6,59444,"Black, Non-Hispanic",21.265823,1
2018,6,15044,Hispanic,99.854553,1
2020,6,14218,"White, Non-Hispanic",2.6867168,1
2017,6,17918,Other Races and Ethnicities,15.56971,1
2020,6,68084,Hispanic,.31311154,1
2018,6,59444,Other Races and Ethnicities,58.985764,1
2017,6,6000,"Black, Non-Hispanic",0,1
2019,6,19766,Other Races and Ethnicities,25.154894,1
2019,6,68196,Other Races and Ethnicities,.29742235,1
2018,6,53980,"White, Non-Hispanic",14.882866,1
2016,6,84200,All,35.692402,1
2016,6,75000,Other Races and Ethnicities,72.915833,1
2020,6,32548,"White, Non-Hispanic",9.3975906,1
2019,6,82996,Other Races and Ethnicities,22.222221,1
2018,6,43000,Other Races and Ethnicities,51.77187,1
2018,6,13588,"Black, Non-Hispanic",72.126434,1
2019,6,17918,"Black, Non-Hispanic",4.7244096,1
2018,6,15044,Other Races and Ethnicities,100,1
2018,6,48354,All,58.106102,1
2016,6,36448,All,72.86116,1
2020,6,69196,All,38.865116,1
2016,6,84200,"White, Non-Hispanic",24.084249,1
2017,6,53322,Hispanic,34.701748,1
2018,6,36546,Hispanic,94.697067,1
2018,6,57792,Other Races and Ethnicities,0,1
2020,6,68378,"White, Non-Hispanic",0,1
2016,6,60102,"Black, Non-Hispanic",19.871796,1
2018,6,53322,Other Races and Ethnicities,22.08633,1
2018,6,53322,Hispanic,37.806221,1
2018,6,59444,All,73.602036,1
2019,6,69196,"White, Non-Hispanic",15.168716,1
2017,6,2364,All,71.776711,1
2018,6,16532,Hispanic,62.920841,1
2019,6,2364,Hispanic,62.592693,1
2018,6,65042,Hispanic,17.939062,1
2019,6,70098,"White, Non-Hispanic",3.6138663,1
2016,6,53322,All,24.606623,1
2017,6,69088,Hispanic,0,1
2019,6,80000,"White, Non-Hispanic",1.1676397,1
2017,6,69084,"White, Non-Hispanic",.87145972,1
2018,6,32548,"White, Non-Hispanic",20.1726,1
2017,6,23182,All,30.628448,1
2018,6,16000,All,32.8223,1
2020,6,55156,All,45.72974,1
2017,6,4982,Hispanic,95.592705,1
2016,6,22020,Other Races and Ethnicities,3.2540128,1
2018,6,49270,Hispanic,94.978249,1
2016,6,73080,"Black, Non-Hispanic",100,1
2016,6,50258,Hispanic,25.630857,1
2017,6,32548,"Black, Non-Hispanic",76.418755,1
2016,6,39496,Other Races and Ethnicities,7.900208,1
2020,6,36448,All,50.289101,1
2017,6,54652,Hispanic,80.253036,1
2020,6,2364,"Black, Non-Hispanic",41.363636,1
2016,6,8786,All,44.186047,1
2018,6,19766,Other Races and Ethnicities,34.005039,1
2019,6,82590,"Black, Non-Hispanic",95.533447,1
2020,6,16532,Hispanic,12.987783,1
2020,6,2364,Other Races and Ethnicities,19.444445,1
2020,6,30000,Hispanic,8.1401205,1
2019,6,57792,"Black, Non-Hispanic",0,1
2016,6,22020,"Black, Non-Hispanic",3.0415602,1
2017,6,67000,"White, Non-Hispanic",5.1764431,1
2017,6,82954,Hispanic,70.855713,1
2016,6,80238,"Black, Non-Hispanic",17.033415,1
2020,6,69070,"White, Non-Hispanic",.12497396,1
2016,6,23182,All,25.23641,1
2018,6,8786,"White, Non-Hispanic",29.339306,1
2016,6,70000,"Black, Non-Hispanic",0,1
2016,6,69088,All,0,1
2018,6,70000,Other Races and Ethnicities,0,1
2017,6,69084,Other Races and Ethnicities,1.2542373,1
2017,6,49670,"White, Non-Hispanic",.67466265,1
2019,6,28000,All,20.00569,1
2020,6,62938,All,0,1
2020,6,68378,"Black, Non-Hispanic",0,1
2020,6,58072,"White, Non-Hispanic",68,1
2019,6,26000,"Black, Non-Hispanic",4.3090639,1
2017,6,59920,"Black, Non-Hispanic",56.07843,1
2017,6,59451,Other Races and Ethnicities,10.461538,1
2018,6,40130,"Black, Non-Hispanic",84.535828,1
2018,6,2000,Other Races and Ethnicities,54.334408,1
2017,6,56000,"Black, Non-Hispanic",23.094271,1
2019,6,64224,All,63.606354,1
2016,6,21712,Hispanic,54.518013,1
2020,6,49270,Other Races and Ethnicities,33.045357,1
2016,6,68252,"White, Non-Hispanic",1.4967524,1
2019,6,39892,"White, Non-Hispanic",8.1019831,1
2018,6,53896,Other Races and Ethnicities,42.833698,1
2020,6,11530,"Black, Non-Hispanic",6.6690831,1
2020,6,69000,"White, Non-Hispanic",6.9382391,1
2019,6,2000,All,66.760773,1
2018,6,41992,Other Races and Ethnicities,1.5789474,1
2020,6,14218,"Black, Non-Hispanic",7.1428571,1
2018,6,81344,Hispanic,37.273327,1
2018,6,85292,All,51.55405,1
2020,6,82996,Hispanic,8.7864695,1
2018,6,65000,All,98.231239,1
2016,6,50258,Other Races and Ethnicities,6.0734463,1
2018,6,58072,Other Races and Ethnicities,53.360657,1
2018,6,11194,"White, Non-Hispanic",0,1
2020,6,81666,"Black, Non-Hispanic",14.640199,1
2016,6,80854,"Black, Non-Hispanic",35.361217,1
2017,6,69070,"White, Non-Hispanic",3.272929,1
2017,6,29000,Hispanic,85.041504,1
2020,6,69070,"Black, Non-Hispanic",0,1
2019,6,43000,Other Races and Ethnicities,40.221436,1
2019,6,66000,All,27.520973,1
2020,6,70000,Hispanic,0,1
2019,6,23182,"Black, Non-Hispanic",27.325186,1
2016,6,53896,All,73.121353,1
2017,6,45484,Other Races and Ethnicities,12.108844,1
2018,6,24680,Hispanic,84.51107,1
2016,6,11194,"White, Non-Hispanic",0,1
2019,6,36546,Other Races and Ethnicities,71.058823,1
2016,6,82590,All,89.008797,1
2018,6,60102,All,22.319845,1
2019,6,80854,All,25.202911,1
2020,6,44000,"White, Non-Hispanic",17.583828,1
2016,6,3526,"Black, Non-Hispanic",72.443367,1
2020,6,21712,"White, Non-Hispanic",23.161369,1
2020,6,82954,"Black, Non-Hispanic",18,1
2016,6,17918,Hispanic,2.5269647,1
2018,6,6000,"Black, Non-Hispanic",0,1
2019,6,64224,Other Races and Ethnicities,51.750973,1
2020,6,66000,All,16.091171,1
2019,6,3526,"White, Non-Hispanic",33.14674,1
2020,6,51182,Other Races and Ethnicities,0,1
2016,6,562,"Black, Non-Hispanic",0,1
2020,6,69088,Other Races and Ethnicities,0,1
2020,6,77000,Hispanic,0,1
2016,6,53000,Other Races and Ethnicities,53.52166,1
2017,6,3526,"White, Non-Hispanic",38.726276,1
